team,rpi,rpi_rank
Winthrop,0.5234,131
UNC Asheville,0.5219,132
North Dakota St.,0.5213,133
Arkansas,0.5199,134
Pepperdine,0.5194,135
Southern Ill.,0.5193,136
New Mexico,0.5191,137
Col. of Charleston,0.5177,138
Tennessee Tech,0.5155,139
Memphis,0.5149,140
Wright St.,0.5134,141
Tennessee,0.5132,142
Northern Ill.,0.5128,143
Coastal Caro.,0.5126,144
Louisiana,0.5124,145
UNLV,0.5124,146
Utah St.,0.5113,147
Montana,0.5113,148
Omaha,0.5098,149
Fairfield,0.5095,150
Illinois,0.5077,151
High Point,0.5068,152
Mississippi St.,0.5066,153
Wake Forest,0.5066,154
Oral Roberts,0.5058,155
Towson,0.5051,156
Western Ky.,0.5042,157
Hampton,0.5038,158
Ball St.,0.5034,159
Tennessee St.,0.5022,160
Duquesne,0.5021,161
Elon,0.5015,162
New Hampshire,0.5004,163
Nebraska,0.5,164
Lehigh,0.4982,165
North Florida,0.4979,166
Incarnate Word,0.4979,167
Wagner,0.4973,168
Central Mich.,0.497,169
Indiana St.,0.4961,170
Colorado St.,0.4956,171
Murray St.,0.4956,172
Milwaukee,0.4955,173
Massachusetts,0.4952,174
Western Caro.,0.4948,175
Furman,0.4938,176
Georgia St.,0.4937,177
Bucknell,0.4936,178
Auburn,0.4926,179
Oklahoma St.,0.4921,180
TCU,0.4915,181
Texas Southern,0.4913,182
NJIT,0.4911,183
Toledo,0.4898,184
Boston U.,0.4884,185
Wyoming,0.4883,186
Harvard,0.4876,187
Fordham,0.4871,188
Austin Peay,0.4868,189
Radford,0.4861,190
IUPUI,0.4854,191
Sam Houston St.,0.4848,192
Mercer,0.4835,193
Denver,0.4829,194
Miami (OH),0.4819,195
FGCU,0.4812,196
Southern U.,0.4812,197
Detroit Mercy,0.4811,198
Idaho,0.4807,199
South Dakota,0.4806,200
DePaul,0.4806,201
Wofford,0.4798,202
George Mason,0.4789,203
UT Martin,0.4784,204
South Carolina St.,0.4781,205
Bowling Green,0.4772,206
Saint Louis,0.4769,207
Gardner-Webb,0.4768,208
Western Mich.,0.4764,209
Fairleigh Dickinson,0.4747,210
Jackson St.,0.4743,211
Army West Point,0.4739,212
Saint Peter's,0.4727,213
Navy,0.4726,214
UTEP,0.4722,215
Eastern Ky.,0.4721,216
Washington St.,0.4701,217
Norfolk St.,0.4696,218
UCF,0.4688,219
East Carolina,0.4686,220
North Dakota,0.4679,221
Air Force,0.4667,222
Loyola Marymount,0.4664,223
Missouri,0.4648,224
Canisius,0.4642,225
San Francisco,0.4641,226
American,0.4637,227
Eastern Wash.,0.4636,228
Manhattan,0.4623,229
South Fla.,0.4622,230
Charlotte,0.4613,231
Tulane,0.4605,232
UNCG,0.4602,233
La Salle,0.4593,234
Houston Baptist,0.4591,235
Missouri St.,0.459,236
Holy Cross,0.4588,237
Loyola Chicago,0.4587,238
Colgate,0.4574,239
South Ala.,0.4572,240
Texas St.,0.457,241
Cornell,0.4567,242
Cal Poly,0.4566,243
Ga. Southern,0.4565,244
St. John's (NY),0.4562,245
Rider,0.4541,246
Mt. St. Mary's,0.454,247
Boston College,0.4528,248
Santa Clara,0.4509,249
Portland,0.45,250
Drexel,0.4488,251
Alcorn,0.4456,252
Samford,0.4452,253
LIU Brooklyn,0.4445,254
UMass Lowell,0.4428,255
Sacred Heart,0.4425,256
Loyola Maryland,0.4425,257
Montana St.,0.4424,258
Kennesaw St.,0.4424,259
Liberty,0.4421,260
Idaho St.,0.442,261
Appalachian St.,0.4419,262
Saint Francis (PA),0.4418,263
Minnesota,0.4416,264
Pacific,0.4414,265
Alabama St.,0.4406,266
Western Ill.,0.4406,267
UC Riverside,0.44,268
FIU,0.4396,269
Lipscomb,0.4394,270
Eastern Ill.,0.4386,271
Youngstown St.,0.4375,272
St. Francis Brooklyn,0.4372,273
Utah Valley,0.4371,274
Delaware,0.4365,275
Sacramento St.,0.4361,276
Cleveland St.,0.4361,277
Rice,0.4353,278
UC Davis,0.4348,279
Penn,0.4348,280
Dartmouth,0.4346,281
CSUN,0.4342,282
Portland St.,0.4336,283
Arkansas St.,0.4329,284
Seattle U,0.4325,285
Savannah St.,0.4323,286
Jacksonville,0.4294,287
UMKC,0.429,288
Cal St. Fullerton,0.4281,289
Robert Morris,0.4274,290
Bethune-Cookman,0.4262,291
Hartford,0.4257,292
Rutgers,0.4236,293
North Texas,0.4234,294
Troy,0.4232,295
Northern Ky.,0.422,296
Charleston So.,0.4215,297
Quinnipiac,0.4183,298
San Jose St.,0.4182,299
Stetson,0.4177,300
Fla. Atlantic,0.417,301
San Diego,0.4169,302
Binghamton,0.4162,303
Bradley,0.4125,304
Northern Colo.,0.4114,305
SIUE,0.4114,306
UMES,0.41,307
Campbell,0.4095,308
Brown,0.4076,309
Ark.-Pine Bluff,0.406,310
Jacksonville St.,0.406,311
Southern Miss.,0.4056,312
Presbyterian,0.4055,313
Maine,0.4048,314
N.C. Central,0.4045,315
Nicholls St.,0.4039,316
VMI,0.4038,317
Niagara,0.4031,318
Longwood,0.4024,319
Bryant,0.4023,320
Marist,0.4022,321
Drake,0.4013,322
USC Upstate,0.4013,323
The Citadel,0.4009,324
Abilene Christian,0.4007,325
Lafayette,0.3983,326
Coppin St.,0.3975,327
Howard,0.3968,328
Morgan St.,0.3964,329
Mississippi Val.,0.3959,330
Alabama A&M,0.395,331
Southeastern La.,0.3945,332
Northern Ariz.,0.3912,333
Prairie View,0.3897,334
UTRGV,0.3857,335
Southern Utah,0.3852,336
Lamar University,0.3851,337
UMBC,0.3847,338
Central Ark.,0.3833,339
N.C. A&T,0.3807,340
McNeese,0.3796,341
Southeast Mo. St.,0.3779,342
New Orleans,0.3771,343
Northwestern St.,0.3733,344
Delaware St.,0.3672,345
Ill.-Chicago,0.3661,346
UTSA,0.3637,347
Chicago St.,0.363,348
Florida A&M,0.3576,349
Grambling,0.3544,350
Central Conn. St.,0.3401,351
