team,conf,yusag_coeff,rpi,sor,wab,qual_bonus,yusag_rank,rpi_rank,sor_rank,resume_rank,wab_rank,mid_major,loss_bonus,wins,losses,blend,seed
Boise St.,MWC,9.8,0.5652,-4.72852,-0.995444444,61,45,52,55,56,62,TRUE,FALSE,22,8,56.4,
Arizona St.,Pac 12,10.51,0.5551,-6.27508,-1.729111111,77,41,74,78,47,71,FALSE,FALSE,20,11,58.65,
Notre Dame,ACC,12.85,0.5532,-5.164,0.144,53,26,79,61,58,52,FALSE,FALSE,19,14,59.75,
Georgia,SEC,8.38,0.548,-7.3186,-1.027888889,90,65,86,94,36,63,FALSE,FALSE,18,15,59.9,
Murray St.,OVC,6.44,0.5809,-3.26004,-0.955333333,34,84,34,36,70,60,TRUE,FALSE,24,5,60,12
Vermont,Am. East,8.48,0.5784,-3.19868,-0.094,29.11,63,39,35,73,56,TRUE,FALSE,26.911,6.089,60,
Utah,Pac 12,7.46,0.5602,-6.227,-1.635555556,70,77,63,77,50,69,FALSE,FALSE,19,11,60.55,
Mississippi St.,SEC,9.07,0.5542,-4.9748,-0.072222222,58,57,76,58,57,55,FALSE,FALSE,21,11,61.65,
Nebraska,Big 10,8.74,0.5569,-2.89236,2.032,33,60,71,31,71,30,FALSE,FALSE,22,10,61.8,
Buffalo,MAC,7.68,0.5974,-5.01204,-1.766555556,23,76,23,59,81,72,TRUE,FALSE,25,8,64.9,13
San Diego St.,MWC,9.77,0.5602,-5.68036,-1.311666667,44,46,62,70,65,66,TRUE,FALSE,21,10,64.95,
Penn St.,Big 10,14.7,0.5479,-5.191,0.202222222,34,17,88,62,69,51,FALSE,FALSE,21,13,66.05,
LSU,SEC,8.16,0.5429,-7.28128,-1.786111111,81,68,95,93,44,73,FALSE,FALSE,17,14,66.95,
Oregon,Pac 12,4.77,0.555,-7.20028,-2.307888889,69,99,75,90,51,79,FALSE,FALSE,22,12,68.5,
Col. of Charleston,CAA,4.03,0.5687,-4.5956,-2.176444444,38,109,51,54,67,77,TRUE,FALSE,24,7,68.9,13
Western Ky.,C-USA,5.93,0.5793,-5.60924,-1.660777778,26,88,38,69,78,70,TRUE,FALSE,23,10,69.3,
Washington,Pac 12,4.34,0.5561,-7.22476,-2.637222222,62,104,72,91,54,80,FALSE,FALSE,20,12,69.8,
Louisiana,Sunbelt,8.09,0.5711,-3.72592,-0.963555556,11,71,48,42,89,61,TRUE,FALSE,25,6,71.45,
Boston College,ACC,9.29,0.5382,-6.98756,-1.423888889,50,51,103,86,60,67,FALSE,FALSE,19,15,73.15,
Montana,Big Sky,8.16,0.5597,-4.29564,-1.278777778,20,69,64,50,85,65,TRUE,FALSE,24,7,74.65,14
Temple,AAC,4.92,0.5617,-8.00536,-2.888444444,33,97,60,102,72,83,FALSE,FALSE,17,15,75.6,
Old Dominion,C-USA,8.82,0.5542,-4.94952,-2.070555556,24,58,77,57,79,75,TRUE,FALSE,25,7,75.8,
Maryland,Big 10,10.89,0.5518,-5.0954,0.046888889,10,39,80,60,91,54,FALSE,FALSE,18,13,76.25,
Northeastern,CAA,5.48,0.5747,-7.14776,-3.959888889,24,94,42,89,80,97,TRUE,FALSE,22,10,76.5,
BYU,WCC,8.79,0.5593,-5.47088,-1.634444444,15,59,65,67,88,68,TRUE,FALSE,24,10,77.25,
UNCG,Southern,7.07,0.5636,-3.88628,-1.195333333,7,81,55,43,95,64,TRUE,FALSE,24,7,77.3,13
Davidson,A-10,11.17,0.5587,-6.9644,-3.058111111,16.829,36,67,85,86,84,TRUE,FALSE,20.637,11.363,77.95,12
Belmont,OVC,6.14,0.5578,-6.40056,-3.581666667,28,86,69,79,75,90,TRUE,FALSE,24,9,78.5,
South Carolina,SEC,5.96,0.5424,-8.91464,-3.114111111,46,87,96,117,64,86,FALSE,FALSE,16,16,81.8,
Stanford,Pac 12,5.34,0.5465,-9.36168,-4.192888889,49,95,91,126,62,102,FALSE,FALSE,18,15,82.95,
Marshall,C-USA,4.42,0.5488,-6.87856,-3.581888889,29,103,84,82,74,91,TRUE,FALSE,23,10,83.9,13
UCF,AAC,1.27,0.5481,-7.61044,-3.394333333,42,152,85,98,66,88,FALSE,FALSE,19,13,84.75,
St. John's (NY),Big East,7.87,0.5453,-8.49648,-2.659,21,74,92,110,83,82,FALSE,FALSE,15,17,86.95,
South Dakota,Summit,8.12,0.5509,-4.75656,-1.995,-4,70,82,56,102,74,TRUE,FALSE,22,8,88.4,
ETSU,Southern,6.62,0.5505,-5.75196,-2.643333333,1,83,83,71,100,81,TRUE,FALSE,23,9,91.25,
Bucknell,Patriot,7.26,0.5558,-6.041,-3.304666667,-15,80,73,74,109,87,TRUE,FALSE,25,9,93.4,14
Fresno St.,MWC,8.5,0.5351,-7.69292,-4.098,16,62,107,99,87,100,TRUE,FALSE,19,11,94,
Colorado,Pac 12,2.12,0.5476,-9.55972,-4.380777778,27,138,89,130,77,105,FALSE,FALSE,17,15,94.2,
Rider,MAAC,2.91,0.564,-6.1778,-3.423111111,-17,127,54,76,112,89,TRUE,FALSE,22,9,95.1,
Furman,Southern,7.32,0.5469,-6.42804,-3.693888889,-1,79,90,80,101,93,TRUE,FALSE,21,10,95.15,
SFA,Southland,3.69,0.5434,-4.17464,-2.086111111,-7,115,94,49,103,76,TRUE,FALSE,24,6,95.85,14
Wyoming,MWC,3.33,0.5402,-8.3932,-3.769555556,23,119,100,107,82,94,TRUE,FALSE,19,13,95.9,
Tulsa,AAC,4.79,0.5422,-7.7744,-4.545777778,9,98,97,100,92,108,FALSE,FALSE,19,12,96.25,
Utah Valley,WAC,6.33,0.5533,-6.88924,-4.174444444,-21,85,78,83,115,101,TRUE,FALSE,19,10,100.15,
Toledo,MAC,2.9,0.5592,-8.17368,-5.123,-19,128,66,103,113,113,TRUE,FALSE,22,11,103.75,
Wisconsin,Big 10,7.42,0.5219,-8.84648,-3.107555556,3,78,129,116,98,85,FALSE,FALSE,15,18,104.25,
UC Davis,Big West,2.7,0.5409,-7.60008,-4.600111111,-8,131,98,97,104,109,TRUE,FALSE,20,10,107,
Memphis,AAC,-0.07,0.5268,-8.46292,-4.456888889,11,169,116,108,90,106,FALSE,FALSE,21,13,107.8,
Iowa St.,Big 12,2.82,0.507,-9.72764,-3.809555556,28,130,155,133,76,95,FALSE,FALSE,13,18,108.75,
SMU,AAC,4.54,0.5266,-10.248,-6.159444444,8,101,117,143,94,131,FALSE,FALSE,17,16,109.05,
Lipscomb,A-Sun,-0.13,0.5395,-5.9736,-3.681222222,-14,170,102,72,108,92,TRUE,FALSE,20,9,109.5,15
Wright St.,Horizon,3.2,0.5397,-6.923,-4.320222222,-20,123,101,84,114,104,TRUE,FALSE,23,9,109.65,14
Penn,Ivy,4.28,0.531,-6.13812,-4.039333333,-21.73,105,110,75,117,99,TRUE,FALSE,22.727,8.273,110.05,16
Vanderbilt,SEC,5.75,0.5183,-12.0376,-5.825444444,21,92,135,178,84,122,FALSE,FALSE,12,20,110.75,
Northern Ky.,Horizon,6.69,0.5294,-7.08216,-4.802555556,-25,82,111,88,121,112,TRUE,FALSE,20,9,112.4,
UNLV,MWC,2.85,0.5223,-8.92792,-4.602666667,3,129,128,118,99,110,TRUE,FALSE,20,13,114.25,
Grand Canyon,WAC,4.72,0.5156,-7.92372,-5.155111111,-8.5,100,140,101,105,114,TRUE,FALSE,21.45,10.55,115.75,
UC Santa Barbara,Big West,3.64,0.5227,-6.79152,-4.220888889,-21,117,126,81,116,103,TRUE,FALSE,21,9,115.8,
Northern Colo.,Big Sky,5.82,0.5359,-9.41616,-6.121,-24,89,106,128,119,127,TRUE,FALSE,19,12,116.45,
New Mexico,MWC,5.75,0.5251,-10.70056,-6.180555556,-13,91,122,149,107,133,TRUE,FALSE,18,15,117.95,
Georgetown,Big East,3.65,0.4979,-8.39108,-3.917444444,5,116,174,106,97,96,FALSE,FALSE,15,15,118.95,
Illinois St.,MVC,-1.02,0.5513,-11.08784,-6.467666667,-15,183,81,158,110,137,TRUE,FALSE,17,15,119.55,
UT Arlington,Sunbelt,3.73,0.5374,-9.30844,-6.013333333,-25.3,114,104,125,123,125,TRUE,FALSE,20.67,12.33,119.75,
William & Mary,CAA,0.61,0.548,-9.1858,-6.307222222,-26,162,87,124,124,135,TRUE,FALSE,17,12,121.65,
Indiana,Big 10,7.9,0.515,-7.44708,-2.278444444,-38,73,141,96,140,78,FALSE,FALSE,16,15,122.95,
Oregon St.,Pac 12,5.12,0.5116,-11.87532,-7.587777778,6,96,147,176,96,159,FALSE,FALSE,16,16,123.05,
Hofstra,CAA,2.04,0.5291,-8.97792,-6.170555556,-25,139,113,120,122,132,TRUE,FALSE,18,12,124.25,
Ole Miss,SEC,3.26,0.5136,-12.91084,-7.065,9,122,144,196,93,150,FALSE,FALSE,12,20,124.65,
Southern Ill.,MVC,1.88,0.5408,-9.85996,-6.131666667,-31,141,99,135,130,129,TRUE,FALSE,19,13,125.75,
Bradley,MVC,3.09,0.5338,-9.98332,-6.304666667,-29,126,109,140,127,134,TRUE,FALSE,19,13,126.4,
Wofford,Southern,2.27,0.5244,-8.7168,-5.781666667,-28,135,124,113,126,121,TRUE,FALSE,18,12,126.6,
Northwestern,Big 10,9.2,0.4911,-9.4862,-3.988666667,-25,53,184,129,120,98,FALSE,FALSE,14,17,128,
Cal St. Fullerton,Big West,1.14,0.5268,-8.49216,-5.596666667,-33,153,115,109,132,118,TRUE,FALSE,18,11,128.15,15
Georgia Tech,ACC,3.27,0.5058,-11.14608,-5.719555556,-16,121,158,160,111,120,FALSE,FALSE,13,19,129.55,
Idaho,Big Sky,3.78,0.5261,-7.07636,-4.616222222,-45,113,120,87,149,111,TRUE,FALSE,20,9,130.15,
UConn,AAC,-1.38,0.5197,-11.17128,-6.727333333,-11,191,134,161,106,143,FALSE,FALSE,14,18,130.7,
Minnesota,Big 10,4.17,0.4936,-9.66316,-4.505111111,-24,108,179,132,118,107,FALSE,FALSE,15,17,132.55,
Eastern Wash.,Big Sky,3.98,0.5255,-10.9202,-7.167888889,-34,111,121,152,133,153,TRUE,FALSE,18,14,133.7,
Wagner,NEC,-0.84,0.5368,-7.34992,-5.550111111,-51,177,105,95,154,117,TRUE,FALSE,21,9,136.45,
San Diego,WCC,3.11,0.5102,-8.942,-5.445555556,-35,125,151,119,135,116,TRUE,FALSE,17,13,136.5,
Nicholls St.,Southland,-2.38,0.5224,-8.75416,-6.677888889,-29,210,127,114,128,142,TRUE,FALSE,17,11,137.95,
Canisius,MAAC,4.17,0.5265,-9.11616,-6.524444444,-51,107,118,123,155,138,TRUE,FALSE,21,11,138.05,
UMBC,Am. East,-1.01,0.5217,-8.20592,-5.437333333,-38.487,182,130,104,142,115,TRUE,FALSE,20.089,10.911,138.5,
Harvard,Ivy,2.24,0.5286,-9.88204,-6.667666667,-45.27,136,114,136,151,140,TRUE,FALSE,17.273,12.727,139.65,16
Iowa,Big 10,5.8,0.4996,-11.44604,-5.698444444,-37,90,170,167,137,119,FALSE,FALSE,14,19,141.75,
UAB,C-USA,3.99,0.5073,-9.99028,-6.766,-37,110,153,141,138,144,TRUE,FALSE,18,13,141.85,
Albany (NY),Am. East,2.47,0.5159,-8.22224,-6.042111111,-52,132,138,105,157,126,TRUE,FALSE,21,10,143.45,
UNI,MVC,3.94,0.518,-11.56752,-7.628111111,-40,112,136,168,143,160,TRUE,FALSE,14,16,144.35,
Ball St.,MAC,-1.9,0.5211,-10.26236,-7.229222222,-34,198,131,144,134,155,TRUE,FALSE,18,13,144.75,
Weber St.,Big Sky,0.81,0.5113,-8.65592,-5.866333333,-44,159,149,112,147,123,TRUE,FALSE,17,11,144.8,
Wake Forest,ACC,5.57,0.4989,-12.60492,-7.358222222,-31,93,173,191,131,157,FALSE,FALSE,11,20,146.3,
UC Irvine,Big West,1.3,0.5293,-13.01396,-8.921444444,-41,151,112,198,145,180,TRUE,FALSE,16,17,148.15,
Missouri St.,MVC,2.3,0.5209,-12.25484,-8.670555556,-44,134,132,183,148,177,TRUE,FALSE,17,15,151,
Iona,MAAC,1.62,0.5346,-10.29876,-7.096444444,-63,146,108,145,173,151,TRUE,FALSE,20,13,151.05,
Eastern Mich.,MAC,0.65,0.5261,-9.91416,-7.322777778,-57,160,119,138,165,156,TRUE,FALSE,17,12,151.4,15
Jacksonville St.,OVC,0.59,0.514,-9.79292,-7.213,-47,163,143,134,153,154,TRUE,FALSE,20,12,151.7,
Georgia St.,Sunbelt,3.14,0.5234,-8.54804,-5.880222222,-73.8,124,125,111,184,124,TRUE,FALSE,21.62,10.38,151.95,15
Saint Joseph's,A-10,4.46,0.5037,-11.91136,-7.965777778,-41,102,163,177,144,165,TRUE,FALSE,16,16,151.95,
San Francisco,WCC,1.66,0.5149,-10.36084,-6.662555556,-54,144,142,147,159,139,TRUE,FALSE,17,15,152.05,
VCU,A-10,-0.55,0.5131,-10.88092,-6.793777778,-45,175,145,151,150,145,TRUE,FALSE,18,15,152.85,
Utah St.,MWC,1.72,0.5071,-12.27668,-7.721777778,-38,143,154,184,141,162,TRUE,FALSE,16,17,152.85,
Portland St.,Big Sky,2.35,0.5036,-9.90904,-6.798555556,-46,133,165,137,152,146,TRUE,FALSE,17,13,153.25,
Southeastern La.,Southland,-0.9,0.5178,-9.1,-6.886444444,-54,180,137,122,160,149,TRUE,FALSE,19,11,153.35,
Mercer,Southern,2.14,0.4998,-11.1964,-8.236888889,-37,137,169,162,139,170,TRUE,FALSE,16,14,153.7,
UNC Asheville,Big South,-2.39,0.5246,-8.98212,-6.128777778,-59,211,123,121,167,128,TRUE,FALSE,19,12,153.9,
FGCU,A-Sun,1.63,0.5069,-8.80312,-6.814444444,-56,145,156,115,161,147,TRUE,FALSE,20,11,154.15,
DePaul,Big East,3.58,0.4835,-12.057,-6.674777778,-35,118,204,181,136,141,FALSE,FALSE,11,20,156.2,
Evansville,MVC,1.92,0.5114,-11.6256,-8.206111111,-53,140,148,169,158,169,TRUE,FALSE,15,15,157.9,
Austin Peay,OVC,-1.27,0.5067,-10.95868,-8.166888889,-43,189,157,153,146,168,TRUE,FALSE,16,14,157.95,
Tulane,AAC,-1.08,0.4941,-12.56888,-9.057888889,-29,184,178,189,129,182,FALSE,FALSE,14,17,158.05,
Radford,Big South,0.04,0.5201,-9.3818,-6.831777778,-65,168,133,127,177,148,TRUE,FALSE,20,12,159.2,16
Illinois,Big 10,4.21,0.4897,-11.27744,-6.139666667,-57,106,187,166,164,130,FALSE,FALSE,13,18,160.75,
Seattle U,WAC,-1.26,0.5039,-10.33152,-7.455222222,-51,188,162,146,156,158,TRUE,FALSE,17,13,161.9,
Ga. Southern,Sunbelt,1.43,0.5158,-9.91956,-7.111222222,-71,150,139,139,182,152,TRUE,FALSE,19,12,162.75,
Washington St.,Pac 12,-0.9,0.4911,-14.88144,-10.34622222,-26,181,185,240,125,204,FALSE,FALSE,12,19,165,
Niagara,MAAC,-1.36,0.5087,-10.78752,-8.010666667,-59,190,152,150,168,167,TRUE,FALSE,19,13,166.3,
Towson,CAA,0.94,0.5103,-12.04732,-9.454888889,-62,158,150,180,172,184,TRUE,FALSE,16,14,169.1,
Drake,MVC,1.53,0.4993,-12.75036,-8.808,-56,149,171,193,162,179,TRUE,FALSE,15,16,169.75,
Central Mich.,MAC,0.64,0.5039,-12.04108,-9.787333333,-60,161,161,179,169,190,TRUE,FALSE,16,14,171.3,
Winthrop,Big South,1.57,0.5037,-10.04416,-7.973333333,-78,148,164,142,187,166,TRUE,FALSE,16,12,172.75,
Saint Louis,A-10,-0.9,0.5026,-11.86452,-7.680777778,-63,179,167,174,174,161,TRUE,FALSE,16,16,173.45,
Rutgers,Big 10,3.29,0.4779,-11.10968,-6.315666667,-65,120,213,159,176,136,FALSE,FALSE,14,19,173.95,
Tennessee Tech,OVC,-3.99,0.5053,-11.24192,-8.304444444,-61,226,159,163,170,172,TRUE,FALSE,17,14,174.35,
Saint Francis (PA),NEC,-1.8,0.5034,-9.63616,-7.873222222,-75,195,166,131,186,163,TRUE,FALSE,16,12,176.1,
Kent St.,MAC,-2.77,0.5116,-14.18808,-11.00988889,-56,217,146,227,163,212,TRUE,FALSE,16,17,177.45,
Yale,Ivy,-2.64,0.4923,-11.72964,-8.472555556,-61,215,182,170,171,175,TRUE,FALSE,15,15,180.45,
Dayton,A-10,0.25,0.5044,-13.4438,-9.610555556,-78,165,160,205,188,186,TRUE,FALSE,14,17,182.2,
Western Mich.,MAC,-0.67,0.4973,-12.9688,-10.23833333,-66,176,175,197,178,199,TRUE,FALSE,15,15,183.05,
Hawaii,Big West,-2.31,0.4879,-11.06828,-8.536,-64,209,196,156,175,176,TRUE,FALSE,15,13,183.85,
UTSA,C-USA,-0.44,0.4878,-11.08188,-7.918111111,-80,173,197,157,191,164,TRUE,FALSE,16,14,186.6,
Hartford,Am. East,-1.97,0.4888,-11.26288,-8.946444444,-74,199,190,165,185,181,TRUE,FALSE,18,13,187.25,
Sam Houston St.,Southland,-2.12,0.4884,-11.86924,-9.470555556,-67,206,194,175,179,185,TRUE,FALSE,15,14,187.65,
Oakland,Horizon,-1.19,0.4957,-10.96352,-8.278888889,-89,186,177,154,203,171,TRUE,FALSE,19,14,188.7,
Colgate,Patriot,-2.05,0.4924,-11.00316,-8.727777778,-84,205,181,155,196,178,TRUE,FALSE,18,13,189.25,
Valparaiso,MVC,-0.16,0.4897,-13.67448,-10.339,-73,171,188,209,183,203,TRUE,FALSE,13,17,189.65,
Louisiana Tech,C-USA,1.62,0.4886,-13.1024,-9.750222222,-82,147,191,200,194,189,TRUE,FALSE,15,16,190.65,
George Washington,A-10,0.07,0.4816,-13.77908,-9.817111111,-70,167,205,216,181,191,TRUE,FALSE,15,18,192.1,
Fairfield,MAAC,-2.04,0.5005,-13.01996,-10.30022222,-86,204,168,199,198,200,TRUE,FALSE,17,16,193.4,
Fort Wayne,Summit,1.87,0.4784,-11.25052,-8.362888889,-93,142,212,164,205,173,TRUE,FALSE,14,14,195.15,
Navy,Patriot,-4.05,0.4891,-10.39252,-8.429444444,-89,227,189,148,204,174,TRUE,FALSE,19,12,195.95,
Pacific,WCC,-1.43,0.4861,-13.6988,-9.867222222,-79,192,200,210,190,193,TRUE,FALSE,13,18,197,
Indiana St.,MVC,0.98,0.4926,-14.80028,-11.09211111,-86,156,180,238,199,216,TRUE,FALSE,11,18,197.55,
Miami (OH),MAC,-0.48,0.4989,-14.25396,-11.218,-86,174,172,230,200,225,TRUE,FALSE,14,17,197.9,
Ohio,MAC,-1.21,0.4852,-14.40248,-11.39833333,-68,187,202,233,180,230,TRUE,FALSE,13,17,198.5,
Pittsburgh,ACC,-4.48,0.4701,-15.6692,-10.21077778,-58,231,226,260,166,198,FALSE,FALSE,8,24,200.1,
Long Beach St.,Big West,-1.99,0.4873,-13.88156,-10.33077778,-84,200,198,219,197,202,TRUE,FALSE,13,18,202.25,
Tennessee St.,OVC,-3.94,0.4968,-12.118,-9.902333333,-103,225,176,182,218,194,TRUE,FALSE,13,15,204.2,
Troy,Sunbelt,1.03,0.4885,-14.1716,-11.069,-97,154,192,225,211,215,TRUE,FALSE,14,17,204.35,
North Dakota St.,Summit,0.94,0.4796,-13.71644,-10.32644444,-97,157,210,213,210,201,TRUE,FALSE,12,17,206.1,
Liberty,Big South,-0.88,0.4864,-12.28592,-9.993555556,-111,178,199,185,224,196,TRUE,FALSE,17,14,208.45,
Denver,Summit,-2,0.4726,-12.61248,-9.723111111,-93,202,223,192,206,187,TRUE,FALSE,13,15,208.55,
Southern Miss.,C-USA,-3.9,0.4768,-14.31492,-10.56188889,-82,224,215,231,195,209,TRUE,FALSE,12,18,209.9,
La.-Monroe,Sunbelt,-3.39,0.4803,-12.58856,-9.912666667,-99,221,207,190,213,195,TRUE,FALSE,13,15,210.2,
Savannah St.,MEAC,-11.3,0.4898,-11.7654,-9.348444444,-99,326,186,171,212,183,TRUE,FALSE,13,17,211.9,
George Mason,A-10,-1.84,0.4773,-13.40736,-9.728888889,-106,196,214,203,219,188,TRUE,FALSE,16,17,212.75,
Central Ark.,Southland,-1.86,0.474,-13.69912,-11.16388889,-95,197,220,211,209,221,TRUE,FALSE,16,16,213.95,
Princeton,Ivy,-1.13,0.468,-13.33156,-10.46166667,-101,185,232,202,214,206,TRUE,FALSE,12,16,215.6,
Richmond,A-10,0.08,0.4883,-15.47516,-11.13,-111,166,195,253,225,220,TRUE,FALSE,12,20,215.9,
La Salle,A-10,1.01,0.4762,-14.64444,-10.72466667,-107,155,216,236,222,210,TRUE,FALSE,13,19,216,
Elon,CAA,-4.55,0.4843,-14.98292,-12.03444444,-93,233,203,243,208,243,TRUE,FALSE,12,18,218.25,
New Orleans,Southland,-5.43,0.4661,-13.63172,-11.19077778,-88,244,233,207,202,223,TRUE,FALSE,12,16,218.55,
Lamar University,Southland,-2.23,0.4745,-11.79988,-10.06944444,-117,207,219,173,235,197,TRUE,FALSE,15,13,220.2,
