team,conf,yusag_coeff,rpi,sor,wab,qual_bonus,yusag_rank,rpi_rank,sor_rank,resume_rank,wab_rank,mid_major,loss_bonus,wins,losses,blend,seed
Richmond,A-10,0.1,0.5421,-8.61172,-4.757666667,0,166,85,107,92,102,TRUE,FALSE,20,12,102.15,NA
St. Bonaventure,A-10,9.58,0.5352,-9.0376,-5.781222222,-10,50,96,112,107,119,TRUE,FALSE,20,12,102.25,NA
UNC Asheville,Big South,-2.4,0.5515,-6.23612,-3.793111111,-4,212,72,71,101,87,TRUE,FALSE,21,9,102.45,NA
Akron,MAC,-6.01,0.5662,-5.08532,-2.237777778,-15,259,59,58,111,70,TRUE,FALSE,25,8,105.4,NA
Memphis,AAC,-0.22,0.5197,-9.07556,-5.506555556,18,171,129,113,78,112,FALSE,FALSE,19,13,106.95,NA
Furman,Southern,7.28,0.538,-8.39052,-5.695666667,-25,79,91,103,119,118,TRUE,FALSE,19,11,108.3,NA
Oakland,Horizon,-1.21,0.5342,-5.63092,-3.347555556,-14,186,97,63,109,82,TRUE,FALSE,22,8,108.4,NA
San Diego St.,MWC,9.94,0.5244,-9.71848,-5.642555556,-14,45,115,126,110,115,TRUE,FALSE,18,14,108.85,NA
San Francisco,WCC,1.64,0.534,-8.20932,-4.877333333,-12,145,98,101,108,105,TRUE,FALSE,19,12,110.2,NA
St. John's (NY),Big East,7.84,0.5109,-10.24056,-4.824333333,0,73,151,134,93,104,FALSE,FALSE,14,19,110.7,NA
Stanford,Pac 12,5.3,0.5276,-11.63952,-6.804333333,-3,95,105,175,99,139,FALSE,FALSE,13,17,111.7,NA
Iona,MAAC,1.63,0.5461,-9.38088,-6.252,-22,146,76,117,116,128,TRUE,FALSE,22,12,112.3,14
Northern Ky.,Horizon,6.66,0.5436,-7.98564,-5.808444444,-44,82,80,95,139,120,TRUE,FALSE,22,10,114.25,15
Towson,CAA,0.94,0.5436,-10.25192,-7.053666667,-20,156,81,136,114,144,TRUE,FALSE,19,13,117.15,NA
Georgia St.,Sunbelt,3.04,0.5327,-8.12584,-4.946666667,-33,127,101,97,127,106,TRUE,FALSE,18,12,117.4,NA
Mississippi St.,SEC,9.02,0.5043,-10.2962,-5.180666667,-9,57,163,140,105,108,FALSE,FALSE,16,16,118.5,NA
Louisiana Tech,C-USA,1.63,0.5228,-7.40492,-4.527111111,-25,147,124,89,118,97,TRUE,FALSE,21,10,119.4,NA
South Dakota,Summit,8.12,0.5287,-7.91072,-5.029222222,-46,70,104,94,143,107,TRUE,FALSE,20,11,119.45,NA
Louisiana,Sunbelt,8.58,0.5356,-10.24576,-7.897555556,-33,63,95,135,129,160,TRUE,FALSE,19,12,119.6,NA
North Dakota St.,Summit,0.91,0.5362,-8.18456,-5.518,-33,157,94,99,128,114,TRUE,FALSE,17,11,120.1,NA
Wright St.,Horizon,3.19,0.5273,-9.38604,-6.630666667,-25,123,106,118,120,135,TRUE,FALSE,18,12,120.1,NA
UConn,AAC,-1.36,0.5242,-10.87304,-6.487333333,-1,191,116,158,96,131,FALSE,FALSE,15,17,120.2,NA
George Washington,A-10,0.05,0.5239,-10.19972,-6.214555556,-8,167,118,132,104,127,TRUE,FALSE,19,14,120.9,NA
Texas Southern,SWAC,-4.75,0.5333,-7.1308,-4.457,-30,237,99,84,124,95,TRUE,FALSE,23,11,124.15,16
Arizona St.,Pac 12,10.48,0.5149,-12.45756,-7.324222222,-23,41,139,189,117,148,FALSE,FALSE,15,18,125.2,NA
George Mason,A-10,-1.45,0.5248,-9.47444,-5.990111111,-21,192,113,121,115,122,TRUE,FALSE,19,13,125.5,NA
Oklahoma,Big 12,10.39,0.495,-11.32228,-5.222666667,-9,42,185,166,106,109,FALSE,FALSE,11,20,125.65,NA
Harvard,Ivy,1.77,0.5183,-7.77208,-5.511888889,-35,143,132,92,131,113,TRUE,FALSE,16,10,128.75,NA
Rutgers,Big 10,3.27,0.4899,-10.43616,-5.240555556,-1,121,197,143,94,110,FALSE,FALSE,14,18,128.95,NA
Temple,AAC,4.92,0.5117,-11.23116,-7.935555556,-18,97,149,163,113,161,FALSE,FALSE,16,16,130.2,NA
Texas,Big 12,9.22,0.502,-12.6462,-6.332111111,-17,53,170,193,112,130,FALSE,FALSE,11,22,130.5,NA
Old Dominion,C-USA,8.83,0.5147,-9.01168,-5.667,-54,58,140,111,152,116,TRUE,FALSE,19,12,133.9,NA
Yale,Ivy,-1.98,0.5236,-8.49312,-6.160444444,-35,200,119,104,132,124,TRUE,FALSE,17,11,133.95,NA
Tulsa,AAC,4.76,0.5153,-12.06624,-8.341111111,-29,99,137,184,122,175,FALSE,FALSE,15,17,134.95,NA
Ohio,MAC,-1.24,0.524,-8.95784,-6.283222222,-40,187,117,110,136,129,TRUE,FALSE,19,11,135.05,NA
Lehigh,Patriot,-5.71,0.5381,-9.62152,-7.188111111,-35,250,90,124,133,147,TRUE,FALSE,19,12,136.45,NA
Ga. Southern,Sunbelt,1.56,0.5235,-11.52648,-8.596888889,-32,150,120,169,126,178,TRUE,FALSE,16,14,138.4,NA
Eastern Wash.,Big Sky,4.37,0.5103,-7.80532,-4.623666667,-57,102,153,93,157,98,TRUE,FALSE,20,11,140.2,NA
William & Mary,CAA,0.63,0.5315,-10.70848,-7.957777778,-46,160,103,154,144,163,TRUE,FALSE,15,14,140.25,NA
Albany (NY),Am. East,2.46,0.5232,-9.7274,-6.835333333,-50,132,122,127,151,140,TRUE,FALSE,20,13,140.35,NA
Marshall,C-USA,4.27,0.5257,-11.14564,-7.663555556,-59,104,110,161,160,152,TRUE,FALSE,19,15,143.2,NA
Arkansas St.,Sunbelt,-7.58,0.5249,-9.4096,-6.495444444,-38,283,111,119,134,132,TRUE,FALSE,19,12,143.45,NA
North Dakota,Big Sky,-5.82,0.5217,-6.75272,-3.877111111,-56,256,126,78,156,90,TRUE,FALSE,19,9,146.1,15
Northeastern,CAA,5.49,0.52,-13.44644,-10.87155556,-38,94,128,206,135,215,TRUE,FALSE,15,16,146.25,NA
New Hampshire,Am. East,-5.78,0.5226,-9.26,-6.663444444,-44,255,125,115,140,136,TRUE,FALSE,17,12,146.85,NA
Fort Wayne,Summit,1.83,0.5038,-9.42336,-6.882,-45,142,165,120,141,141,TRUE,FALSE,16,12,147,NA
Liberty,Big South,-0.89,0.5047,-10.86984,-8.583,-28,178,162,157,121,177,TRUE,FALSE,16,13,148.15,NA
Wyoming,MWC,3.36,0.5026,-10.48548,-6.576444444,-49,119,169,146,148,133,TRUE,FALSE,16,14,150.65,NA
La Salle,A-10,0.96,0.5139,-11.37196,-7.789777778,-48,155,145,167,145,157,TRUE,FALSE,15,15,151.4,NA
Saint Peter's,MAAC,-1.99,0.523,-10.63036,-7.968222222,-49,202,123,150,149,164,TRUE,FALSE,19,13,151.4,NA
UMBC,Am. East,-1.02,0.5062,-10.22108,-8.147666667,-42,183,157,133,138,171,TRUE,FALSE,16,12,152.05,NA
Chattanooga,Southern,-8.35,0.5194,-8.6666,-5.688,-50,292,130,108,150,117,TRUE,FALSE,17,12,153.7,NA
Loyola Marymount,WCC,-3.26,0.5031,-11.18476,-7.951222222,-31,220,168,162,125,162,TRUE,FALSE,14,15,154.65,NA
Elon,CAA,-4.54,0.507,-11.58312,-9.028222222,-29,232,155,171,123,183,TRUE,FALSE,16,14,154.7,NA
Santa Clara,WCC,-7.89,0.5161,-11.53564,-7.847111111,-34,286,134,170,130,158,TRUE,FALSE,16,16,155.4,NA
UC Irvine,Big West,1.92,0.5181,-10.76208,-7.412333333,-67,139,133,155,172,149,TRUE,FALSE,19,14,156.95,NA
Buffalo,MAC,7.59,0.5115,-12.05936,-9.180111111,-63,76,150,183,166,188,TRUE,FALSE,15,15,158.9,NA
Kent St.,MAC,-2.81,0.5159,-10.30684,-6.997888889,-66,217,135,141,170,143,TRUE,FALSE,21,13,162.35,14
Siena,MAAC,-8.46,0.527,-13.9306,-10.509,-40,294,107,219,137,209,TRUE,FALSE,17,17,162.6,NA
Troy,Sunbelt,1.03,0.5147,-11.59164,-8.660888889,-64,153,141,172,168,179,TRUE,FALSE,20,14,163.25,15
N.C. Central,MEAC,-11.43,0.49,-6.04348,-4.351,-46,326,196,65,142,94,TRUE,FALSE,22,8,163.4,16
Washington St.,Pac 12,-0.94,0.4998,-13.06448,-8.331111111,-48,180,178,201,146,174,FALSE,FALSE,12,18,165.7,NA
Ball St.,MAC,-1.92,0.501,-10.04024,-7.501777778,-61,198,172,130,163,151,TRUE,FALSE,20,12,166.25,NA
Tennessee St.,OVC,-3.96,0.509,-9.81056,-7.157777778,-67,225,154,128,171,146,TRUE,FALSE,15,13,167.35,NA
LSU,SEC,8.13,0.4847,-13.575,-7.745555556,-63,69,202,208,164,155,FALSE,FALSE,10,21,167.5,NA
A&M-Corpus Chris,Southland,-5.31,0.5123,-8.8206,-6.623555556,-72,243,146,109,179,134,TRUE,FALSE,17,11,167.65,NA
Rice,C-USA,-7.94,0.5008,-8.5974,-6.080888889,-57,287,173,106,158,123,TRUE,FALSE,20,11,167.95,NA
New Orleans,Southland,-5.43,0.5142,-8.58312,-5.914,-76,244,144,105,185,121,TRUE,FALSE,17,11,168.25,16
South Dakota St.,Summit,7.83,0.5143,-12.92224,-9.545,-78,74,143,194,190,190,TRUE,FALSE,16,16,169.05,16
Lipscomb,A-Sun,-0.16,0.4995,-10.4348,-8.409777778,-63,169,179,142,165,176,TRUE,FALSE,17,13,169.7,NA
UC Davis,Big West,2.63,0.5004,-10.27364,-7.756444444,-74,131,175,138,183,156,TRUE,FALSE,20,12,170.6,16
UNI,MVC,3.93,0.4968,-10.60812,-6.177333333,-78,111,184,148,188,125,TRUE,FALSE,13,16,171,NA
Loyola Chicago,MVC,8.69,0.4903,-10.43636,-6.774555556,-81,62,195,144,192,138,TRUE,FALSE,16,14,171.55,NA
Texas St.,Sunbelt,-2.96,0.5013,-10.9112,-8.159,-59,218,171,159,161,172,TRUE,FALSE,18,13,172.1,NA
UT Martin,OVC,-9.28,0.506,-9.61872,-6.894888889,-64,306,159,123,167,142,TRUE,FALSE,19,12,174,NA
Samford,Southern,-9.62,0.5048,-11.25904,-7.733444444,-55,309,161,164,154,154,TRUE,FALSE,17,15,174.25,NA
Omaha,Summit,-8.42,0.5192,-10.6892,-7.061555556,-73,293,131,153,180,145,TRUE,FALSE,17,14,174.85,NA
Fairfield,MAAC,-2.05,0.4994,-11.75016,-9.043333333,-57,205,180,177,159,184,TRUE,FALSE,16,14,175.15,NA
Mt. St. Mary's,NEC,-4.39,0.5118,-11.75904,-9.061111111,-68,230,148,178,173,185,TRUE,FALSE,19,15,176.15,16
Southern Ill.,MVC,1.87,0.5122,-11.62072,-7.414,-90,141,147,173,203,150,TRUE,FALSE,16,16,176.5,NA
Boston College,ACC,9.26,0.4722,-15.99424,-10.87633333,-54,52,219,262,153,216,FALSE,FALSE,9,23,176.6,NA
Gardner-Webb,Big South,-6.27,0.4942,-11.69396,-9.088888889,-48,264,186,176,147,186,TRUE,FALSE,16,14,177.25,NA
Weber St.,Big Sky,0.79,0.5006,-10.159,-6.720777778,-89,158,174,131,200,137,TRUE,FALSE,17,13,178.1,NA
Mercer,Southern,2.08,0.4939,-13.63888,-10.47777778,-64,137,187,209,169,207,TRUE,FALSE,13,17,180.1,NA
Jacksonville St.,OVC,0.57,0.5108,-11.41092,-8.728444444,-87,162,152,168,199,181,TRUE,FALSE,18,14,180.65,15
UMKC,WAC,-8.67,0.4998,-11.62812,-8.114777778,-60,298,177,174,162,170,TRUE,FALSE,14,16,183.35,NA
Penn,Ivy,3.73,0.4908,-12.55308,-10.04988889,-75,114,194,190,184,198,TRUE,FALSE,13,15,183.5,NA
Stony Brook,Am. East,-3.05,0.5043,-10.66336,-8.000222222,-81,219,164,152,193,166,TRUE,FALSE,18,13,183.55,NA
Utah Valley,WAC,6.25,0.4818,-13.0036,-10.14944444,-73,86,207,197,181,201,TRUE,FALSE,12,16,183.6,NA
Utah St.,MWC,1.73,0.493,-12.30804,-7.996222222,-78,144,189,186,189,165,TRUE,FALSE,13,17,183.8,NA
Wofford,Southern,2.22,0.491,-13.66016,-10.16466667,-71,135,192,212,176,202,TRUE,FALSE,13,17,184.1,NA
Toledo,MAC,3.14,0.506,-13.73244,-10.76988889,-86,124,158,214,198,212,TRUE,FALSE,16,16,185.6,NA
Green Bay,Horizon,-6.79,0.5034,-10.65176,-7.877222222,-76,275,167,151,186,159,TRUE,FALSE,16,13,185.95,NA
Western Mich.,MAC,-0.7,0.4984,-13.05964,-10.24088889,-73,176,181,200,182,204,TRUE,FALSE,15,16,187.15,NA
Canisius,MAAC,4.17,0.5066,-12.60824,-9.936,-104,106,156,191,216,193,TRUE,FALSE,18,15,187.2,NA
Coastal Caro.,Sunbelt,-4.7,0.505,-14.16092,-11.17711111,-69,236,160,229,175,222,TRUE,FALSE,14,17,189.45,NA
Washington,Pac 12,4.3,0.4745,-16.26788,-11.438,-68,103,214,270,174,228,FALSE,FALSE,9,22,191.9,NA
Idaho,Big Sky,3.81,0.4843,-10.61644,-7.712555556,-105,113,203,149,217,153,TRUE,FALSE,16,13,191.9,NA
Houston Baptist,Southland,-13.87,0.5036,-10.44228,-8.110333333,-77,335,166,145,187,169,TRUE,FALSE,13,13,192.55,NA
Evansville,MVC,1.91,0.4935,-13.16204,-9.256444444,-89,140,188,205,201,189,TRUE,FALSE,14,17,192.85,NA
UAB,C-USA,4.01,0.4835,-12.41624,-8.672333333,-90,109,205,188,205,180,TRUE,FALSE,16,16,193.2,NA
Rider,MAAC,2.93,0.487,-13.01888,-10.49055556,-84,128,199,198,196,208,TRUE,FALSE,18,15,193.35,NA
Boston U.,Patriot,-5.74,0.5,-11.89532,-9.562888889,-78,252,176,179,191,191,TRUE,FALSE,17,14,194.15,NA
Missouri St.,MVC,2.31,0.4759,-11.99488,-8.051111111,-93,134,213,180,208,168,TRUE,FALSE,16,16,197.05,NA
Massachusetts,A-10,-2.7,0.4867,-14.49456,-10.51044444,-71,216,200,234,177,210,TRUE,FALSE,15,18,197.65,NA
Sam Houston St.,Southland,-2.14,0.4982,-10.98732,-8.779222222,-97,208,183,160,211,182,TRUE,FALSE,17,13,197.7,NA
East Carolina,AAC,-9.82,0.4765,-14.13952,-10.82155556,-55,313,211,228,155,214,FALSE,FALSE,15,18,198,NA
Denver,Summit,-2,0.4855,-11.28456,-8.185444444,-90,203,201,165,204,173,TRUE,FALSE,16,14,198.15,NA
Eastern Mich.,MAC,0.64,0.4982,-15.02164,-12.53088889,-83,159,182,244,195,251,TRUE,FALSE,12,17,200.65,NA
SFA,Southland,3.84,0.4916,-12.03752,-10.04644444,-121,112,191,182,232,197,TRUE,FALSE,15,14,203.25,NA
San Jose St.,MWC,-7.36,0.4838,-12.01368,-8.044888889,-85,281,204,181,197,167,TRUE,FALSE,12,16,204.55,NA
San Diego,WCC,3.08,0.473,-14.0026,-10.66133333,-91,126,216,223,207,211,TRUE,FALSE,12,18,205.15,NA
DePaul,Big East,3.56,0.4541,-15.47564,-10.24977778,-83,117,245,254,194,205,FALSE,FALSE,9,23,206.15,NA
Hofstra,CAA,2.07,0.4924,-14.71608,-11.865,-97,138,190,238,212,239,TRUE,FALSE,14,17,206.4,NA
Morehead St.,OVC,-9.26,0.4909,-12.99488,-10.042,-90,304,193,196,206,196,TRUE,FALSE,12,16,212.55,NA
