"team","rpi","rpi_rank"
"Brown",0.4397,278
"Savannah St.",0.4393,279
"Abilene Christian",0.4392,280
"Niagara",0.4389,281
"Bryant",0.4386,282
"Hawaii",0.4383,283
"Fairleigh Dickinson",0.4378,284
"The Citadel",0.4378,285
"UMES",0.4373,286
"La.-Monroe",0.4371,287
"NJIT",0.4368,288
"Appalachian St.",0.4353,289
"Oral Roberts",0.4347,290
"Incarnate Word",0.4345,291
"Northern Colo.",0.4339,292
"Jacksonville",0.4332,293
"Detroit Mercy",0.4331,294
"Sacramento St.",0.433,295
"Prairie View",0.4322,296
"Charleston So.",0.4321,297
"South Carolina St.",0.4314,298
"Central Ark.",0.4312,299
"Miami (OH)",0.431,300
"Colgate",0.4305,301
"UMass Lowell",0.4302,302
"Sacred Heart",0.43,303
"Dartmouth",0.4294,304
"Northwestern St.",0.4294,305
"Oregon St.",0.4293,306
"American",0.429,307
"McNeese",0.4282,308
"Binghamton",0.4278,309
"Cal Poly",0.4271,310
"Fla. Atlantic",0.4271,311
"Drexel",0.4267,312
"Southern U.",0.4232,313
"Grambling",0.4231,314
"UTRGV",0.4221,315
"Lafayette",0.4213,316
"Tulane",0.4202,317
"CSUN",0.4201,318
"Jackson St.",0.4191,319
"Drake",0.419,320
"UC Santa Barbara",0.4175,321
"Western Ill.",0.4169,322
"Maine",0.4159,323
"South Fla.",0.4157,324
"Morgan St.",0.4141,325
"Chicago St.",0.4122,326
"Hartford",0.4099,327
"VMI",0.4084,328
"Stetson",0.4068,329
"Mississippi Val.",0.3995,330
"Northern Ariz.",0.3995,331
"UC Riverside",0.3995,332
"SIUE",0.3988,333
"Delaware St.",0.3974,334
"Coppin St.",0.395,335
"Howard",0.3949,336
"Southern Miss.",0.393,337
"FIU",0.3887,338
"North Texas",0.3872,339
"Alabama St.",0.3866,340
"Idaho St.",0.3854,341
"Southern Utah",0.3794,342
"Longwood",0.3767,343
"Bethune-Cookman",0.3763,344
"Ark.-Pine Bluff",0.375,345
"Presbyterian",0.3712,346
"Central Conn. St.",0.3676,347
"St. Francis Brooklyn",0.351,348
"Florida A&M",0.344,349
"N.C. A&T",0.3259,350
"Alabama A&M",0.3212,351
