"team","qual_bonus","sor","wab","wins","losses"
"Little Rock",-358.554,-16.781,-14.4432222222222,7.202,18.798
"LIU",-328.392,-14.14068,-12.4308888888889,11.068,15.932
"LMU (CA)",-88.773,-8.67196,-5.59611111111111,13.775,12.225
"Long Beach St.",-252.874,-15.31232,-12.3513333333333,9.342,18.658
"Longwood",-203.005,-9.08108,-7.51311111111111,14.405,10.595
"Louisiana",-190.578,-9.42124,-7.30533333333333,14.144,11.856
"Louisiana Tech",-26.139,-4.26324,-1.42588888888889,19.68,7.32
"Louisville",-12.207,-7.45324,-2.77444444444444,17.41,12.59
"Loyola Chicago",52.053,-1.05908,1.94644444444444,22.011,3.989
"Loyola Maryland",-235.275,-10.30884,-8.739,15.284,11.716
"LSU",146.757,0.900479999999999,5.68455555555555,25.348,5.652
"Maine",-533.737,-21.37472,-19.4535555555556,2.898,23.102
"Manhattan",-263.745,-12.30792,-10.5536666666667,12.399,13.601
"Marist",-280.006,-11.6796,-10.0938888888889,15.218,12.782
"Marquette",-49.258,-8.09612,-2.61055555555556,14.434,15.566
"Marshall",-189.67,-12.31728,-9.32588888888889,13.066,14.934
"Maryland",-64.45,-8.79352,-3.61888888888889,14.511,16.489
"Massachusetts",-195.9,-12.14728,-9.05966666666667,14.205,14.795
"McNeese",-366.577,-15.606,-13.6211111111111,7.256,17.744
"Memphis",13.022,-5.3934,-1.48588888888889,18.127,9.873
"Mercer",-236.609,-12.67424,-10.0775555555556,12.211,14.789
"Merrimack",-372.025,-14.5778,-12.8014444444444,12.948,17.052
"Miami (FL)",-21.584,-9.07656,-4.19866666666667,16.394,14.606
"Miami (OH)",-127.704,-8.686,-6.09155555555556,16.08,10.92
"Michigan",19.725,-4.4956,0.968888888888889,17.032,12.968
"Michigan St.",106.9,-1.17624,4.42766666666667,21.264,9.736
"Middle Tenn.",-158.609,-11.05396,-8.30366666666667,13.612,13.388
"Milwaukee",-411.159,-17.4308,-15.4524444444444,10.901,19.099
"Minnesota",-20.728,-6.3914,-1.34688888888889,15.622,13.378
"Mississippi St.",15.642,-5.66276,-1.07888888888889,19.213,11.787
"Mississippi Val.",-638.756,-24.37268,-22.4347777777778,1.993,26.007
"Missouri",-218.519,-13.66224,-8.62977777777778,9.006,20.994
"Missouri St.",-96.167,-8.306,-5.31011111111111,18.839,11.161
"Monmouth",-99.096,-5.9122,-3.59177777777778,22.324,7.676
"Montana",-199.145,-10.2674,-8.40066666666667,14.13,11.87
"Montana St.",-189.303,-10.13428,-8.33566666666666,16.489,11.511
"Morehead St.",-115.481,-7.64688,-5.24422222222222,17.398,10.602
"Morgan St.",-306.633,-11.65516,-10.6413333333333,9.56,12.44
"Mount St. Mary's",-303.21,-13.01056,-11.2776666666667,11.701,15.299
"Murray St.",-25.993,-2.84704,-0.876999999999999,21.943,5.057
"N.C. A&T",-351.814,-16.575,-14.3403333333333,8.552,18.448
"N.C. Central",-354.207,-14.0284,-12.5335555555556,9.323,15.677
"Navy",-92.205,-6.0748,-4.07577777777778,20.285,7.715
"NC State",-135.11,-13.60696,-8.87355555555556,11.738,19.262
"Nebraska",-244.486,-14.81548,-9.74944444444444,8.793,22.207
"Nevada",-84.883,-9.924,-6.16966666666667,12.892,14.108
"New Hampshire",-179.441,-8.76,-7.25966666666667,14.016,9.984
"New Mexico",-165.827,-14.668,-11.1168888888889,10.994,18.006
"New Mexico St.",-53.721,-4.69888,-2.03444444444444,21.145,6.855
"New Orleans",-212.665,-10.20904,-8.73888888888889,9.43,11.57
"Niagara",-300.545,-12.51592,-10.6171111111111,11.266,14.734
"Nicholls St.",-147.116,-7.23804,-5.58144444444444,15.148,9.852
"NJIT",-330.826,-14.31432,-12.5798888888889,11.191,15.809
"Norfolk St.",-178.669,-7.23368,-6.11088888888889,15.529,8.471
"North Ala.",-233.606,-11.77148,-9.72011111111111,10.33,14.67
"North Carolina",51.181,-3.51684,1.01244444444445,20.475,9.525
"North Dakota",-490.277,-18.86324,-17.259,5.953,20.047
"North Dakota St.",-150.495,-8.56772,-6.68777777777778,16.341,10.659
"North Florida",-297.243,-15.58604,-12.8825555555556,6.852,19.148
"North Texas",-20.11,-4.843,-1.78166666666667,18.131,7.869
"Northeastern",-267.389,-14.46576,-12.0173333333333,12.644,16.356
"Northern Ariz.",-412.59,-17.51444,-15.5823333333333,7.825,20.175
"Northern Colo.",-182.528,-9.6742,-7.30933333333333,16.352,12.648
"Northern Ill.",-365.877,-19.15256,-16.1544444444444,6.143,21.857
"Northern Ky.",-319.108,-13.449,-11.6427777777778,14.014,14.986
"Northwestern",18.29,-4.49472,-0.127333333333332,16.795,11.205
"Northwestern St.",-410.615,-16.79024,-14.6675555555556,5.67,20.33
"Notre Dame",-33.834,-7.69744,-3.47222222222222,16.428,12.572
"Oakland",-108.94,-6.3094,-3.78944444444444,21.96,9.04
"Ohio",-25.806,-3.98956,-1.52255555555555,22.131,6.869
"Ohio St.",162.39,0.3302,5.41988888888889,21.346,6.654
"Oklahoma",27.85,-4.96056,0.112444444444443,18.598,12.402
"Oklahoma St.",-43.362,-7.46312,-2.41066666666667,14.929,15.071
"Old Dominion",-256.588,-15.46044,-12.4762222222222,12.122,17.878
"Ole Miss",-105.232,-9.71768,-5.63922222222222,14.582,15.418
"Omaha",-474.141,-20.449,-18.2075555555556,4.045,22.955
"Oral Roberts",-130.891,-7.54368,-5.63522222222222,16.713,9.287
"Oregon",-77.129,-8.11132,-3.61022222222222,14.236,14.764
"Oregon St.",-225.915,-15.30368,-10.8355555555556,8.547,21.453
"Pacific",-280.68,-15.91032,-13.1201111111111,6.569,19.431
"Penn",-285.62,-14.94568,-12.2455555555556,10.495,17.505
"Penn St.",-94.885,-9.32024,-4.38144444444444,11.545,16.455
"Pepperdine",-178.533,-15.3344,-11.7371111111111,9.272,19.728
"Pittsburgh",-233.316,-16.24604,-12.004,8.217,20.783
"Portland",-243.795,-15.49732,-12.7584444444444,9.385,18.615
"Portland St.",-362.898,-15.8182,-13.8934444444444,7.392,17.608
"Prairie View",-242.833,-14.04176,-11.2301111111111,10.822,17.178
"Presbyterian",-298.9,-13.875,-11.726,10.86,16.14
"Princeton",-113.158,-6.76216,-5.09211111111111,17.029,7.971
"Providence",80.678,-3.516,1.57288888888889,19.899,10.101
"Purdue",200.1,1.68276,7.01155555555555,25.284,5.716
"Purdue Fort Wayne",-378.929,-15.42456,-13.8847777777778,10.471,16.529
"Quinnipiac",-279.299,-12.83896,-11.1371111111111,12.868,14.132
"Radford",-263.237,-13.15472,-10.7732222222222,10.496,15.504
"Rhode Island",-63.169,-6.64204,-3.69666666666667,17.779,9.221
"Rice",-154.7,-10.14124,-7.50566666666667,15.049,12.951
"Richmond",-56.656,-8.82392,-4.91844444444444,18.75,12.25
"Rider",-406.975,-18.0106,-15.8598888888889,9.285,19.715
"Robert Morris",-462.458,-19.49348,-17.2615555555556,7.21,21.79
"Rutgers",-112.433,-10.8534,-5.84988888888889,11.928,18.072
"Sacramento St.",-343.367,-14.95604,-13.0772222222222,9.056,16.944
"Sacred Heart",-413.103,-16.27476,-14.695,12.456,17.544
"Saint Francis (PA)",-402.461,-15.1834,-13.645,10.868,17.132
"Saint Joseph's",-103.178,-10.25212,-6.79,14.996,14.004
"Saint Louis",-27.471,-6.54008,-3.03833333333333,18.061,9.939
"Saint Mary's (CA)",25.858,-3.77104,-0.0276666666666669,20.54,8.46
"Saint Peter's",-282.065,-13.46748,-11.4223333333333,9.777,15.223
"Sam Houston St.",-287.119,-16.84488,-14.0724444444444,7.663,19.337
"Samford",-177.919,-11.70968,-9.07677777777778,12.138,13.862
"San Diego",-173.543,-12.23144,-9.50655555555556,10.301,14.699
"San Diego St.",34.117,-4.604,-0.678444444444446,20.086,8.914
"San Francisco",3.52,-2.83784,0.0637777777777768,21.63,6.37
"San Jose St.",-180.776,-14.3304,-11.1691111111111,8.606,17.394
"Santa Clara",-39.865,-8.13432,-4.79055555555556,16.907,12.093
"Seattle U",-148.735,-9.75276,-7.77955555555555,16.603,11.397
"Seton Hall",77.5,-2.19684,2.45322222222222,18.413,8.587
"SFA",-129.897,-7.61532,-5.38777777777778,16.103,9.897
"Siena",-362.632,-14.60164,-12.8744444444444,10.063,15.937
"SIUE",-309.398,-15.88488,-13.7237777777778,10.169,17.831
"SMU",-31.233,-6.21544,-2.77011111111111,19.836,10.164
"South Alabama",-156.639,-7.99428,-5.89977777777778,15.967,10.033
"South Carolina",-50.436,-8.56992,-3.84322222222222,14.104,14.896
"South Carolina St.",-402.367,-13.99988,-12.9167777777778,10.744,15.256
"South Dakota",-244.487,-11.24668,-9.682,12.511,12.489
"South Dakota St.",-59.201,-4.25136,-2.12144444444444,21.661,6.339
"South Fla.",-240.814,-16.02888,-12.2495555555556,7.525,20.475
"Southeast Mo. St.",-414.05,-17.82572,-15.8012222222222,8.476,19.524
"Southeastern La.",-344.646,-13.7486,-12.1118888888889,8.543,15.457
