"team","conf","yusag_coeff","sor","wab","qual_bonus","yusag_rank","sor_rank","resume_rank","wab_rank","blend","avg","odds","delta","bm_weight","autobid","atlarge","seed_overall","seed_line","first4"
"Oklahoma","Big 12",12.9110551925445,-4.64068,0.374222222222224,11.08,28,63,56,42,48.3,47.25,64.9805287794636,60.483679283178,0.5,FALSE,TRUE,44,11,TRUE
"Indiana","Big 10",12.0465393333349,-5.5228,-0.959777777777777,34.52,38,69,45,54,47.975,51.5,62.4477184163209,56.5226834681101,0.5,FALSE,TRUE,45,11,TRUE
"Davidson","A-10",9.80566703023058,-1.881,0.854555555555557,51.084,61,25,39,37,42.15,40.5,61.3563800453525,-45.5248977045803,0.75,TRUE,FALSE,46,11,FALSE
"SMU","AAC",11.1304283942616,-2.59836,0.682555555555556,33.76,48,34,47,39,44.3,42,60.3735701132396,50.686619172017,0.5,FALSE,TRUE,47,12,TRUE
"Virginia Tech","ACC",12.5018404456624,-6.57704,-2.20488888888889,31.84,31,86,48,68,51.95,58.25,53.247862931987,50.1100636097103,0.5,FALSE,TRUE,48,12,TRUE
"North Texas","C-USA",9.71299575414937,-2.2468,0.249888888888888,22.862,63,29,51,44,49.825,46.75,24.7434650841974,-17.537778007,0.75,TRUE,FALSE,49,12,FALSE
"South Dakota St.","Summit",7.78024161240948,-1.66952,0.369333333333334,4,81,23,58,43,56.625,51.25,17.7666922955945,-17.4889230607926,0.75,TRUE,FALSE,50,12,FALSE
"Chattanooga","Southern",7.0284634353323,-4.28044,-1.81611111111111,-69,91,54,93,62,82.775,75,3.16240091528568,-4.0432012203809,0.75,TRUE,FALSE,51,13,FALSE
"Vermont","Am. East",8.3099067380901,-3.45008,-1.97766666666667,-35.772,76,41,74,66,68.55,64.25,1.49935623336088,-0.772474977814509,0.75,TRUE,FALSE,52,13,FALSE
"Jacksonville St.","A-Sun",0.762905924620587,-8.15852,-6.57811111111111,-163,153,112,159,129,146.7,138.25,1.39019472456499,-1.85359296608665,0.75,TRUE,FALSE,53,13,FALSE
"Toledo","MAC",8.40269246518699,-4.21008,-2.30766666666667,-41.834,75,52,77,70,71.875,68.5,1.30096146075483,-0.956921045417464,0.75,TRUE,FALSE,54,13,FALSE
"Georgia St.","Sunbelt",0.474149376947783,-8.25268,-6.58088888888889,-158,158,113,154,130,145.85,138.75,1.34115964245379,-1.78821285660505,0.75,TRUE,FALSE,55,14,FALSE
"Long Beach St.","Big West",0.913388597616155,-7.92164,-5.57244444444445,-101.224,150,107,110,116,120.3,120.75,1.08094199830272,-1.44125599773695,0.75,TRUE,FALSE,56,14,FALSE
"Delaware","CAA",0.990947252015932,-9.74484,-7.554,-136,146,151,135,152,142.275,146,0.730329492347037,-0.973772656462716,0.75,TRUE,FALSE,57,14,FALSE
"New Mexico St.","WAC",6.70766049184807,-3.85036,-1.41744444444444,-22.936,95,45,69,58,70.525,66.75,0.409510285168056,0.476793303986452,0.75,TRUE,FALSE,58,14,FALSE
"Colgate","Patriot",2.21362943477748,-9.27992,-7.73922222222222,-158,138,143,155,158,149.325,148.5,0.164500430679152,-0.219333907572203,0.75,TRUE,FALSE,59,15,FALSE
"Norfolk St.","MEAC",-1.11965161068011,-5.14532,-4.20622222222222,-109.765,185,66,118,94,123.95,115.75,0.165409103586766,-0.220545471449022,0.75,TRUE,FALSE,60,15,FALSE
"Princeton","Ivy",4.08214520287844,-4.02988,-2.72244444444445,-45.283,112,48,79,76,82.225,78.75,0.035,0.14,0.75,TRUE,FALSE,61,15,FALSE
"Montana St.","Big Sky",0.921240058751234,-5.99708,-4.60211111111111,-103.56,149,78,111,101,114.3,109.75,0,0,0.75,TRUE,FALSE,62,15,FALSE
"Longwood","Big South",1.25632989492896,-4.53368,-3.41811111111111,-83,144,60,103,85,104.55,98,0.0025,0.01,0.75,TRUE,FALSE,63,16,FALSE
"Bryant","NEC",-2.33084371844909,-7.18236,-5.908,-150,203,95,151,124,152.225,143.25,0.017741157943556,-0.0236548772580747,0.75,TRUE,FALSE,64,16,FALSE
"Wright St.","Horizon",-1.08049447187275,-11.34864,-9.98222222222222,-277,182,184,236,196,209.7,199.5,0,0,0.75,TRUE,FALSE,65,16,TRUE
"Nicholls St.","Southland",-2.04799719057281,-7.60464,-6.10822222222222,-162.715,198,102,158,125,155.475,145.75,0,0,0.75,TRUE,FALSE,66,16,TRUE
"Alcorn","SWAC",-6.50786598276765,-11.11152,-9.06888888888889,-203.867,265,178,191,180,206.175,203.5,0,0,0.75,TRUE,FALSE,67,16,TRUE
"Saint Peter's","MAAC",2.26842834849792,-9.14192,-7.35222222222222,-197.283,136,133,186,146,160.55,150.25,0,NA,NA,TRUE,FALSE,68,16,TRUE
