"Team","Conference","YUSAG_Coefficient","rank","info","Conference_Rank","record","conf_record"
"Iowa","Big 10",5.64,92,"(Conference Rank:  5)",12,"13 - 18","4 - 14"
"Illinois","Big 10",5.44,96,"(Conference Rank:  5)",13,"13 - 17","4 - 14"
"Rutgers","Big 10",3.8,117,"(Conference Rank:  5)",14,"13 - 17","4 - 14"
"Kansas","Big 12",18.64,7,"(Conference Rank:  1)",1,"24 - 7","13 - 5"
"West Virginia","Big 12",17.88,9,"(Conference Rank:  1)",2,"23 - 8","12 - 6"
"Texas Tech","Big 12",16.72,13,"(Conference Rank:  1)",3,"23 - 8","11 - 7"
"Oklahoma","Big 12",15.31,18,"(Conference Rank:  1)",4,"21 - 9","11 - 7"
"TCU","Big 12",14.28,22,"(Conference Rank:  1)",5,"21 - 10","9 - 9"
"Kansas St.","Big 12",12.55,37,"(Conference Rank:  1)",6,"21 - 10","10 - 8"
"Baylor","Big 12",11.47,43,"(Conference Rank:  1)",7,"15 - 15","6 - 12"
"Texas","Big 12",11.09,45,"(Conference Rank:  1)",8,"18 - 13","8 - 10"
"Oklahoma St.","Big 12",9.07,63,"(Conference Rank:  1)",9,"16 - 15","6 - 12"
"Iowa St.","Big 12",3.56,120,"(Conference Rank:  1)",10,"12 - 18","3 - 15"
"Villanova","Big East",25.32,1,"(Conference Rank:  3)",1,"29 - 2","16 - 2"
"Xavier","Big East",16.76,12,"(Conference Rank:  3)",2,"25 - 6","13 - 5"
"Creighton","Big East",15.52,17,"(Conference Rank:  3)",3,"21 - 9","11 - 7"
"Butler","Big East",14.39,21,"(Conference Rank:  3)",4,"20 - 11","10 - 8"
"Seton Hall","Big East",12.72,35,"(Conference Rank:  3)",5,"21 - 10","10 - 8"
"Marquette","Big East",11.77,41,"(Conference Rank:  3)",6,"18 - 12","9 - 9"
"Providence","Big East",9.43,60,"(Conference Rank:  3)",7,"18 - 13","9 - 9"
"St. John's (NY)","Big East",6.3,90,"(Conference Rank:  3)",8,"11 - 19","2 - 16"
"DePaul","Big East",4.27,109,"(Conference Rank:  3)",9,"11 - 19","4 - 14"
"Georgetown","Big East",3.85,116,"(Conference Rank:  3)",10,"14 - 15","4 - 14"
"Montana","Big Sky",8.09,73,"(Conference Rank:  15)",1,"21 - 7","16 - 2"
"Portland St.","Big Sky",4.24,111,"(Conference Rank:  15)",2,"17 - 11","10 - 8"
"Northern Colo.","Big Sky",3.43,125,"(Conference Rank:  15)",3,"17 - 11","11 - 7"
"Idaho","Big Sky",3.19,127,"(Conference Rank:  15)",4,"18 - 10","12 - 6"
"Eastern Wash.","Big Sky",1.59,152,"(Conference Rank:  15)",5,"14 - 15","11 - 7"
"Weber St.","Big Sky",1.34,156,"(Conference Rank:  15)",6,"16 - 11","12 - 6"
"Sacramento St.","Big Sky",-4.51,229,"(Conference Rank:  15)",7,"8 - 21","7 - 11"
"Idaho St.","Big Sky",-4.73,237,"(Conference Rank:  15)",8,"11 - 16","8 - 10"
"North Dakota","Big Sky",-6.68,255,"(Conference Rank:  15)",9,"8 - 20","5 - 13"
"Montana St.","Big Sky",-7.08,259,"(Conference Rank:  15)",10,"12 - 17","7 - 11"
"Southern Utah","Big Sky",-8.31,280,"(Conference Rank:  15)",11,"8 - 19","4 - 14"
"Northern Ariz.","Big Sky",-11.52,320,"(Conference Rank:  15)",12,"5 - 24","3 - 15"
"Winthrop","Big South",2.27,143,"(Conference Rank:  23)",1,"16 - 10","13 - 5"
"Radford","Big South",-0.86,178,"(Conference Rank:  23)",2,"17 - 12","12 - 6"
"UNC Asheville","Big South",-2.38,196,"(Conference Rank:  23)",3,"17 - 12","12 - 6"
"High Point","Big South",-3.09,208,"(Conference Rank:  23)",4,"12 - 14","10 - 8"
"Liberty","Big South",-3.38,215,"(Conference Rank:  23)",5,"15 - 13","9 - 9"
"Campbell","Big South",-4.74,238,"(Conference Rank:  23)",6,"13 - 14","10 - 8"
"Gardner-Webb","Big South",-7.93,278,"(Conference Rank:  23)",7,"11 - 17","9 - 9"
"Charleston So.","Big South",-8.64,287,"(Conference Rank:  23)",8,"8 - 18","6 - 12"
"Presbyterian","Big South",-12.18,330,"(Conference Rank:  23)",9,"8 - 20","4 - 14"
"Longwood","Big South",-17.3,342,"(Conference Rank:  23)",10,"4 - 24","4 - 14"
"UC Santa Barbara","Big West",4.94,101,"(Conference Rank:  12)",1,"21 - 7","12 - 4"
"UC Davis","Big West",2.74,134,"(Conference Rank:  12)",2,"18 - 10","11 - 5"
"UC Irvine","Big West",0.35,163,"(Conference Rank:  12)",3,"12 - 18","9 - 7"
"Cal St. Fullerton","Big West",-0.07,169,"(Conference Rank:  12)",4,"16 - 10","11 - 5"
"Hawaii","Big West",-0.33,174,"(Conference Rank:  12)",5,"17 - 10","10 - 6"
