"date","team","opponent","location","team_score","opp_score","score_diff","pred_score_diff","total_score","pred_total_score"
2017-12-28,"Cornell","Delaware","V",96,97,-1,-6.14772301342856,193,149.959427218794
2017-12-29,"Penn","Toledo","H",72,85,-13,8.29077439779375,157,157.789434180957
2017-12-30,"Brown","Northwestern","V",73,95,-22,-15.6249171481731,168,145.501901734355
2017-12-30,"Columbia","Maine","H",83,71,12,12.5893549274728,154,145.394502773542
2017-12-30,"Cornell","Auburn","V",77,98,-21,-23.9233909071517,175,166.819204863157
2017-12-30,"Dartmouth","New Hampshire","V",66,83,-17,-4.06566149837866,149,140.176961027577
2017-12-30,"Harvard","Minnesota","V",55,65,-10,-17.3773762423776,120,148.110747411668
2017-12-30,"Yale","Kennesaw St.","V",89,74,15,3.15281626613832,163,145.620797669476
2018-01-02,"Harvard","Vermont","H",56,62,-6,-5.15344179680871,118,135.800150826901
2018-01-03,"Brown","NJIT","H",70,69,1,4.90837346760342,139,147.658774161257
2018-01-06,"Harvard","Dartmouth","H",61,51,10,11.3152317209323,112,138.185971396098
2018-01-06,"Penn","Princeton","H",76,70,6,4.39651494082642,146,147.07310437223
2018-01-06,"Yale","Georgia Tech","V",60,74,-14,-6.00245404176451,134,136.061825608595
2018-01-10,"Dartmouth","Vermont","H",78,91,-13,-12.4788498322386,169,145.079945989074
2018-01-10,"Harvard","Wofford","V",62,63,-1,-6.20458398438413,125,134.151187922424
2018-01-12,"Penn","Cornell","H",69,61,8,13.2007644028243,130,163.801283017454
2018-01-12,"Princeton","Columbia","H",72,56,16,9.77727655982299,128,149.640117675022
2018-01-12,"Yale","Brown","H",78,72,6,5.31906409828338,150,154.512015005569
2018-01-13,"Dartmouth","Boston College","V",72,86,-14,-20.6490274781348,158,149.549893874787
2018-01-13,"Penn","Columbia","H",77,71,6,11.0620292268238,148,156.241522891946
2018-01-13,"Princeton","Cornell","H",91,54,37,11.8221631144987,145,149.717778799731
2018-01-19,"Brown","Yale","H",81,80,1,1.31525008193845,161,154.340650066917
2018-01-20,"Columbia","Cornell","H",88,62,26,6.79148939777111,150,160.936453036745
2018-01-20,"Dartmouth","Harvard","H",57,62,-5,-3.65332936081268,119,136.105573803254
2018-01-20,"Penn","Temple","H",51,60,-9,-0.195455531640267,111,144.314540299286
2018-01-26,"Brown","Dartmouth","H",64,62,2,7.96765096449447,126,153.555153304814
2018-01-26,"Yale","Harvard","H",52,54,-2,3.00609852099633,106,136.630745214534
2018-01-27,"Brown","Harvard","H",77,86,-9,0.234643679678026,163,134.108078802738
2018-01-27,"Cornell","Columbia","H",82,81,1,-2.33250333208236,163,159.039340297224
2018-01-27,"Penn","Saint Joseph's","H",67,56,11,2.75043046484578,123,150.322734408819
2018-01-27,"Yale","Dartmouth","H",74,64,10,9.19168926811892,138,149.748229264371
2018-02-02,"Columbia","Harvard","H",83,76,7,0.536781549618894,159,138.421991536708
2018-02-02,"Cornell","Dartmouth","H",86,85,1,2.68564484009781,171,154.118527064367
2018-02-02,"Penn","Brown","H",95,90,5,10.6283122188423,185,149.49571253587
2018-02-02,"Princeton","Yale","H",76,73,3,9.2149143316754,149,142.1434556009
2018-02-03,"Columbia","Dartmouth","H",77,74,3,8.06771908625699,151,153.890435579142
2018-02-03,"Cornell","Harvard","H",73,76,-3,-4.50647001534612,149,142.137580302834
2018-02-03,"Penn","Yale","H",59,50,9,7.33380161794679,109,147.752853847872
2018-02-03,"Princeton","Brown","H",100,102,-2,11.1173376248033,202,147.721133908479
2018-02-06,"Princeton","Penn","H",65,82,-17,3.92175030895268,147,140.85248482601
2018-02-09,"Brown","Cornell","H",60,78,-18,8.37316038529299,138,165.822432072729
2018-02-09,"Dartmouth","Penn","H",61,64,-3,-7.38258137411355,125,144.037119682293
2018-02-09,"Harvard","Princeton","H",66,51,15,0.496687629203731,117,131.232264625691
2018-02-09,"Yale","Columbia","H",88,84,4,5.08633554512561,172,152.365730301004
2018-02-10,"Brown","Columbia","H",91,88,3,1.62606090784053,179,163.540325450509
2018-02-10,"Dartmouth","Princeton","H",72,56,16,-5.00314437003292,128,142.25847853346
2018-02-10,"Harvard","Penn","H",76,67,9,0.0599657151571922,143,130.199310950851
2018-02-10,"Yale","Cornell","H",74,65,9,8.74584538650173,139,154.278995041683
2018-02-16,"Columbia","Penn","H",62,74,-12,-2.34979997494193,136,152.617522331061
2018-02-16,"Cornell","Princeton","H",107,101,6,-4.05330612530688,208,148.548956045437
2018-02-16,"Dartmouth","Yale","H",65,77,-12,-1.120029036135,142,144.435165727427
2018-02-16,"Harvard","Brown","H",65,58,7,8.4712498460091,123,144.313424339226
2018-02-17,"Columbia","Princeton","H",85,60,25,-0.0566206954274975,145,152.534794054335
2018-02-17,"Cornell","Penn","H",71,79,-8,-6.28655573645622,150,152.308631295212
2018-02-17,"Dartmouth","Brown","H",66,63,3,1.68429286790782,129,153.909619637311
2018-02-17,"Harvard","Yale","H",64,49,15,4.6262843027478,113,132.509009517734
2018-02-23,"Columbia","Brown","H",89,82,7,5.74913174155536,171,162.230457636574
2018-02-23,"Cornell","Yale","H",80,82,-2,-1.84390658423418,162,154.62358117854
2018-02-23,"Penn","Dartmouth","H",74,46,28,12.900831462369,120,140.185200533151
2018-02-23,"Princeton","Harvard","H",66,72,-6,1.7605939679475,138,130.36405906511
2018-02-24,"Columbia","Yale","H",73,83,-10,2.51025020332376,156,153.612315179774
2018-02-24,"Cornell","Brown","H",73,68,5,1.555527522835,141,164.692138967816
2018-02-24,"Penn","Harvard","H",74,71,3,6.03262176398156,145,128.39588449626
2018-02-24,"Princeton","Dartmouth","H",64,47,17,9.24568256405819,111,140.984756873541
2018-03-02,"Brown","Princeton","H",63,78,-15,-0.856992113890154,141,151.471430089242
2018-03-02,"Dartmouth","Columbia","H",80,78,2,-1.19835906450254,158,149.430111265709
2018-03-02,"Harvard","Cornell","H",98,88,10,10.973763264822,186,142.439237594322
2018-03-02,"Yale","Penn","H",80,79,1,-1.16260137106446,159,142.328533234954
2018-03-03,"Brown","Penn","H",93,99,-6,-5.64552188708574,192,150.599721921999
2018-03-03,"Dartmouth","Cornell","H",75,86,-11,2.56570993524422,161,151.892045832523
2018-03-03,"Harvard","Columbia","H",93,74,19,7.35227904792015,167,143.540608360998
2018-03-03,"Yale","Princeton","H",94,90,4,2.71610647648975,184,142.688614068285
2018-03-10,"Cornell","Harvard","N",55,74,-19,-7.54532871307778,129,144.52407784303
2018-03-10,"Harvard","Cornell","N",74,55,19,7.54532871307946,129,144.524077843035
2018-03-10,"Penn","Yale","H",80,57,23,7.7199739338336,137,145.519043249555
2018-03-11,"Harvard","Penn","H",65,68,-3,1.34575711425701,133,133.371154715093
2018-03-14,"Harvard","Marquette","V",60,67,-7,-13.195773192946,127,146.893781073082
2018-03-15,"Penn","Kansas","N",60,76,-16,-16.6844714685195,136,147.415280455101
