"date","team","opponent","location","team_score","opp_score","score_diff","pred_score_diff","total_score","pred_total_score"
2017-02-10,"Yale","Dartmouth","H",73,64,9,17.0941770385593,137,141.141510755731
2017-02-11,"Brown","Dartmouth","H",74,77,-3,6.39717593557236,151,154.451619324066
2017-02-11,"Princeton","Columbia","H",61,59,2,12.1270882480109,120,141.098481693447
2017-02-11,"Yale","Harvard","H",67,75,-8,4.03529821123036,142,138.439276368954
2017-02-12,"Penn","Cornell","H",82,63,19,8.61649108626711,145,138.642519814927
2017-02-17,"Brown","Penn","H",72,96,-24,-3.67018992329841,168,149.865148913708
2017-02-17,"Dartmouth","Cornell","H",65,69,-4,0.611291162583324,134,143.573318282831
2017-02-17,"Harvard","Columbia","H",78,72,6,9.20996616490061,150,142.312147923637
2017-02-17,"Yale","Princeton","H",52,71,-19,0.704007489411531,123,135.552775133846
2017-02-18,"Brown","Princeton","H",51,66,-15,-10.8439719407903,117,148.923457348838
2017-02-18,"Dartmouth","Columbia","H",80,79,1,-3.40443438901422,159,144.12525965758
2017-02-18,"Harvard","Cornell","H",87,75,12,12.4939118868213,162,141.568077543191
2017-02-19,"Yale","Penn","H",55,71,-16,4.2046170256466,126,137.114573195138
2017-02-24,"Columbia","Princeton","H",45,64,-19,-6.80919476029698,109,137.678071453353
2017-02-24,"Cornell","Penn","H",66,69,-3,-5.38301809773578,135,139.65816978259
2017-02-24,"Dartmouth","Brown","H",75,80,-5,1.36074039126014,155,154.475555771537
2017-02-24,"Harvard","Yale","H",77,64,13,4.52951769673444,141,139.56827237225
2017-02-25,"Columbia","Penn","H",70,67,3,-2.3793215154586,137,140.082230162307
2017-02-25,"Cornell","Princeton","H",60,75,-15,-10.6839544030975,135,134.707222121068
2017-02-25,"Dartmouth","Yale","H",86,99,-13,-7.54656322515576,185,141.144676056185
2017-02-25,"Harvard","Brown","H",77,58,19,13.5874736354094,135,153.624275260364
2017-03-03,"Brown","Columbia","H",88,68,20,-1.27413568564776,156,159.475628751968
2017-03-03,"Penn","Dartmouth","H",74,76,-2,13.4560694579792,150,136.123147647489
2017-03-03,"Princeton","Harvard","H",73,69,4,6.23627745141338,142,127.297461427076
2017-03-03,"Yale","Cornell","H",90,63,27,10.7012612387142,153,148.03396142124
2017-03-04,"Brown","Cornell","H",78,92,-14,3.21635439272434,170,158.776945762011
2017-03-04,"Penn","Harvard","H",75,72,3,-0.313935636936444,147,133.149680134692
2017-03-04,"Princeton","Dartmouth","H",85,48,37,18.6534698340401,133,132.317647148304
2017-03-04,"Yale","Columbia","H",75,71,4,9.05355259900195,146,148.286065306419
2017-03-11,"Harvard","Yale","N",71,73,-2,1.86859317810587,144,138.904418299372
2017-03-11,"Princeton","Penn","H",72,64,8,9.59882916446976,136,126.522874526532
2017-03-11,"Yale","Harvard","N",73,71,2,-1.86859317810572,144,138.904418299371
2017-03-12,"Princeton","Yale","N",71,59,12,5.67939835144484,130,131.745086393066
2017-03-12,"Yale","Princeton","N",59,71,-12,-5.6793983514454,130,131.745086393064
2017-03-16,"Princeton","Notre Dame","N",58,60,-2,-10.0852481050174,118,133.911939785443
