year,month,day,team,opponent,location,teamscore,oppscore,scorediff,predscorediff,GEI
2017,11,10,LIU Brooklyn,Tulane,V,96,102,-6,-7.3,27.16854596
2017,11,10,LSU,Alcorn,H,99,59,40,21,11.23661361
2017,11,11,La Salle,Saint Peter's,H,61,40,21,4.7,45.04548408
2017,11,10,La.-Monroe,TCU,V,73,83,-10,-24.6,16.11902875
2017,11,10,Lafayette,George Mason,V,65,67,-2,-17.5,12.61681092
2017,11,10,Lamar University,Tulsa,V,74,67,7,-10.1,25.46819297
2017,11,11,Lehigh,Marist,V,84,76,8,12.7,14.34953931
2017,11,10,Long Beach St.,San Francisco,V,83,71,12,-8.2,31.56105848
2017,11,11,Longwood,SFA,H,61,74,-13,-12.6,5.693867441
2017,11,10,Louisiana,Ole Miss,V,76,94,-18,-13.1,30.07971218
2017,11,10,Loyola Chicago,Wright St.,H,84,80,4,10.1,32.51478993
2017,11,10,Loyola Maryland,Northwestern,V,75,79,-4,-19.2,19.28046959
2017,11,11,Loyola Marymount,UT Arlington,V,80,85,-5,-10.4,31.14896412
2017,11,10,Maine,Boston College,V,65,85,-20,-20,10.36326919
2017,11,11,Marist,Lehigh,H,76,84,-8,-12.7,14.34953931
2017,11,10,Marquette,Mt. St. Mary's,H,80,59,21,22.7,18.44917912
2017,11,10,Marshall,UT Martin,H,102,91,11,5.7,36.98962954
2017,11,10,Maryland,Stony Brook,N,76,61,15,17.8,19.84214889
2017,11,10,Massachusetts,UMass Lowell,H,74,69,5,12.8,19.38334701
2017,11,10,McNeese,Houston,V,53,81,-28,-30.5,8.700091292
2017,11,10,Memphis,Alabama,N,70,82,-12,-7.4,40.04956163
2017,11,10,Mercer,UCF,V,79,88,-9,-16.3,23.63574493
2017,11,10,Miami (FL),Gardner-Webb,H,77,45,32,24.4,17.0898068
2017,11,10,Miami (OH),Fordham,V,55,54,1,-6.5,27.67607658
2017,11,11,Michigan,North Florida,H,86,66,20,27.7,15.3546985
2017,11,10,Michigan St.,North Florida,H,98,66,32,23.6,16.85990836
2017,11,10,Minnesota,USC Upstate,H,92,77,15,24.1,15.95336923
2017,11,10,Mississippi St.,Alabama St.,H,96,68,28,29.5,5.545456742
2017,11,11,Mississippi Val.,BYU,V,61,91,-30,-30.4,4.051612448
2017,11,10,Missouri,Iowa St.,H,74,59,15,-6,39.77818595
2017,11,10,Missouri St.,Western Ky.,V,85,80,5,2.2,35.0234603
2017,11,10,Monmouth,Bucknell,H,79,78,1,3,57.42578234
2017,11,10,Montana St.,Omaha,N,89,80,9,-2,37.11493654
2017,11,10,Morehead St.,Xavier,V,49,101,-52,-24.6,17.78236687
2017,11,10,Morgan St.,Binghamton,V,59,76,-17,-6.4,17.83602763
2017,11,10,Mt. St. Mary's,Marquette,V,59,80,-21,-22.7,18.44917912
2017,11,10,N.C. Central,Ill.-Chicago,V,55,65,-10,0.5,31.7530425
2017,11,10,North Carolina St.,VMI,H,102,67,35,25.8,7.756216235
2017,11,11,NJIT,Wagner,H,49,60,-11,0.5,26.49562091
2017,11,10,Navy,Pittsburgh,H,71,62,9,-7.3,24.82237482
2017,11,11,Nebraska,Eastern Ill.,H,72,68,4,13.1,24.91886688
2017,11,10,Nevada,Idaho,H,88,64,24,22.5,17.58424926
2017,11,10,New Orleans,St. John's (NY),V,61,77,-16,-15.1,21.80526845
2017,11,10,Niagara,St. Bonaventure,V,77,75,2,-14.2,20.6576919
2017,11,10,Nicholls St.,UTRGV,V,111,106,5,-2.1,24.49657084
2017,11,10,Norfolk St.,Auburn,V,74,102,-28,-25.4,12.27719662
2017,11,10,North Carolina,UNI,H,86,69,17,26.7,21.01321427
2017,11,10,North Dakota,Troy,N,83,80,3,-0.1,47.73353261
2017,11,11,North Dakota St.,UC Santa Barbara,V,66,85,-19,5.2,19.23948244
2017,11,10,North Florida,Michigan St.,V,66,98,-32,-23.5,16.85990836
2017,11,11,North Florida,Michigan,V,66,86,-20,-27.5,15.3546985
2017,11,10,Northeastern,Boston U.,V,65,59,6,0.7,35.08825929
2017,11,10,Northern Ariz.,Arizona,V,67,101,-34,-35.8,8.91445634
2017,11,10,Northern Colo.,Colorado,V,51,66,-15,-22.3,15.01276625
2017,11,10,Northern Ky.,ETSU,H,81,63,18,-0.2,42.93786792
2017,11,10,Northwestern,Loyola Maryland,H,79,75,4,19.2,19.28046959
2017,11,10,Northwestern St.,Texas,V,59,105,-46,-30,9.646243842
2017,11,11,Notre Dame,DePaul,V,72,58,14,11.2,28.01835389
2017,11,10,Oakland,Fort Wayne,H,85,71,14,9.2,33.30530733
2017,11,11,Ohio,Alabama A&M,H,61,53,8,29.5,1.050304119
2017,11,10,Ohio St.,Robert Morris,H,95,64,31,22,15.26357277
2017,11,10,Oklahoma St.,Pepperdine,H,78,47,31,31.1,11.9214707
2017,11,10,Old Dominion,Towson,H,57,54,3,3.6,51.23422202
2017,11,10,Ole Miss,Louisiana,H,94,76,18,13.1,30.07971218
2017,11,10,Omaha,Montana St.,N,80,89,-9,1.9,37.11493654
2017,11,10,Oregon,Coppin St.,H,70,54,16,43.8,4.14377448
2017,11,10,Oregon St.,Southern Utah,H,99,82,17,12.5,14.74211537
2017,11,11,Penn,Fairfield,V,72,80,-8,0.3,33.93654651
2017,11,10,Penn St.,Campbell,H,86,75,11,19.1,15.28112522
2017,11,10,Pepperdine,Oklahoma St.,V,47,78,-31,-31.2,11.9214707
2017,11,10,Pittsburgh,Navy,V,62,71,-9,7.3,24.82237482
2017,11,11,Portland,Portland St.,H,75,80,-5,2.6,35.74519969
2017,11,11,Portland St.,Portland,V,80,75,5,-2.5,35.74519969
2017,11,10,Prairie View,Utah,V,62,83,-21,-29.3,9.647781232
2017,11,10,Presbyterian,Tennessee,V,53,88,-35,-39,1.399578435
2017,11,10,Providence,Houston Baptist,H,84,55,29,22.4,15.93340526
2017,11,10,Purdue,SIUE,H,105,74,31,35.8,9.816655423
2017,11,11,Quinnipiac,Dartmouth,H,78,77,1,2,28.30305183
2017,11,10,Rhode Island,UNC Asheville,H,84,60,24,14.8,27.37152598
2017,11,10,Rice,Eastern Ky.,H,72,73,-1,7.3,30.31593712
2017,11,10,Richmond,Delaware,H,63,76,-13,11.1,23.21780266
2017,11,10,Rider,Hampton,H,90,75,15,10.9,17.13452616
2017,11,10,Robert Morris,Ohio St.,V,64,95,-31,-22,15.26357277
2017,11,11,SFA,Longwood,V,74,61,13,12.6,5.693867441
2017,11,10,SIUE,Purdue,V,74,105,-31,-35.8,9.816655423
2017,11,10,SMU,UMBC,H,78,67,11,25.2,17.85714985
2017,11,10,Sacramento St.,Colorado St.,V,61,72,-11,-18,15.92733506
2017,11,10,Sacred Heart,Holy Cross,H,64,69,-5,-2.9,21.0539583
2017,11,11,Saint Francis (PA),Saint Mary's (CA),V,68,85,-17,-26.4,14.6483545
2017,11,11,Saint Joseph's,Toledo,V,87,98,-11,-7,36.61050987
2017,11,10,Saint Louis,Seattle U,H,62,46,16,8,23.96277051
2017,11,11,Saint Mary's (CA),Saint Francis (PA),H,85,68,17,26.3,14.6483545
2017,11,11,Saint Peter's,La Salle,V,40,61,-21,-4.7,45.04548408
2017,11,10,Samford,Arkansas,V,56,95,-39,-22.7,19.41096501
2017,11,10,San Francisco,Long Beach St.,H,71,83,-12,8.2,31.56105848
2017,11,10,Savannah St.,Cincinnati,V,77,107,-30,-37.7,7.107735312
2017,11,10,Seattle U,Saint Louis,V,46,62,-16,-8.1,23.96277051
2017,11,10,Seton Hall,Fairleigh Dickinson,H,90,68,22,24.7,13.99092893
2017,11,10,Siena,Col. of Charleston,V,60,68,-8,-9.2,30.25812038
2017,11,10,South Ala.,Texas Tech,V,50,75,-25,-21.7,18.82829906
2017,11,10,South Carolina,Wofford,V,73,52,21,19.1,18.74824571
2017,11,10,South Carolina St.,Wisconsin,V,50,85,-35,-40.9,4.80866819
2017,11,10,South Dakota St.,UC Irvine,H,65,54,11,0.1,40.59946287
2017,11,10,South Fla.,Fla. Atlantic,H,60,59,1,3.5,33.11263183
2017,11,10,Southern California,Cal St. Fullerton,H,84,42,42,23.7,15.55439187
2017,11,10,Southern Ill.,Winthrop,V,81,66,15,0.3,39.28412978
2017,11,10,Southern U.,Illinois,V,55,102,-47,-29.5,8.808412594
2017,11,10,Southern Utah,Oregon St.,V,82,99,-17,-12.6,14.74211537
2017,11,10,St. Bonaventure,Niagara,H,75,77,-2,14.2,20.6576919
2017,11,11,St. Francis Brooklyn,Duquesne,V,70,80,-10,-15.9,8.157515773
2017,11,10,St. John's (NY),New Orleans,H,77,61,16,15.1,21.80526845
2017,11,10,Stanford,Cal Poly,H,78,62,16,18.4,16.84820109
2017,11,10,Stony Brook,Maryland,N,61,76,-15,-17.8,19.84214889
2017,11,10,Syracuse,Cornell,H,77,45,32,26.4,14.10435075
2017,11,10,TCU,La.-Monroe,H,83,73,10,24.7,16.11902875
2017,11,10,Tennessee,Presbyterian,H,88,53,35,39.1,1.399578435
2017,11,10,Tennessee St.,Kansas,V,56,92,-36,-28.9,18.35664083
2017,11,10,Texas,Northwestern St.,H,105,59,46,29.9,9.646243842
2017,11,10,Texas A&M,West Virginia,N,88,65,23,-8.4,46.41213521
2017,11,10,Texas Southern,Gonzaga,V,69,97,-28,-32.8,14.13711175
2017,11,10,Texas Tech,South Ala.,H,75,50,25,21.7,18.82829906
2017,11,11,Toledo,Saint Joseph's,H,98,87,11,7,36.61050987
2017,11,10,Towson,Old Dominion,V,54,57,-3,-3.6,51.23422202
2017,11,10,Troy,North Dakota,N,80,83,-3,0.1,47.73353261
2017,11,10,Tulane,LIU Brooklyn,H,102,96,6,7.4,27.16854596
2017,11,10,Tulsa,Lamar University,H,67,74,-7,10.1,25.46819297
2017,11,10,UAB,Jacksonville,H,96,67,29,14.4,19.18851112
2017,11,10,UC Irvine,South Dakota St.,V,54,65,-11,0,40.59946287
2017,11,10,UC Riverside,California,V,74,66,8,-19.6,16.63265542
2017,11,11,UC Santa Barbara,North Dakota St.,H,85,66,19,-5.2,19.23948244
2017,11,10,UCF,Mercer,H,88,79,9,16.2,23.63574493
2017,11,10,UCLA,Georgia Tech,N,63,60,3,13,33.90536178
2017,11,10,UConn,Colgate,H,70,58,12,18.2,17.61445905
2017,11,10,UMBC,SMU,V,67,78,-11,-25.2,17.85714985
2017,11,10,UMKC,Wichita St.,V,57,109,-52,-31.4,13.86438296
2017,11,10,UMass Lowell,Massachusetts,V,69,74,-5,-12.9,19.38334701
2017,11,10,UNC Asheville,Rhode Island,V,60,84,-24,-14.8,27.37152598
2017,11,10,UNCG,Virginia,V,48,60,-12,-25,19.4528456
2017,11,10,UNI,North Carolina,V,69,86,-17,-26.8,21.01321427
2017,11,11,UNLV,Florida A&M,H,108,66,42,24.7,3.672699909
2017,11,10,USC Upstate,Minnesota,V,77,92,-15,-24,15.95336923
2017,11,11,UT Arlington,Loyola Marymount,H,85,80,5,10.4,31.14896412
2017,11,10,UT Martin,Marshall,V,91,102,-11,-5.7,36.98962954
2017,11,10,UTRGV,Nicholls St.,H,106,111,-5,2.2,24.49657084
2017,11,10,Utah,Prairie View,H,83,62,21,29.3,9.647781232
2017,11,10,Utah St.,Weber St.,V,59,65,-6,-0.2,41.82056153
2017,11,10,Utah Valley,Kentucky,V,63,73,-10,-26.5,19.54897273
2017,11,11,Utah Valley,Duke,V,69,99,-30,-26.6,19.52238367
2017,11,10,VCU,Grambling,H,94,65,29,31.5,7.427678113
2017,11,10,VMI,North Carolina St.,V,67,102,-35,-25.6,7.756216235
2017,11,10,Vanderbilt,Austin Peay,H,73,54,19,27.6,11.9687145
2017,11,10,Villanova,Columbia,H,75,60,15,30.5,15.82980337
2017,11,10,Virginia,UNCG,H,60,48,12,24.8,19.4528456
2017,11,10,Virginia Tech,Detroit Mercy,H,111,79,32,25.8,13.7742489
2017,11,11,Wagner,NJIT,V,60,49,11,-0.4,26.49562091
2017,11,10,Wake Forest,Ga. Southern,H,83,85,-2,17,25.12386098
2017,11,10,Washington,Belmont,H,86,82,4,-0.3,45.91932029
2017,11,10,Weber St.,Utah St.,H,65,59,6,0.2,41.82056153
2017,11,10,West Virginia,Texas A&M,N,65,88,-23,8.5,46.41213521
2017,11,10,Western Caro.,Clemson,V,57,85,-28,-33.6,6.147612998
2017,11,10,Western Ky.,Missouri St.,H,80,85,-5,-2.2,35.0234603
2017,11,10,Wichita St.,UMKC,H,109,57,52,31.5,13.86438296
2017,11,10,William & Mary,High Point,V,66,100,-34,1.1,30.05450237
2017,11,10,Winthrop,Southern Ill.,H,66,81,-15,-0.3,39.28412978
2017,11,10,Wisconsin,South Carolina St.,H,85,50,35,40.8,4.80866819
2017,11,10,Wofford,South Carolina,H,52,73,-21,-19.1,18.74824571
2017,11,10,Wright St.,Loyola Chicago,V,80,84,-4,-10.1,32.51478993
2017,11,10,Wyoming,Chattanooga,H,74,65,9,8.6,31.66259194
2017,11,10,Xavier,Morehead St.,H,101,49,52,24.5,17.78236687
2017,11,10,Yale,Creighton,V,76,92,-16,-20,24.27899303
2017,11,11,Youngstown St.,Kent St.,N,78,111,-33,-12.9,16.62436946
2017,11,13,A&M-Corpus Chris,Baylor,V,46,70,-24,-24.8,18.18110087
2017,11,15,A&M-Corpus Chris,UTRGV,H,NA,NA,NA,11.8,16.9221968
2017,11,13,Abilene Christian,Arkansas St.,V,69,83,-14,-15.8,15.07204283
2017,11,12,Air Force,Texas St.,H,65,57,8,1.4,37.53489836
2017,11,14,Air Force,Canisius,H,NA,NA,NA,1.3,37.3632163
2017,11,18,Akron,UT Martin,H,NA,NA,NA,9.9,29.96206631
2017,11,14,Alabama,Lipscomb,H,NA,NA,NA,17.1,24.77278416
2017,11,17,Alabama,Alabama A&M,H,NA,NA,NA,40.7,0.814473496
2017,11,13,Alabama A&M,Samford,V,68,87,-19,-24,1.227529649
2017,11,17,Alabama A&M,Alabama,V,NA,NA,NA,-40.8,0.814473496
2017,11,12,Alabama St.,Iowa,V,58,92,-34,-32.1,5.233853501
2017,11,14,Alabama St.,South Dakota St.,V,NA,NA,NA,-21.4,6.772651544
2017,11,17,Alabama St.,Oregon,V,NA,NA,NA,-43.9,4.185674149
2017,11,13,Albany (NY),Boston U.,V,88,74,14,0.9,34.68145863
2017,11,17,Albany (NY),Yale,H,NA,NA,NA,2.1,48.63083576
2017,11,12,Alcorn,Creighton,V,72,109,-37,-35.6,8.145136875
2017,11,13,Alcorn,UNI,V,45,73,-28,-19.3,11.77185131
2017,11,17,Alcorn,Baylor,V,NA,NA,NA,-35.6,8.137483657
2017,11,15,American,West Virginia,V,NA,NA,NA,-36.4,9.86595655
2017,11,18,American,Wagner,V,NA,NA,NA,-6.5,22.67940204
2017,11,16,Appalachian St.,Iowa St.,H,NA,NA,NA,-23.3,13.12359491
2017,11,12,Arizona,UMBC,H,103,78,25,26.3,17.42668793
2017,11,16,Arizona,CSU Bakersfield,H,NA,NA,NA,21,23.90491169
2017,11,14,Arizona St.,San Diego St.,H,NA,NA,NA,-0.5,47.46175519
2017,11,17,Arizona St.,Northern Ariz.,H,NA,NA,NA,20.9,12.34697751
2017,11,12,Ark.-Pine Bluff,Troy,N,57,81,-24,-20.3,4.579086636
2017,11,13,Ark.-Pine Bluff,North Dakota,N,71,80,-9,-20.1,4.597827359
2017,11,18,Ark.-Pine Bluff,SMU,V,NA,NA,NA,-42.8,2.96310635
2017,11,12,Arkansas,Bucknell,H,101,73,28,15.6,30.3468668
2017,11,17,Arkansas,Fresno St.,H,NA,NA,NA,15.8,30.13422163
2017,11,13,Arkansas St.,Abilene Christian,H,83,69,14,15.8,15.07204283
2017,11,16,Arkansas St.,Eastern Mich.,V,NA,NA,NA,-3.7,48.3919303
2017,11,18,Army West Point,Marist,V,NA,NA,NA,2.7,20.29097933
2017,11,16,Auburn,Indiana St.,H,NA,NA,NA,11.9,32.85973713
2017,11,13,Austin Peay,Virginia,V,49,93,-44,-34.4,10.40572001
2017,11,15,BYU,Princeton,V,NA,NA,NA,-3.8,58.68053319
2017,11,18,BYU,UT Arlington,H,NA,NA,NA,3.1,61.88980062
2017,11,15,Ball St.,Oklahoma,V,NA,NA,NA,-12.9,30.8964677
2017,11,17,Ball St.,Stony Brook,H,NA,NA,NA,8.3,30.66903576
2017,11,13,Baylor,A&M-Corpus Chris,H,70,46,24,24.8,18.18110087
2017,11,17,Baylor,Alcorn,H,NA,NA,NA,35.7,8.137483657
2017,11,13,Belmont,Vanderbilt,H,69,60,9,-4.4,40.57976612
2017,11,16,Belmont,Middle Tenn.,V,NA,NA,NA,-8.2,44.54542001
2017,11,18,Belmont,Houston Baptist,H,NA,NA,NA,17.2,18.33183306
2017,11,13,Bethune-Cookman,UTRGV,V,74,92,-18,-9.9,9.108355491
2017,11,16,Bethune-Cookman,North Texas,V,NA,NA,NA,-11.7,8.563603388
2017,11,13,Binghamton,Cornell,V,84,94,-10,-5.4,24.45234249
2017,11,16,Binghamton,George Mason,V,NA,NA,NA,-14.4,16.94005088
2017,11,18,Binghamton,Evansville,V,NA,NA,NA,-15.5,16.38263342
2017,11,12,Boise St.,Southern Utah,H,90,69,21,23,10.91264668
2017,11,16,Boise St.,UTEP,H,NA,NA,NA,11.1,29.21012464
2017,11,12,Boston College,South Carolina St.,H,91,52,39,22.9,7.065063008
2017,11,14,Boston College,Sacred Heart,H,NA,NA,NA,15.3,16.49477499
2017,11,18,Boston College,Texas Tech,H,NA,NA,NA,-10.1,27.80934931
2017,11,13,Boston U.,Albany (NY),H,74,88,-14,-0.9,34.68145863
2017,11,13,Bowling Green,South Dakota,H,79,88,-9,-3,28.61040085
2017,11,18,Bowling Green,FGCU,H,NA,NA,NA,-8.8,22.79053458
2017,11,14,Bradley,Delaware,H,NA,NA,NA,7.9,26.59494699
2017,11,17,Bradley,Vermont,H,NA,NA,NA,-6.7,27.4691994
2017,11,13,Brown,Quinnipiac,V,79,72,7,-1,26.84039011
2017,11,14,Bryant,North Carolina St.,V,NA,NA,NA,-18.6,15.71289818
2017,11,18,Bryant,Navy,H,NA,NA,NA,-3,22.18999261
2017,11,12,Bucknell,Arkansas,V,73,101,-28,-15.6,30.3468668
2017,11,15,Bucknell,North Carolina,V,NA,NA,NA,-24.7,23.38196508
2017,11,18,Bucknell,Maryland,V,NA,NA,NA,-12.6,33.88064376
2017,11,15,Buffalo,Jacksonville St.,H,NA,NA,NA,4.4,46.73835807
2017,11,12,Butler,Princeton,H,85,75,10,12.9,37.23102102
2017,11,15,Butler,Maryland,V,NA,NA,NA,1,59.24904053
2017,11,18,Butler,Furman,H,NA,NA,NA,20.2,23.33636613
2017,11,13,CSU Bakersfield,Ga. Southern,V,53,77,-24,-0.8,42.88998004
2017,11,16,CSU Bakersfield,Arizona,V,NA,NA,NA,-21,23.90491169
2017,11,13,CSUN,Fresno St.,V,73,89,-16,-12.9,22.9624735
2017,11,18,CSUN,George Mason,V,NA,NA,NA,-9.5,26.27615761
2017,11,12,Cal Poly,California,V,82,85,-3,-20.1,16.08662348
2017,11,18,Cal Poly,Santa Clara,V,NA,NA,NA,-14.7,18.82853112
2017,11,15,Cal St. Fullerton,Saint Mary's (CA),V,NA,NA,NA,-26.4,14.62789402
2017,11,12,California,Cal Poly,H,85,82,3,20.1,16.08662348
2017,11,16,California,Wofford,H,NA,NA,NA,13.8,25.72460824
2017,11,18,Campbell,UNCW,V,NA,NA,NA,-22.9,13.82462622
2017,11,14,Canisius,Air Force,V,NA,NA,NA,-1.3,37.3632163
2017,11,18,Canisius,Youngstown St.,H,NA,NA,NA,10.6,19.91201228
