"team","sor","qual_bonus","wab","wins","losses"
"Georgia",-7.28968,36,-1.58755555555556,20,14
"Georgia St.",-12.29364,-96,-9.89977777777778,14,14
"Georgia Tech",-5.7708,80,0.697777777777777,21,15
"Gonzaga",-2.68336,113,2.15666666666667,27,8
"Grambling",-22.55864,-268,-20.7945555555556,4,24
"Grand Canyon",-4.74768,13,-2.72211111111111,25,7
"Green Bay",-9.72104,-14,-6.13622222222222,21,13
"Hampton",-8.83684,-44,-7.12511111111111,20,11
"Hartford",-19.91624,-188,-17.8127777777778,8,22
"Harvard",-12.69956,-87,-9.91311111111111,12,16
"Hawaii",-3.30976,65,-0.330666666666666,26,6
"High Point",-9.1768,-49,-7.03377777777778,18,11
"Hofstra",-7.16628,66,-3.45255555555555,23,10
"Holy Cross",-17.92632,-194,-16.1737777777778,14,20
"Houston",-5.90832,45,-2.05055555555556,22,10
"Houston Baptist",-14.87268,-90,-12.4588888888889,13,17
"Howard",-18.54488,-219,-17.1566666666667,10,20
"IUPUI",-15.69016,-86,-12.4747777777778,12,19
"Idaho",-11.81008,-118,-10.1483333333333,19,13
"Idaho St.",-13.81708,-139,-12.3591111111111,14,15
"Ill.-Chicago",-23.24264,-251,-20.811,3,25
"Illinois",-12.21632,-2,-6.99988888888889,15,19
"Illinois St.",-9.89376,-22,-6.37444444444444,17,14
"Incarnate Word",-8.4518,-72,-6.81822222222222,14,11
"Indiana",-1.065,136,4.15911111111111,27,8
"Indiana St.",-13.5618,-70,-10.0134444444444,14,17
"Iona",-8.42584,19,-5.39422222222222,22,11
"Iowa",-2.991,123,2.35433333333333,22,11
"Iowa St.",-2.39124,148,3.98822222222222,23,12
"Jackson St.",-14.1514,-111,-12.4487777777778,18,16
"Jacksonville",-14.65208,-151,-13.1075555555556,12,16
"Jacksonville St.",-21.501,-183,-19.3568888888889,6,23
"James Madison",-8.6016,4,-5.70366666666667,20,11
"Kansas",5.45496,284,12.5623333333333,32,5
"Kansas St.",-6.90912,34,-1.52477777777778,17,16
"Kennesaw St.",-16.679,-153,-14.2682222222222,9,20
"Kent St.",-10.88048,-48,-8.39522222222222,18,13
"Kentucky",-1.57004,141,4.40688888888889,27,9
"LIU Brooklyn",-14.52044,-192,-13.6751111111111,15,15
"LSU",-7.64108,33,-2.39366666666667,19,14
"La Salle",-18.01184,-91,-14.1036666666667,8,22
"La.-Monroe",-11.3314,-62,-8.42622222222222,18,14
"Lafayette",-22.56292,-252,-20.8602222222222,6,24
"Lamar University",-17.808,-207,-16.4635555555556,7,19
"Lehigh",-12.48048,-115,-10.7113333333333,16,15
"Liberty",-17.1208,-170,-14.98,10,19
"Lipscomb",-19.58744,-181,-17.5537777777778,10,21
"Little Rock",-2.02512,54,1.096,28,5
"Long Beach St.",-9.47784,1,-4.78977777777778,18,15
"Longwood",-20.77208,-214,-18.911,7,22
"Louisiana",-12.46444,-53,-9.56722222222222,17,15
"Louisiana Tech",-8.4884,-52,-6.39833333333333,21,10
"Louisville",-0.24436,120,4.39044444444444,23,8
"Loyola Chicago",-13.46588,-90,-10.0866666666667,14,17
"Loyola Maryland",-19.15168,-181,-17.4652222222222,9,21
"Loyola Marymount",-13.58088,-88,-10.2192222222222,13,17
"Manhattan",-16.21124,-137,-13.8824444444444,13,18
"Marist",-21.90356,-225,-20.1717777777778,7,23
"Marquette",-6.23452,37,-1.39211111111111,19,13
"Marshall",-13.21452,-37,-10.2094444444444,17,16
"Maryland",-0.7708,129,4.75911111111111,26,9
"Massachusetts",-14.40952,-55,-10.1554444444444,14,18
"McNeese",-16.50724,-192,-14.7482222222222,7,19
"Memphis",-10.20228,-3,-5.79744444444444,19,15
"Mercer",-13.47904,-74,-11.3171111111111,17,15
"Miami (FL)",1.29916,207,7.87255555555556,27,8
"Miami (OH)",-17.74136,-109,-15.0404444444444,12,20
"Michigan",-4.73412,88,1.34711111111111,22,13
"Michigan St.",1.02224,182,6.63455555555556,29,6
"Middle Tenn.",-7.4612,12,-4.54666666666667,23,10
"Milwaukee",-10.65784,-51,-8.01044444444445,18,13
"Minnesota",-17.57696,-91,-12.7413333333333,8,23
"Mississippi St.",-11.53016,-28,-6.82555555555556,14,17
"Mississippi Val.",-25.00132,-283,-22.6817777777778,8,27
"Missouri",-14.80632,-50,-9.90888888888889,10,21
"Missouri St.",-15.39144,-96,-11.6415555555556,12,19
"Monmouth",-5.34796,45,-2.18066666666667,28,8
"Montana",-9.60688,-63,-7.68566666666667,18,12
"Montana St.",-15.49384,-133,-13.637,13,17
"Morehead St.",-11.4032,-41,-8.53555555555556,21,14
"Morgan St.",-20.1384,-222,-18.6183333333333,8,22
"Mt. St. Mary's",-16.83924,-177,-14.926,14,19
"Murray St.",-12.43048,-76,-10.2108888888889,15,14
"N.C. A&T",-19.17056,-214,-17.6314444444444,10,21
"N.C. Central",-17.81004,-198,-16.43,10,19
"North Carolina St.",-9.33548,25,-3.986,16,17
"NJIT",-12.7568,-94,-10.5387777777778,19,15
"Navy",-12.76136,-125,-11.2545555555556,18,14
"Nebraska",-10.365,-2,-5.39377777777778,16,18
"Nevada",-10.7758,-27,-6.98788888888889,22,14
"New Hampshire",-11.14056,-56,-9.33488888888889,16,13
"New Mexico",-11.6194,-32,-7.99222222222222,17,15
"New Mexico St.",-8.42136,-23,-5.982,21,11
"New Orleans",-18.93052,-207,-17.4282222222222,7,20
"Niagara",-23.24312,-214,-20.8891111111111,7,25
"Nicholls St.",-20.06536,-195,-17.3862222222222,8,23
"Norfolk St.",-15.01544,-111,-12.7591111111111,15,17
"North Carolina",3.45456,261,10.9972222222222,33,7
"North Dakota",-14.51504,-114,-12.6855555555556,14,16
"North Dakota St.",-11.19188,-41,-8.91555555555556,18,13
"North Florida",-9.37596,-61,-7.00944444444444,19,12
"North Texas",-18.19536,-146,-15.9356666666667,10,20
"Northeastern",-11.81064,-10,-8.347,17,15
"Northern Ariz.",-22.48296,-239,-20.1818888888889,3,25
"Northern Colo.",-19.14824,-227,-17.4964444444444,8,21
"Northern Ill.",-11.41164,-31,-9.01666666666667,17,13
"Northern Ky.",-17.7434,-169,-14.9386666666667,7,21
"Northwestern",-6.04076,18,-1.84788888888889,20,12
"Northwestern St.",-16.66716,-180,-14.812,5,19
"Notre Dame",-2.48912,139,3.82577777777778,24,12
"Oakland",-8.45004,-34,-5.22888888888889,23,12
"Ohio",-10.18756,-19,-7.53466666666667,22,12
"Ohio St.",-6.23196,43,-1.19022222222222,21,14
"Oklahoma",2.7118,213,9.79477777777778,29,8
"Oklahoma St.",-12.29172,-24,-7.05066666666667,12,20
"Old Dominion",-10.36088,-26,-7.31277777777778,25,13
"Ole Miss",-7.02664,5,-2.48111111111111,20,12
"Omaha",-12.41356,-66,-10.1152222222222,16,14
"Oral Roberts",-14.14812,-43,-11.0614444444444,12,17
"Oregon",0.646160000000001,238,7.35455555555556,30,7
"Oregon St.",-6.02828,80,-0.543,18,13
"Pacific",-16.64356,-129,-13.6801111111111,6,20
"Penn",-14.3948,-108,-12.027,10,17
"Penn St.",-9.64312,1,-4.81811111111111,16,16
"Pepperdine",-10.66484,-52,-7.27111111111111,17,14
"Pittsburgh",-3.97236,100,1.30988888888889,20,12
"Portland",-16.62196,-149,-13.4614444444444,11,20
"Portland St.",-17.06692,-157,-15.5434444444444,11,18
"Prairie View",-21.5942,-247,-19.298,7,24
"Presbyterian",-18.64452,-177,-16.8211111111111,8,20
"Princeton",-4.22676,23,-1.59522222222222,21,7
"Providence",-2.32036,96,3.19711111111111,24,11
"Purdue",-1.73232,120,3.96122222222222,26,9
"Quinnipiac",-18.73184,-175,-16.91,9,20
"Radford",-13.20996,-81,-10.9426666666667,14,15
"Rhode Island",-11.31128,-9,-7.27555555555556,17,15
"Rice",-18.295,-144,-16.1107777777778,10,20
"Richmond",-11.47244,10,-6.98733333333333,16,16
"Rider",-17.84476,-128,-15.3832222222222,13,20
"Robert Morris",-20.51588,-235,-18.7042222222222,10,22
"Rutgers",-18.90508,-124,-13.9221111111111,6,25
"SFA",-3.72004,34,-1.65733333333333,24,6
"SIUE",-20.03904,-206,-17.8563333333333,6,22
"SMU",-0.93868,99,3.32888888888889,25,5
"Sacramento St.",-15.96748,-183,-14.3842222222222,12,17
"Sacred Heart",-16.43148,-191,-14.821,12,18
"Saint Francis (PA)",-15.64268,-178,-14.3896666666667,12,17
"Saint Joseph's",-3.098,143,2.01244444444444,28,8
"Saint Louis",-17.02736,-94,-13.0707777777778,11,21
"Saint Mary's (CA)",-2.44084,64,0.903555555555556,28,6
"Saint Peter's",-14.0976,-111,-11.9475555555556,14,16
"Sam Houston St.",-12.63572,-76,-10.6448888888889,15,15
"Samford",-16.85292,-147,-14.8004444444444,12,19
"San Diego",-17.83032,-164,-14.7778888888889,8,21
"San Diego St.",-5.62456,60,-1.11122222222222,26,10
"San Francisco",-12.26404,-76,-9.54066666666667,14,15
"San Jose St.",-19.84708,-176,-16.9391111111111,6,22
"Santa Clara",-16.33672,-126,-12.8676666666667,10,20
"Savannah St.",-14.04232,-140,-12.5994444444444,14,16
"Seattle U",-15.31372,-125,-13.3228888888889,13,17
"Seton Hall",-1.2078,126,4.281,25,9
"Siena",-10.8382,-40,-8.49055555555556,21,13
"South Ala.",-16.97512,-136,-14.2016666666667,12,19
"South Carolina",-4.4278,62,0.402222222222222,24,9
"South Carolina St.",-13.49568,-93,-11.5642222222222,17,15
"South Dakota",-16.13984,-106,-13.4843333333333,12,18
"South Dakota St.",-5.97516,19,-3.30133333333333,24,8
"South Fla.",-19.85,-151,-15.1754444444444,8,25
"Southeast Mo. St.",-22.45208,-257,-20.4001111111111,3,24
"Southeastern La.",-18.55228,-198,-16.4533333333333,10,21
"Southern California",-6.37788,82,-0.654888888888888,21,13
"Southern Ill.",-7.45956,-28,-4.704,22,10
"Southern Miss.",-18.8976,-204,-17.2148888888889,7,20
"Southern U.",-11.72916,-112,-10.0731111111111,19,13
"Southern Utah",-21.94136,-264,-19.9653333333333,4,24
"St. Bonaventure",-5.94032,56,-2.554,22,9
"St. Francis Brooklyn",-15.85676,-187,-14.841,14,17
"St. John's (NY)",-16.88492,-83,-11.7003333333333,7,24
"Stanford",-7.94824,65,-2.45133333333333,14,15
"Stetson",-20.20332,-244,-18.3165555555556,8,22
"Stony Brook",-4.7024,27,-2.59366666666667,22,7
"Syracuse",-4.25516,119,1.83988888888889,23,14
"TCU",-12.36768,-10,-6.65933333333333,12,21
"Temple",-5.60712,64,-0.426666666666667,21,12
"Tennessee",-12.37904,-7,-6.63244444444444,15,19
"Tennessee St.",-9.92964,-50,-8.26244444444444,18,11
"Tennessee Tech",-10.168,-35,-7.99688888888889,17,12
"Texas",-3.70968,125,2.72577777777778,20,13
"Texas A&M",-1.85744,159,4.79377777777778,28,9
"Texas Southern",-11.81792,-71,-9.08322222222222,18,15
"Texas St.",-14.55916,-113,-12.4502222222222,13,16
"Texas Tech",-4.88284,69,0.765111111111111,19,13
"The Citadel",-20.65616,-214,-18.9527777777778,7,22
"Toledo",-13.68956,-63,-11.5322222222222,16,15
"Towson",-11.02528,-16,-8.212,18,13
"Troy",-19.995,-201,-17.5395555555556,7,22
"Tulane",-16.6706,-107,-12.1754444444444,12,22
"Tulsa",-6.84544,41,-1.93122222222222,20,12
"UAB",-5.17464,28,-2.75111111111111,25,7
"UC Davis",-17.01252,-149,-14.5176666666667,9,19
"UC Irvine",-6.17152,13,-2.53611111111111,26,10
"UC Riverside",-17.3682,-143,-15.0162222222222,12,19
"UC Santa Barbara",-10.86956,7,-7.07211111111111,18,14
"UCF",-14.39292,-60,-10.6874444444444,12,18
"UCLA",-9.47504,50,-3.94388888888889,15,17
"UConn",-4.28792,92,1.47022222222222,24,11
"UMBC",-23.85492,-259,-22.0835555555556,5,25
"UMES",-18.77564,-193,-16.434,9,22
"UMKC",-16.4908,-145,-14.0878888888889,9,19
"UMass Lowell",-15.18144,-136,-13.3045555555556,9,17
"UNC Asheville",-9.53836,-55,-7.39177777777778,20,12
"UNCG",-16.82872,-112,-14.6093333333333,12,19
"UNCW",-5.53728,42,-2.43388888888889,23,8
"UNI",-7.61428,41,-2.763,22,13
"UNLV",-10.70348,-10,-6.915,16,15
"USC Upstate",-19.32168,-236,-17.5544444444444,7,21
"UT Arlington",-8.86212,-30,-6.21977777777778,23,11
"UT Martin",-13.2884,-117,-11.0057777777778,18,15
"UTEP",-12.78504,-91,-10.888,18,14
"UTRGV",-20.261,-220,-18.3665555555556,5,22
"UTSA",-23.91912,-249,-21.6658888888889,4,26
"Utah",-0.9498,203,5.60944444444444,26,9
"Utah St.",-11.9096,-27,-8.61422222222222,14,15
"Utah Valley",-15.65468,-137,-13.5297777777778,9,18
"VCU",-6.31152,99,-1.50333333333333,25,11
"VMI",-19.175,-181,-17.0495555555556,6,21
"Valparaiso",-3.79952,71,-0.138888888888889,28,7
"Vanderbilt",-6.54372,53,-1.19066666666667,19,14
"Vermont",-11.28404,-19,-8.54277777777778,19,14
"Villanova",4.86516,280,12.0521111111111,35,5
"Virginia",2.51508,240,9.74855555555555,29,8
"Virginia Tech",-6.30664,68,-0.316333333333333,20,15
"Wagner",-9.45728,-86,-7.90366666666667,21,11
"Wake Forest",-11.76384,-15,-5.97844444444444,11,20
"Washington",-8.20936,46,-2.49555555555556,19,15
"Washington St.",-15.79296,-47,-10.5595555555556,8,22
"Weber St.",-7.43692,-33,-5.52722222222222,23,9
"West Virginia",0.27476,164,6.51811111111111,26,9
"Western Caro.",-15.41588,-79,-12.4512222222222,13,18
"Western Ill.",-14.80556,-91,-12.6197777777778,7,17
"Western Ky.",-13.4002,-74,-10.8831111111111,16,16
"Western Mich.",-16.64796,-94,-13.7884444444444,11,19
"Wichita St.",-4.34816,81,0.233777777777778,25,9
"William & Mary",-8.07144,-10,-4.968,18,11
"Winthrop",-7.7088,-37,-5.94688888888889,20,9
"Wisconsin",-4.3908,96,1.482,22,13
"Wofford",-14.05432,-70,-11.5592222222222,13,17
"Wright St.",-10.03596,-55,-7.29422222222222,20,13
"Wyoming",-15.45632,-90,-12.0776666666667,12,18
"Xavier",0.79828,161,6.472,28,6
"Yale",-3.5238,41,-0.643777777777778,22,7
"Youngstown St.",-17.96844,-161,-15.0344444444444,9,21
