"team","sor","qual_bonus","wab","wins","losses"
"Drake",-19.4404,-192,-15.6236666666667,6,23
"Drexel",-20.8486,-162,-17.8873333333333,8,23
"Duke",1.5478,209,8.01766666666667,27,8
"Duquesne",-18.74104,-129,-15.662,10,22
"ETSU",-4.41608,19,-1.41944444444444,25,7
"East Carolina",-14.13952,-55,-10.8215555555556,15,18
"Eastern Ill.",-13.11808,-163,-10.8058888888889,12,15
"Eastern Ky.",-15.98116,-152,-13.3074444444444,10,19
"Eastern Mich.",-15.02164,-83,-12.5308888888889,12,17
"Eastern Wash.",-7.80532,-57,-4.62366666666667,20,11
"Elon",-11.58312,-29,-9.02822222222222,16,14
"Evansville",-13.16204,-89,-9.25644444444444,14,17
"FGCU",-4.56936,-3,-2.62588888888889,23,7
"FIU",-21.86516,-256,-19.2685555555556,5,24
"Fairfield",-11.75016,-57,-9.04333333333333,16,14
"Fairleigh Dickinson",-16.23508,-170,-14.0152222222222,10,19
"Fla. Atlantic",-17.12008,-183,-14.2138888888889,8,20
"Florida",0.19032,156,6.46344444444444,24,8
"Florida A&M",-22.2918,-308,-21.34,5,23
"Florida St.",-0.374839999999999,188,4.79544444444444,25,8
"Fordham",-15.79276,-89,-12.2488888888889,12,19
"Fort Wayne",-9.42336,-45,-6.882,16,12
"Fresno St.",-8.07208,0,-3.91488888888889,18,12
"Furman",-8.39052,-25,-5.69566666666667,19,11
"Ga. Southern",-11.52648,-32,-8.59688888888889,16,14
"Gardner-Webb",-11.69396,-48,-9.08888888888889,16,14
"George Mason",-9.47444,-21,-5.99011111111111,19,13
"George Washington",-10.19972,-8,-6.21455555555556,19,14
"Georgetown",-10.25692,20,-4.68588888888889,14,18
"Georgia",-6.1358,47,-0.0256666666666665,18,14
"Georgia St.",-8.12584,-33,-4.94666666666667,18,12
"Georgia Tech",-7.28728,58,-2.39644444444444,16,15
"Gonzaga",2.77256,171,6.58477777777778,32,1
"Grambling",-15.32804,-155,-14.0275555555556,13,17
"Grand Canyon",-5.59316,-3,-3.097,20,9
"Green Bay",-10.65176,-76,-7.87722222222222,16,13
"Hampton",-14.98512,-153,-13.773,12,16
"Hartford",-20.60916,-218,-17.8803333333333,9,23
"Harvard",-7.77208,-35,-5.51188888888889,16,10
"Hawaii",-14.0436,-130,-11.7515555555556,13,16
"High Point",-13.93988,-113,-11.8043333333333,12,16
"Hofstra",-14.71608,-97,-11.865,14,17
"Holy Cross",-14.80624,-95,-12.348,15,17
"Houston",-6.18044,33,-2.708,21,10
"Houston Baptist",-10.44228,-77,-8.11033333333333,13,13
"Howard",-21.51708,-226,-19.3426666666667,8,24
"IUPUI",-14.73416,-107,-11.4808888888889,12,18
"Idaho",-10.61644,-105,-7.71255555555556,16,13
"Idaho St.",-22.13684,-268,-18.3521111111111,4,26
"Ill.-Chicago",-16.24404,-135,-13.8948888888889,13,18
"Illinois",-6.09528,68,-0.331333333333333,17,14
"Illinois St.",-1.20204,32,3.33977777777778,26,6
"Incarnate Word",-14.99876,-162,-12.9721111111111,8,17
"Indiana",-6.7846,60,-1.23466666666667,18,15
"Indiana St.",-16.31224,-139,-12.3736666666667,10,20
"Iona",-9.38088,-22,-6.252,22,12
"Iowa",-6.71744,67,-1.70188888888889,18,14
"Iowa St.",-0.22196,143,6.32622222222222,23,10
"Jackson St.",-15.09,-164,-13.4142222222222,12,17
"Jacksonville",-13.80964,-143,-12.3144444444444,13,15
"Jacksonville St.",-11.41092,-87,-8.72844444444444,18,14
"James Madison",-20.87652,-161,-18.0836666666667,9,23
"Kansas",4.60588,200,10.7724444444444,28,4
"Kansas St.",-4.47708,83,1.22455555555556,20,13
"Kennesaw St.",-16.11972,-137,-14.0688888888889,12,18
"Kent St.",-10.30684,-66,-6.99788888888889,21,13
"Kentucky",3.24164,191,9.84888888888889,29,5
"LIU Brooklyn",-10.8382,-130,-9.16577777777778,19,12
"LSU",-13.575,-63,-7.74555555555556,10,21
"La Salle",-11.37196,-48,-7.78977777777778,15,15
"La.-Monroe",-21.87916,-167,-19.2451111111111,7,24
"Lafayette",-18.8716,-192,-17.0465555555556,8,21
"Lamar University",-12.27024,-125,-10.0334444444444,15,14
"Lehigh",-9.62152,-35,-7.18811111111111,19,12
"Liberty",-10.86984,-28,-8.583,16,13
"Lipscomb",-10.4348,-63,-8.40977777777778,17,13
"Little Rock",-14.53076,-113,-11.6524444444444,13,17
"Long Beach St.",-13.9526,-124,-10.0091111111111,13,19
"Longwood",-21.7334,-236,-19.5114444444444,4,24
"Louisiana",-10.24576,-33,-7.89755555555555,19,12
"Louisiana Tech",-7.40492,-25,-4.52711111111111,21,10
"Louisville",0.95376,169,6.74922222222222,24,8
"Loyola Chicago",-10.43636,-81,-6.77455555555555,16,14
"Loyola Maryland",-13.81616,-126,-11.6087777777778,14,16
"Loyola Marymount",-11.18476,-31,-7.95122222222222,14,15
"Maine",-21.50952,-213,-18.5643333333333,6,25
"Manhattan",-19.20488,-140,-16.286,10,22
"Marist",-20.94856,-166,-17.9975555555556,8,24
"Marquette",-4.56868,103,0.567333333333333,19,12
"Marshall",-11.14564,-59,-7.66355555555556,19,15
"Maryland",-1.99632,120,2.78844444444444,23,8
"Massachusetts",-14.49456,-71,-10.5104444444444,15,18
"McNeese",-18.6762,-199,-16.7086666666667,5,21
"Memphis",-9.07556,18,-5.50655555555555,19,13
"Mercer",-13.63888,-64,-10.4777777777778,13,17
"Miami (FL)",-3.21972,97,2.05844444444444,21,11
"Miami (OH)",-18.84104,-160,-16.1372222222222,9,21
"Michigan",-3.49076,133,2.63166666666667,24,11
"Michigan St.",-5.2128,83,0.573666666666667,19,14
"Middle Tenn.",-1.47276,66,1.91166666666667,29,4
"Milwaukee",-21.26212,-175,-17.9067777777778,10,24
"Minnesota",-0.55148,141,5.07266666666667,24,9
"Mississippi St.",-10.2962,-9,-5.18066666666667,16,16
"Mississippi Val.",-21.1628,-236,-18.6558888888889,7,25
"Missouri",-17.08276,-109,-11.5617777777778,8,24
"Missouri St.",-11.99488,-93,-8.05111111111111,16,16
"Monmouth",-3.372,40,-0.625111111111111,27,6
"Montana",-13.05096,-146,-9.63233333333333,16,16
"Montana St.",-13.47128,-134,-10.3738888888889,14,16
"Morehead St.",-12.99488,-90,-10.042,12,16
"Morgan St.",-14.3428,-182,-13.0611111111111,13,16
"Mt. St. Mary's",-11.75904,-68,-9.06111111111111,19,15
"Murray St.",-15.24572,-131,-13.0332222222222,14,17
"N.C. A&T",-27.33836,-364,-25.5987777777778,1,29
"N.C. Central",-6.04348,-46,-4.351,22,8
"NJIT",-17.74784,-167,-15.5381111111111,9,20
"Navy",-13.78676,-98,-11.1725555555556,15,16
"Nebraska",-10.50208,14,-4.76855555555556,11,19
"Nevada",-1.76192,65,2.86266666666667,28,6
"New Hampshire",-9.26,-44,-6.66344444444444,17,12
"New Mexico",-9.60932,-6,-5.29355555555556,17,14
"New Mexico St.",-3.0616,26,-0.757444444444444,25,5
"New Orleans",-8.58312,-76,-5.914,17,11
"Niagara",-21.00064,-206,-18.2205555555556,10,23
"Nicholls St.",-14.03304,-128,-11.4111111111111,10,17
"Norfolk St.",-13.12428,-134,-10.9657777777778,15,16
"North Carolina",1.86492,210,7.78666666666667,26,7
"North Carolina St.",-9.713,12,-4.51311111111111,15,17
"North Dakota",-6.75272,-56,-3.87711111111111,19,9
"North Dakota St.",-8.18456,-33,-5.518,17,11
"North Florida",-15.94304,-129,-13.0133333333333,11,19
"North Texas",-19.4844,-225,-16.8495555555556,6,22
"Northeastern",-13.44644,-38,-10.8715555555556,15,16
"Northern Ariz.",-20.81476,-259,-17.859,8,23
"Northern Colo.",-15.284,-144,-12.6918888888889,9,18
"Northern Ill.",-15.14612,-149,-12.6123333333333,12,17
"Northern Ky.",-7.98564,-44,-5.80844444444444,22,10
"Northwestern",-3.58016,105,1.62788888888889,23,11
"Northwestern St.",-13.64356,-189,-11.3158888888889,9,16
"Notre Dame",0.15456,148,5.56411111111111,25,9
"Oakland",-5.63092,-14,-3.34755555555556,22,8
"Ohio",-8.95784,-40,-6.28322222222222,19,11
"Ohio St.",-8.19012,38,-3.581,17,15
"Oklahoma",-11.32228,-9,-5.22266666666667,11,20
"Oklahoma St.",-3.2774,89,2.46666666666667,19,12
"Old Dominion",-9.01168,-54,-5.667,19,12
"Ole Miss",-5.54864,25,0.653222222222222,20,13
"Omaha",-10.6892,-73,-7.06155555555556,17,14
"Oral Roberts",-17.68532,-162,-14.1266666666667,6,22
"Oregon",0.2196,135,5.46933333333333,28,5
"Oregon St.",-22.97064,-158,-18.7132222222222,4,27
"Pacific",-17.27068,-125,-13.4977777777778,10,22
"Penn",-12.55308,-75,-10.0498888888889,13,15
"Penn St.",-10.01408,12,-4.67977777777778,15,18
"Pepperdine",-17.485,-128,-13.6285555555556,8,22
"Pittsburgh",-8.15588,32,-2.48744444444444,16,17
"Portland",-17.89924,-138,-14.2035555555556,9,22
"Portland St.",-13.87112,-159,-11.3823333333333,12,16
"Prairie View",-16.93752,-162,-14.3284444444444,11,20
"Presbyterian",-22.78016,-218,-20.4802222222222,3,25
"Princeton",-4.13368,33,-1.726,22,6
"Providence",-3.5456,69,1.79911111111111,20,12
"Purdue",1.29104,132,6.66022222222222,25,7
"Quinnipiac",-18.53712,-168,-15.81,10,21
"Radford",-15.4576,-107,-13.353,12,18
"Rhode Island",-4.14628,73,0.0187777777777774,24,9
"Rice",-8.5974,-57,-6.08088888888889,20,11
"Richmond",-8.61172,0,-4.75766666666667,20,12
"Rider",-13.01888,-84,-10.4905555555556,18,15
"Robert Morris",-16.31376,-167,-13.8733333333333,14,19
"Rutgers",-10.43616,-1,-5.24055555555555,14,18
"SFA",-12.03752,-121,-10.0464444444444,15,14
"SIUE",-20.91292,-218,-18.5088888888889,5,23
"SMU",1.38768,143,5.54766666666667,30,4
"Sacramento St.",-15.27536,-157,-12.0498888888889,11,18
"Sacred Heart",-17.26256,-197,-15.2712222222222,13,19
"Saint Francis (PA)",-14.08124,-157,-12.0828888888889,15,16
"Saint Joseph's",-16.02692,-100,-12.3926666666667,11,20
"Saint Louis",-17.63404,-96,-14.0242222222222,12,21
"Saint Mary's (CA)",-0.0970399999999995,102,3.27455555555556,28,4
"Saint Peter's",-10.63036,-49,-7.96822222222222,19,13
"Sam Houston St.",-10.98732,-97,-8.77922222222222,17,13
"Samford",-11.25904,-55,-7.73344444444444,17,15
"San Diego",-14.0026,-91,-10.6613333333333,12,18
"San Diego St.",-9.71848,-14,-5.64255555555556,18,14
"San Francisco",-8.20932,-12,-4.87733333333333,19,12
"San Jose St.",-12.01368,-85,-8.04488888888889,12,16
"Santa Clara",-11.53564,-34,-7.84711111111111,16,16
"Savannah St.",-14.18676,-127,-12.1642222222222,11,16
"Seattle U",-14.31396,-106,-11.3973333333333,10,17
"Seton Hall",-3.27096,92,1.94866666666667,21,11
"Siena",-13.9306,-40,-10.509,17,17
"South Ala.",-16.10992,-118,-13.6341111111111,12,18
"South Carolina",-3.45264,87,2.31811111111111,21,10
"South Carolina St.",-16.51408,-162,-14.0347777777778,9,20
"South Dakota",-7.91072,-46,-5.02922222222222,20,11
"South Dakota St.",-12.92224,-78,-9.545,16,16
"South Fla.",-19.82296,-138,-16.7114444444444,7,23
"Southeast Mo. St.",-15.7802,-164,-13.0114444444444,13,18
"Southeastern La.",-14.87928,-148,-13.189,14,16
"Southern California",-4.23844,66,0.675555555555555,24,9
"Southern Ill.",-11.62072,-90,-7.414,16,16
"Southern Miss.",-19.09748,-220,-16.0144444444444,7,22
"Southern U.",-15.35656,-156,-13.6782222222222,13,17
"Southern Utah",-24.90824,-305,-22.0108888888889,4,27
"St. Bonaventure",-9.0376,-10,-5.78122222222222,20,12
"St. Francis Brooklyn",-24.4774,-329,-22.4105555555556,3,27
"St. John's (NY)",-10.24056,0,-4.82433333333333,14,19
"Stanford",-11.63952,-3,-6.80433333333333,13,17
"Stetson",-19.48088,-208,-17.5235555555556,8,21
"Stony Brook",-10.66336,-81,-8.00022222222222,18,13
"Syracuse",-7.4612,65,-2.7,18,14
"TCU",-7.00964,38,-1.08411111111111,18,15
"Temple",-11.23116,-18,-7.93555555555556,16,16
"Tennessee",-9.18976,36,-3.77055555555556,15,16
"Tennessee St.",-9.81056,-67,-7.15777777777778,15,13
"Tennessee Tech",-17.09224,-173,-14.5236666666667,10,20
"Texas",-12.6462,-17,-6.33211111111111,11,22
"Texas A&M",-8.36936,18,-2.86333333333333,16,15
"Texas Southern",-7.1308,-30,-4.457,23,11
"Texas St.",-10.9112,-59,-8.159,18,13
"Texas Tech",-6.93844,27,-1.75144444444444,18,14
"The Citadel",-17.97068,-154,-14.7608888888889,9,21
"Toledo",-13.73244,-86,-10.7698888888889,16,16
"Towson",-10.25192,-20,-7.05366666666667,19,13
"Troy",-11.59164,-64,-8.66088888888889,20,14
"Tulane",-20.20308,-153,-16.0744444444444,6,25
"Tulsa",-12.06624,-29,-8.34111111111111,15,17
"UAB",-12.41624,-90,-8.67233333333333,16,16
"UC Davis",-10.27364,-74,-7.75644444444444,20,12
"UC Irvine",-10.76208,-67,-7.41233333333333,19,14
"UC Riverside",-18.59716,-232,-15.6252222222222,6,21
"UC Santa Barbara",-19.72788,-189,-17.1152222222222,5,22
"UCF",-6.42348,23,-2.871,21,11
"UCLA",1.77152,148,7.04644444444444,29,4
"UConn",-10.87304,-1,-6.48733333333333,15,17
"UMBC",-10.22108,-42,-8.14766666666667,16,12
"UMES",-17.24656,-142,-15.1284444444444,12,20
"UMKC",-11.62812,-60,-8.11477777777778,14,16
"UMass Lowell",-18.2564,-174,-16.0412222222222,10,20
"UNC Asheville",-6.23612,-4,-3.79311111111111,21,9
"UNCG",-6.5158,30,-3.79855555555556,22,9
"UNCW",-2.10284,75,1.23011111111111,27,5
"UNI",-10.60812,-78,-6.17733333333333,13,16
"UNLV",-16.147,-102,-11.8425555555556,11,21
"USC Upstate",-13.07608,-115,-11.1121111111111,13,15
"UT Arlington",-4.78324,27,-1.452,23,8
"UT Martin",-9.61872,-64,-6.89488888888889,19,12
"UTEP",-14.2702,-106,-10.9737777777778,14,17
"UTRGV",-19.51856,-174,-16.9526666666667,7,22
"UTSA",-15.74076,-162,-12.2711111111111,12,19
"Utah",-7.20876,16,-3.467,18,11
"Utah St.",-12.30804,-78,-7.99622222222222,13,17
"Utah Valley",-13.0036,-73,-10.1494444444444,12,16
"VCU",-3.921,82,0.274888888888889,26,8
"VMI",-20.98352,-193,-18.1477777777778,4,24
"Valparaiso",-5.48252,8,-2.679,23,8
"Vanderbilt",-7.08848,88,-0.595888888888889,19,15
"Vermont",-2.4516,47,0.227,28,5
"Villanova",5.18476,250,11.4361111111111,31,3
"Virginia",-1.81112,154,3.60377777777778,22,10
"Virginia Tech",-1.95908,120,3.26355555555556,22,10
"Wagner",-12.97528,-148,-11.5343333333333,15,14
"Wake Forest",-3.31764,89,2.61922222222222,19,13
"Washington",-16.26788,-68,-11.438,9,22
"Washington St.",-13.06448,-48,-8.33111111111111,12,18
"Weber St.",-10.159,-89,-6.72077777777778,17,13
"West Virginia",-0.1178,129,5.57777777777778,26,8
"Western Caro.",-19.18724,-140,-15.7785555555556,7,23
"Western Ill.",-17.01292,-184,-14.3897777777778,6,20
"Western Ky.",-13.6606,-127,-10.079,15,17
"Western Mich.",-13.05964,-73,-10.2408888888889,15,16
"Wichita St.",0.00780000000000015,70,4.24022222222222,29,4
"William & Mary",-10.70848,-46,-7.95777777777778,15,14
"Winthrop",-4.36576,10,-2.291,24,6
"Wisconsin",-0.47156,130,5.39211111111111,25,9
"Wofford",-13.66016,-71,-10.1646666666667,13,17
"Wright St.",-9.38604,-25,-6.63066666666667,18,12
"Wyoming",-10.48548,-49,-6.57644444444444,16,14
"Xavier",-4.11156,80,2.21777777777778,21,13
"Yale",-8.49312,-35,-6.16044444444444,17,11
"Youngstown St.",-18.0234,-162,-15.3786666666667,11,21
