"team","rpi"
"Lafayette",0.4256
"Lamar University",0.4782
"Lehigh",0.5391
"Liberty",0.5083
"Lipscomb",0.5042
"Little Rock",0.4635
"Long Beach St.",0.4756
"Longwood",0.3782
"Louisiana",0.545
"Louisiana Tech",0.5262
"Louisville",0.645
"Loyola Chicago",0.4888
"Loyola Maryland",0.4871
"Loyola Marymount",0.5014
"Maine",0.4198
"Manhattan",0.4528
"Marist",0.4439
"Marquette",0.5624
"Marshall",0.5131
"Maryland",0.5912
"Massachusetts",0.4829
"McNeese",0.4341
"Memphis",0.5217
"Mercer",0.4972
"Miami (FL)",0.5834
"Miami (OH)",0.4309
"Michigan",0.5688
"Michigan St.",0.5685
"Middle Tenn.",0.5906
"Milwaukee",0.4459
"Minnesota",0.6095
"Mississippi St.",0.5019
"Mississippi Val.",0.4035
"Missouri",0.4308
"Missouri St.",0.4726
"Monmouth",0.5946
"Montana",0.4806
"Montana St.",0.4732
"Morehead St.",0.4936
"Morgan St.",0.4261
"Mt. St. Mary's",0.513
"Murray St.",0.4722
"N.C. A&T",0.3265
"N.C. Central",0.4829
"NJIT",0.4405
"Navy",0.4903
"Nebraska",0.5306
"Nevada",0.5846
"New Hampshire",0.5259
"New Mexico",0.5456
"New Mexico St.",0.5653
"New Orleans",0.5096
"Niagara",0.4416
"Nicholls St.",0.4637
"Norfolk St.",0.4593
"North Carolina",0.6403
"North Carolina St.",0.52
"North Dakota",0.5101
"North Dakota St.",0.5419
"North Florida",0.4817
"North Texas",0.3865
"Northeastern",0.5276
"Northern Ariz.",0.4027
"Northern Colo.",0.4358
"Northern Ill.",0.457
"Northern Ky.",0.5411
"Northwestern",0.5701
"Northwestern St.",0.4366
"Notre Dame",0.5975
"Oakland",0.5334
"Ohio",0.5245
"Ohio St.",0.5419
"Oklahoma",0.4944
"Oklahoma St.",0.5828
"Old Dominion",0.5185
"Ole Miss",0.5429
"Omaha",0.522
"Oral Roberts",0.4365
"Oregon",0.6331
"Oregon St.",0.4274
"Pacific",0.4624
"Penn",0.4933
"Penn St.",0.5253
"Pepperdine",0.4486
"Pittsburgh",0.5488
"Portland",0.4497
"Portland St.",0.4414
"Prairie View",0.447
"Presbyterian",0.3726
"Princeton",0.5854
"Providence",0.5644
"Purdue",0.6032
"Quinnipiac",0.4454
"Radford",0.4745
"Rhode Island",0.579
"Rice",0.5104
"Richmond",0.5371
"Rider",0.4923
"Robert Morris",0.4627
"Rutgers",0.4855
"SFA",0.4935
"SIUE",0.4032
"SMU",0.6139
"Sacramento St.",0.4362
"Sacred Heart",0.4326
"Saint Francis (PA)",0.4543
"Saint Joseph's",0.4807
"Saint Louis",0.4479
"Saint Mary's (CA)",0.6135
"Saint Peter's",0.5306
"Sam Houston St.",0.503
"Samford",0.5087
"San Diego",0.471
"San Diego St.",0.5201
"San Francisco",0.5331
"San Jose St.",0.4898
"Santa Clara",0.5101
"Savannah St.",0.4445
"Seattle U",0.4457
"Seton Hall",0.5724
"Siena",0.5272
"South Ala.",0.4785
"South Carolina",0.5821
"South Carolina St.",0.4417
"South Dakota",0.541
"South Dakota St.",0.4986
"South Fla.",0.4171
"Southeast Mo. St.",0.444
"Southeastern La.",0.4716
"Southern California",0.5798
"Southern Ill.",0.512
"Southern Miss.",0.3902
"Southern U.",0.4306
"Southern Utah",0.3733
"St. Bonaventure",0.5334
"St. Francis Brooklyn",0.3532
"St. John's (NY)",0.505
"Stanford",0.5336
"Stetson",0.4095
"Stony Brook",0.5119
"Syracuse",0.544
"TCU",0.54
"Temple",0.5163
"Tennessee",0.5396
"Tennessee St.",0.5126
"Tennessee Tech",0.4445
"Texas",0.4876
"Texas A&M",0.5348
"Texas Southern",0.5413
"Texas St.",0.4977
"Texas Tech",0.5195
"The Citadel",0.4401
"Toledo",0.5075
"Towson",0.5516
"Troy",0.5028
"Tulane",0.4169
"Tulsa",0.5245
"UAB",0.4794
"UC Davis",0.4915
"UC Irvine",0.5175
"UC Riverside",0.4026
"UC Santa Barbara",0.4163
"UCF",0.543
"UCLA",0.6089
"UConn",0.5168
"UMBC",0.5124
"UMES",0.435
"UMKC",0.5011
"UMass Lowell",0.4334
"UNC Asheville",0.5581
"UNCG",0.544
"UNCW",0.6017
"UNI",0.4935
"UNLV",0.4511
"USC Upstate",0.4735
"UT Arlington",0.594
"UT Martin",0.5121
"UTEP",0.4567
"UTRGV",0.4298
"UTSA",0.4362
"Utah",0.5439
"Utah St.",0.4839
"Utah Valley",0.4848
"VCU",0.5973
"VMI",0.4113
"Valparaiso",0.5538
"Vanderbilt",0.5755
"Vermont",0.5864
"Villanova",0.6516
"Virginia",0.6134
"Virginia Tech",0.5736
"Wagner",0.4629
"Wake Forest",0.5845
"Washington",0.4707
"Washington St.",0.5009
"Weber St.",0.5002
"West Virginia",0.5945
"Western Caro.",0.4454
"Western Ill.",0.4218
"Western Ky.",0.4675
"Western Mich.",0.5039
"Wichita St.",0.5832
"William & Mary",0.5385
"Winthrop",0.5617
"Wisconsin",0.573
"Wofford",0.4944
"Wright St.",0.5306
"Wyoming",0.5102
"Xavier",0.5837
"Yale",0.5217
"Youngstown St.",0.453
