"team","conf","yusag_coeff","rpi","sor","wab","qual_bonus","yusag_rank","rpi_rank","sor_rank","resume_rank","wab_rank","blend","autobid","atlarge","pred_seed","seed_overall","seed_line","first4"
"Alabama","SEC",8.76,0.5693,-7.68028,-1.09755555555556,101.212,59,50,99,26,64,46.4,FALSE,TRUE,9.03866666666667,35,9,FALSE
"UCLA","Pac 12",9.09,0.5735,-5.38296,-0.399111111111111,81,56,44,67,44,58,48.9,FALSE,TRUE,9.07733333333333,36,9,FALSE
"Creighton","Big East",12.92,0.5695,-3.22272,1.96433333333333,77,24,49,36,46,31,42.05,FALSE,TRUE,9.18066666666667,37,10,FALSE
"Virginia Tech","ACC",11.51,0.561,-3.19288,1.83722222222222,92,34,61,35,33,34,40.4,FALSE,TRUE,9.24666666666667,38,10,FALSE
"St. Bonaventure","A-10",9.58,0.5959,-2.21612,2.10322222222222,81.94,50,23,25,41,28,36.5,TRUE,FALSE,9.311,39,10,FALSE
"Florida St.","ACC",11.12,0.5576,-3.7486,1.30977777777778,99,36,67,42,27,41,40.8,FALSE,TRUE,9.388,40,10,FALSE
"North Carolina St.","ACC",12.22,0.5621,-3.57172,1.596,81,29,60,40,42,37,44.5,FALSE,TRUE,9.65933333333333,41,11,FALSE
"Butler","Big East",13.4,0.5718,-4.13568,1.48433333333333,81,21,47,48,43,38,41.8,FALSE,TRUE,9.86333333333333,42,11,TRUE
"Rhode Island","A-10",11.51,0.6062,-2.07524,1.69311111111111,55.926,33,17,22,57,35,40.9,FALSE,TRUE,10.025,43,11,TRUE
"Louisville","ACC",10.65,0.5744,-3.97152,1.13833333333333,63,40,43,46,52,42,46.95,FALSE,TRUE,10.1833333333333,44,11,TRUE
"Loyola Chicago","MVC",8.69,0.6004,-2.21172,1.13355555555556,49,62,19,24,61,43,47.1,TRUE,FALSE,10.8343333333333,45,11,FALSE
"Saint Mary's (CA)","WCC",11.86,0.576,-1.77132,1.32622222222222,61,31,41,19,54,40,45.55,FALSE,TRUE,11.5424,46,11,TRUE
"Buffalo","MAC",7.59,0.5952,-5.23796,-2.062,21.04,76,24,63,81,75,65.85,TRUE,FALSE,11.6253333333333,47,12,FALSE
"Western Ky.","C-USA",6.47,0.5844,-4.93844,-1.07433333333333,40.3,84,32,58,67,62,60.55,TRUE,FALSE,11.762,48,12,FALSE
"San Diego St.","MWC",9.94,0.5572,-5.96024,-1.67955555555556,41.93,45,68,72,66,69,67.3,TRUE,FALSE,11.798,49,12,FALSE
"South Dakota St.","Summit",7.83,0.5811,-2.59948,0.586111111111111,37,74,37,29,68,47,56.85,TRUE,FALSE,11.9184,50,12,FALSE
"New Mexico St.","WAC",9.14,0.58,-2.33276,0.814777777777776,48.04,55,38,26,63,45,52.45,TRUE,FALSE,11.9804,51,13,FALSE
"Murray St.","OVC",6.45,0.5814,-3.22772,-0.938,33,85,36,37,72,60,61.6,TRUE,FALSE,12.492,52,13,FALSE
"Col. of Charleston","CAA",4.05,0.569,-4.58936,-2.18888888888889,37,108,51,54,69,76,69.6,TRUE,FALSE,12.699,53,13,FALSE
"Montana","Big Sky",7.82,0.5569,-4.56712,-1.61644444444444,11.74,75,69,52,89,67,78.7,TRUE,FALSE,13.05,54,13,FALSE
"UNCG","Southern",7.03,0.5634,-3.91332,-1.24644444444444,7,81,56,44,94,65,77.3,TRUE,FALSE,13.47,55,14,FALSE
"Bucknell","Patriot",7.24,0.5559,-6.02796,-3.33077777777778,-15,80,71,74,110,86,93.25,TRUE,FALSE,13.586,56,14,FALSE
"SFA","Southland",3.84,0.5386,-4.56724,-2.54977777777778,-4.46,112,102,53,103,79,98.25,TRUE,FALSE,14.132,57,14,FALSE
"Lipscomb","A-Sun",-0.16,0.5391,-6.00072,-3.71,-14,169,101,73,109,91,109.6,TRUE,FALSE,14.548,58,14,FALSE
"Penn","Ivy",3.73,0.5272,-6.0746,-4.07155555555556,-23.788,114,116,75,118,98,112.8,TRUE,FALSE,14.664,59,15,FALSE
"UT Arlington","Sunbelt",3.4,0.5285,-9.65696,-6.50733333333333,-37.81,118,113,133,140,137,132.05,TRUE,FALSE,14.694,60,15,FALSE
"Wright St.","Horizon",3.19,0.5402,-6.91148,-4.32722222222222,-20,123,100,82,114,104,109.2,TRUE,FALSE,14.8,61,15,FALSE
"Iona","MAAC",1.63,0.5347,-10.30484,-7.12688888888889,-63,146,107,145,173,153,151,TRUE,FALSE,14.866,62,15,FALSE
"Cal St. Fullerton","Big West",0.51,0.5219,-8.9194,-6.08277777777778,-37.15,163,128,118,139,126,137.25,TRUE,FALSE,14.926,63,16,FALSE
"Radford","Big South",0.03,0.5201,-9.39836,-6.86744444444444,-63,168,134,127,172,150,157.4,TRUE,FALSE,15.018,64,16,FALSE
"UMBC","Am. East",-1.02,0.5217,-8.2206,-5.47322222222222,-38.47,183,130,104,143,115,139.05,TRUE,FALSE,15.024,65,16,TRUE
"Texas Southern","SWAC",-4.75,0.4681,-14.20672,-11.1354444444444,-111.907,237,232,226,226,219,229.9,TRUE,FALSE,15.992,66,16,TRUE
"LIU Brooklyn","NEC",-5.66,0.4738,-15.0294,-13.4657777777778,-176,249,221,246,302,268,269.45,TRUE,FALSE,15.994,67,16,TRUE
"N.C. Central","MEAC",-11.43,0.4332,-14.5358,-13.1278888888889,-171.03,326,286,235,297,262,289.45,TRUE,FALSE,15.996,68,16,TRUE
