"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1","scorediff","predscorediff","wins"
2016,11,17,"Abilene Christian","New Hampshire","V",65,57,0,2,8,-10.8,1
2016,11,22,"Abilene Christian","Charleston So.","H",65,66,0,2,-1,3.7,0
2016,11,25,"Abilene Christian","Oklahoma","V",64,72,0,2,-8,-23.1,0
2016,11,30,"Abilene Christian","New Mexico","V",55,64,0,2,-9,-15.6,0
2016,12,3,"Abilene Christian","Charleston So.","V",85,82,1,2,3,-2,1
2016,12,17,"Abilene Christian","Sacramento St.","V",86,88,2,2,-2,-3.5,0
2016,12,19,"Abilene Christian","San Francisco","V",51,86,0,2,-35,-16.4,0
2016,12,29,"Abilene Christian","New Orleans","V",66,75,0,2,-9,-10.2,0
2016,12,31,"Abilene Christian","Southeastern La.","V",53,75,0,2,-22,-7.3,0
2017,1,5,"Abilene Christian","Central Ark.","H",76,81,0,2,-5,4.1,0
2017,1,7,"Abilene Christian","SFA","H",69,60,0,2,9,-1.5,1
2017,1,12,"Abilene Christian","Southeastern La.","H",50,56,0,2,-6,-1.5,0
2017,1,14,"Abilene Christian","Lamar University","H",67,64,0,2,3,-1.6,1
2017,1,19,"Abilene Christian","Nicholls St.","V",59,62,0,2,-3,-0.2,0
2017,1,26,"Abilene Christian","Incarnate Word","V",79,82,0,2,-3,-2.1,0
2017,1,28,"Abilene Christian","A&M-Corpus Chris","V",60,72,0,2,-12,-11.2,0
2017,2,1,"Abilene Christian","New Orleans","H",70,69,1,2,1,-4.4,1
2017,2,4,"Abilene Christian","Sam Houston St.","H",71,64,0,2,7,-1,1
2017,2,9,"Abilene Christian","Central Ark.","V",73,84,0,2,-11,-1.6,0
2017,2,11,"Abilene Christian","Northwestern St.","H",76,72,0,2,4,3.1,1
2017,2,16,"Abilene Christian","McNeese","V",82,78,0,2,4,-0.1,1
2017,2,22,"Abilene Christian","A&M-Corpus Chris","H",44,56,0,2,-12,-5.5,0
2017,2,25,"Abilene Christian","Sam Houston St.","V",84,81,0,2,3,-6.7,1
2017,3,1,"Abilene Christian","Incarnate Word","H",75,89,0,2,-14,3.6,0
2017,3,4,"Abilene Christian","Houston Baptist","V",72,81,0,2,-9,-7.2,0
2016,11,14,"Air Force","Jacksonville","H",86,68,0,2,18,7.6,1
2016,11,20,"Air Force","Florida A&M","H",87,62,0,2,25,18.4,1
2016,11,22,"Air Force","Stetson","H",85,72,0,2,13,12.1,1
2016,11,25,"Air Force","Akron","N",75,84,0,2,-9,-7.7,0
2016,11,26,"Air Force","East Carolina","N",63,70,0,2,-7,-2.6,0
2016,11,30,"Air Force","New Mexico St.","V",70,78,0,2,-8,-11.4,0
2016,12,3,"Air Force","Missouri St.","H",83,70,0,2,13,-3.2,1
2016,12,7,"Air Force","Army West Point","V",71,79,0,2,-8,-1.5,0
2016,12,10,"Air Force","Denver","H",65,77,0,2,-12,1.1,0
2016,12,19,"Air Force","Colorado","H",68,75,0,2,-7,-8.8,0
2016,12,22,"Air Force","UC Davis","H",77,67,0,2,10,3.5,1
2016,12,28,"Air Force","Wyoming","V",72,84,0,2,-12,-8.6,0
2016,12,31,"Air Force","Utah St.","H",78,73,0,2,5,-3.2,1
2017,1,7,"Air Force","Colorado St.","V",58,85,0,2,-27,-11.8,0
2017,1,11,"Air Force","Fresno St.","H",81,72,0,2,9,-5.1,1
2017,1,14,"Air Force","San Jose St.","H",85,89,0,2,-4,2.5,0
2017,1,18,"Air Force","Nevada","V",76,83,0,2,-7,-16.5,0
2017,1,21,"Air Force","UNLV","V",85,87,2,2,-2,-1.9,0
2017,1,24,"Air Force","San Diego St.","H",60,57,0,2,3,-7.1,1
2017,2,1,"Air Force","Fresno St.","V",64,73,0,2,-9,-10.8,0
2017,2,4,"Air Force","Wyoming","H",74,83,0,2,-9,-2.9,0
2017,2,8,"Air Force","New Mexico","H",67,74,0,2,-7,-3.4,0
2017,2,11,"Air Force","Boise St.","V",66,76,0,2,-10,-11.8,0
2017,2,15,"Air Force","Nevada","H",59,78,0,2,-19,-10.8,0
2017,2,18,"Air Force","San Jose St.","V",78,83,1,2,-5,-3.3,0
2017,2,22,"Air Force","UNLV","H",81,58,0,2,23,3.8,1
2017,2,25,"Air Force","Utah St.","V",58,89,0,2,-31,-8.9,0
2017,3,1,"Air Force","San Diego St.","V",38,51,0,2,-13,-12.8,0
2017,3,4,"Air Force","Boise St.","H",70,98,0,2,-28,-6.1,0
2017,3,8,"Air Force","Wyoming","N",83,68,0,2,15,-5.8,1
2017,3,9,"Air Force","Colorado St.","N",55,81,0,2,-26,-8.9,0
2016,11,12,"Akron","Youngstown St.","V",82,90,0,2,-8,10.1,0
2016,11,17,"Akron","American","H",72,62,0,2,10,16.4,1
2016,11,20,"Akron","Radford","H",88,41,0,2,47,17,1
2016,11,22,"Akron","Ga. Southern","H",75,67,0,2,8,9.3,1
2016,11,25,"Akron","Air Force","N",84,75,0,2,9,7.7,1
2016,11,26,"Akron","Mercer","N",65,63,0,2,2,4.6,1
2016,12,3,"Akron","Creighton","V",70,82,0,2,-12,-14.8,0
2016,12,7,"Akron","Coppin St.","H",87,63,0,2,24,26.4,1
2016,12,10,"Akron","Gonzaga","V",43,61,0,2,-18,-23.1,0
2016,12,17,"Akron","Marshall","H",99,88,0,2,11,6.5,1
2016,12,21,"Akron","UC Irvine","N",88,80,0,2,8,3.2,1
2016,12,22,"Akron","UMES","N",76,60,0,2,16,15.9,1
2017,1,3,"Akron","Bowling Green","H",89,84,0,2,5,12.5,1
2017,1,6,"Akron","Western Mich.","H",66,59,0,2,7,7.4,1
2017,1,10,"Akron","Central Mich.","V",89,85,0,2,4,6.3,1
2017,1,14,"Akron","Miami (OH)","V",74,70,0,2,4,9,1
2017,1,17,"Akron","Ohio","H",83,68,0,2,15,2.6,1
2017,1,20,"Akron","Eastern Mich.","H",70,63,0,2,7,6.4,1
2017,1,24,"Akron","Western Mich.","V",90,80,0,2,10,1.7,1
2017,1,28,"Akron","Buffalo","H",91,90,0,2,1,5.3,1
2017,1,31,"Akron","Northern Ill.","V",76,73,0,2,3,4,1
2017,2,4,"Akron","Ohio","V",70,85,0,2,-15,-3.1,0
2017,2,7,"Akron","Ball St.","H",65,63,0,2,2,7.9,1
2017,2,10,"Akron","Eastern Mich.","V",87,76,0,2,11,0.7,1
2017,2,14,"Akron","Toledo","H",71,65,0,2,6,5.4,1
2017,2,17,"Akron","Kent St.","H",67,70,0,2,-3,5.8,0
2017,2,21,"Akron","Bowling Green","V",65,66,0,2,-1,6.8,0
2017,2,24,"Akron","Buffalo","V",89,83,0,2,6,-0.4,1
2017,2,28,"Akron","Miami (OH)","H",75,79,0,2,-4,14.7,0
2017,3,3,"Akron","Kent St.","V",66,56,0,2,10,0,1
2017,3,9,"Akron","Eastern Mich.","N",79,62,0,2,17,3.6,1
2017,3,10,"Akron","Ball St.","N",74,70,0,2,4,5,1
2017,3,11,"Akron","Kent St.","N",65,70,0,2,-5,2.9,0
2017,3,15,"Akron","Houston","V",78,75,0,2,3,-10,1
2017,3,20,"Akron","UT Arlington","V",69,85,0,2,-16,-5.6,0
2016,11,11,"Alabama","Coastal Caro.","H",70,53,0,2,17,16.5,1
2016,11,15,"Alabama","Dayton","H",72,77,0,2,-5,0.9,0
2016,11,18,"Alabama","Ball St.","H",77,59,0,2,18,13.9,1
2016,11,21,"Alabama","Valparaiso","N",60,68,0,2,-8,6,0
2016,11,23,"Alabama","Saint Louis","N",62,57,0,2,5,17,1
2016,11,29,"Alabama","Charleston So.","H",76,46,0,2,30,23.9,1
2016,12,2,"Alabama","Texas","V",68,77,0,2,-9,-2.5,0
2016,12,11,"Alabama","Oregon","V",56,65,0,2,-9,-12.3,0
2016,12,15,"Alabama","USC Upstate","H",78,61,0,2,17,19.2,1
2016,12,18,"Alabama","Clemson","H",54,67,0,2,-13,1,0
2016,12,21,"Alabama","Arkansas St.","N",67,52,0,2,15,8.2,1
2016,12,29,"Alabama","Stetson","H",83,60,0,2,23,25.8,1
2017,1,3,"Alabama","Mississippi St.","V",68,58,0,2,10,1.3,1
2017,1,7,"Alabama","Vanderbilt","H",59,56,0,2,3,0.3,1
2017,1,10,"Alabama","Florida","H",67,80,0,2,-13,-8.8,0
2017,1,14,"Alabama","LSU","V",81,66,0,2,15,7.8,1
2017,1,18,"Alabama","Missouri","H",68,56,0,2,12,11.2,1
2017,1,21,"Alabama","Auburn","V",64,84,0,2,-20,0,0
2017,1,25,"Alabama","Georgia","V",80,60,0,2,20,-2.8,1
2017,1,28,"Alabama","Mississippi St.","H",71,62,0,2,9,7,1
2017,2,1,"Alabama","Arkansas","V",68,87,0,2,-19,-5.7,0
2017,2,4,"Alabama","Auburn","H",77,82,0,2,-5,5.8,0
2017,2,7,"Alabama","South Carolina","V",90,86,4,2,4,-9.1,1
2017,2,11,"Alabama","Kentucky","H",58,67,0,2,-9,-9.7,0
2017,2,15,"Alabama","Missouri","V",57,54,0,2,3,5.5,1
2017,2,18,"Alabama","LSU","H",90,72,0,2,18,13.5,1
2017,2,23,"Alabama","Georgia","H",55,60,0,2,-5,2.9,0
2017,2,25,"Alabama","Texas A&M","V",53,56,0,2,-3,-2,0
2017,3,1,"Alabama","Ole Miss","H",70,55,0,2,15,4.6,1
2017,3,4,"Alabama","Tennessee","V",54,59,0,2,-5,-2.9,0
2017,3,9,"Alabama","Mississippi St.","N",75,55,0,2,20,4.2,1
2017,3,10,"Alabama","South Carolina","N",64,53,0,2,11,-6.2,1
2017,3,11,"Alabama","Kentucky","N",74,79,0,2,-5,-12.5,0
2017,3,14,"Alabama","Richmond","H",64,71,0,2,-7,8.1,0
2016,11,11,"Alabama A&M","Missouri St.","V",62,96,0,2,-34,-29.8,0
2016,11,13,"Alabama A&M","Missouri","V",44,99,0,2,-55,-29.1,0
2016,11,17,"Alabama A&M","Tennessee Tech","V",61,95,0,2,-34,-21.1,0
2016,11,21,"Alabama A&M","Southern Miss.","V",55,63,0,2,-8,-14.3,0
2016,11,26,"Alabama A&M","Murray St.","V",54,91,0,2,-37,-25.4,0
2016,11,29,"Alabama A&M","UAB","V",45,75,0,2,-30,-26.3,0
2016,12,3,"Alabama A&M","Tennessee Tech","H",74,79,0,2,-5,-15.4,0
2016,12,10,"Alabama A&M","Troy","V",59,88,0,2,-29,-27.8,0
2016,12,14,"Alabama A&M","Georgia St.","V",79,94,0,2,-15,-28,0
2016,12,22,"Alabama A&M","Bowling Green","V",61,74,0,2,-13,-21.9,0
2016,12,29,"Alabama A&M","Western Mich.","V",50,80,0,2,-30,-26.9,0
2017,1,2,"Alabama A&M","Jackson St.","H",51,63,0,2,-12,-8.5,0
2017,1,4,"Alabama A&M","Grambling","H",67,69,0,2,-2,-6.6,0
2017,1,7,"Alabama A&M","Mississippi Val.","V",79,76,0,2,3,-9.3,1
2017,1,9,"Alabama A&M","Ark.-Pine Bluff","V",65,81,0,2,-16,-7,0
2017,1,14,"Alabama A&M","Alabama St.","H",55,57,0,2,-2,-4.3,0
2017,1,21,"Alabama A&M","Southern U.","H",52,53,0,2,-1,-9.3,0
2017,1,23,"Alabama A&M","Alcorn","H",70,81,0,2,-11,-11.6,0
2017,1,28,"Alabama A&M","Prairie View","V",65,70,0,2,-5,-15,0
2017,1,30,"Alabama A&M","Texas Southern","V",47,92,0,2,-45,-23.2,0
2017,2,4,"Alabama A&M","Mississippi Val.","H",66,68,0,2,-2,-3.5,0
2017,2,6,"Alabama A&M","Ark.-Pine Bluff","H",49,65,0,2,-16,-1.3,0
2017,2,11,"Alabama A&M","Alabama St.","V",89,97,3,2,-8,-10.1,0
2017,2,18,"Alabama A&M","Southern U.","V",64,77,0,2,-13,-15,0
2017,2,20,"Alabama A&M","Alcorn","V",59,74,0,2,-15,-17.3,0
2017,2,25,"Alabama A&M","Prairie View","H",87,74,0,2,13,-9.2,1
2017,2,27,"Alabama A&M","Texas Southern","H",64,74,0,2,-10,-17.5,0
2017,3,2,"Alabama A&M","Jackson St.","V",64,72,0,2,-8,-14.2,0
2017,3,4,"Alabama A&M","Grambling","V",57,78,0,2,-21,-12.3,0
2016,11,12,"Alabama St.","Western Ky.","V",66,79,0,2,-13,-14.9,0
2016,11,14,"Alabama St.","TCU","V",62,98,0,2,-36,-34.5,0
2016,11,16,"Alabama St.","Louisiana Tech","V",56,87,0,2,-31,-25.7,0
2016,11,22,"Alabama St.","Kennesaw St.","V",72,79,0,2,-7,-13.5,0
2016,11,25,"Alabama St.","Northern Ariz.","N",57,71,0,2,-14,-4.5,0
2016,11,26,"Alabama St.","Cal St. Fullerton","N",76,67,1,2,9,-10.1,1
2016,11,29,"Alabama St.","Jacksonville St.","H",69,72,0,2,-3,-13.4,0
2016,12,4,"Alabama St.","Troy","V",65,83,0,2,-18,-20.6,0
2016,12,12,"Alabama St.","San Diego St.","V",41,73,0,2,-32,-26.5,0
2016,12,14,"Alabama St.","Tennessee St.","V",46,68,0,2,-22,-20.1,0
2016,12,22,"Alabama St.","Ball St.","V",48,73,0,2,-25,-19.2,0
2017,1,2,"Alabama St.","Grambling","H",73,69,0,2,4,0.6,1
2017,1,4,"Alabama St.","Jackson St.","H",60,63,0,2,-3,-1.3,0
2017,1,7,"Alabama St.","Ark.-Pine Bluff","V",63,71,0,2,-8,0.2,0
2017,1,9,"Alabama St.","Mississippi Val.","V",70,73,0,2,-3,-2.1,0
2017,1,14,"Alabama St.","Alabama A&M","V",57,55,0,2,2,4.3,1
2017,1,21,"Alabama St.","Alcorn","H",71,78,0,2,-7,-4.3,0
2017,1,23,"Alabama St.","Southern U.","H",79,65,0,2,14,-2.1,1
2017,1,28,"Alabama St.","Texas Southern","V",68,70,0,2,-2,-16,0
2017,1,30,"Alabama St.","Prairie View","V",52,72,0,2,-20,-7.7,0
2017,2,4,"Alabama St.","Ark.-Pine Bluff","H",77,65,0,2,12,5.9,1
2017,2,6,"Alabama St.","Mississippi Val.","H",71,66,0,2,5,3.7,1
2017,2,11,"Alabama St.","Alabama A&M","H",97,89,3,2,8,10.1,1
2017,2,18,"Alabama St.","Alcorn","V",67,75,0,2,-8,-10.1,0
2017,2,20,"Alabama St.","Southern U.","V",73,79,0,2,-6,-7.8,0
2017,2,25,"Alabama St.","Texas Southern","H",73,86,0,2,-13,-10.3,0
2017,2,27,"Alabama St.","Prairie View","H",58,77,0,2,-19,-2,0
2017,3,2,"Alabama St.","Grambling","V",69,82,0,2,-13,-5.1,0
2017,3,4,"Alabama St.","Jackson St.","V",59,65,0,2,-6,-7,0
2017,3,7,"Alabama St.","Texas Southern","V",72,87,0,2,-15,-16,0
2016,11,11,"Albany (NY)","Penn St.","V",87,81,0,2,6,-8.5,1
2016,11,14,"Albany (NY)","Cincinnati","V",51,74,0,2,-23,-19.3,0
2016,11,19,"Albany (NY)","Grand Canyon","N",77,82,0,2,-5,0.8,0
2016,11,20,"Albany (NY)","Brown","N",80,76,0,2,4,8.8,1
2016,11,27,"Albany (NY)","Siena","H",81,72,0,2,9,4.7,1
2016,11,30,"Albany (NY)","Holy Cross","H",49,55,0,2,-6,7.9,0
2016,12,3,"Albany (NY)","Yale","V",55,59,0,2,-4,-3.1,0
2016,12,7,"Albany (NY)","Marist","H",78,66,0,2,12,14.8,1
2016,12,10,"Albany (NY)","Colgate","V",74,66,0,2,8,5.1,1
2016,12,12,"Albany (NY)","Canisius","V",64,77,0,2,-13,-0.5,0
2016,12,17,"Albany (NY)","St. Francis Brooklyn","H",87,60,0,2,27,21.6,1
2016,12,20,"Albany (NY)","SMU","V",53,71,0,2,-18,-19.6,0
2016,12,30,"Albany (NY)","Columbia","V",70,67,0,2,3,2.7,1
2017,1,2,"Albany (NY)","Cornell","H",69,59,0,2,10,10.9,1
2017,1,5,"Albany (NY)","UMass Lowell","V",79,85,0,2,-6,6.8,0
2017,1,8,"Albany (NY)","Stony Brook","V",70,72,0,2,-2,1.9,0
2017,1,11,"Albany (NY)","New Hampshire","H",67,75,0,2,-8,6,0
2017,1,16,"Albany (NY)","UMBC","V",77,50,0,2,27,0.9,1
2017,1,19,"Albany (NY)","Binghamton","H",84,65,0,2,19,14.4,1
2017,1,22,"Albany (NY)","Maine","H",81,63,0,2,18,18.8,1
2017,1,25,"Albany (NY)","Vermont","H",49,60,0,2,-11,-3.5,0
2017,1,28,"Albany (NY)","Hartford","V",74,61,0,2,13,12.6,1
2017,2,1,"Albany (NY)","UMass Lowell","H",90,77,0,2,13,12.6,1
2017,2,4,"Albany (NY)","Stony Brook","H",65,72,0,2,-7,7.6,0
2017,2,6,"Albany (NY)","New Hampshire","V",69,55,0,2,14,0.3,1
2017,2,9,"Albany (NY)","Binghamton","V",66,54,0,2,12,8.7,1
2017,2,15,"Albany (NY)","UMBC","H",78,69,0,2,9,6.6,1
2017,2,19,"Albany (NY)","Maine","V",74,56,0,2,18,13.1,1
2017,2,22,"Albany (NY)","Vermont","V",50,62,0,2,-12,-9.2,0
2017,2,25,"Albany (NY)","Hartford","H",80,62,0,2,18,18.3,1
2017,3,1,"Albany (NY)","Hartford","H",100,71,0,2,29,18.3,1
2017,3,6,"Albany (NY)","Stony Brook","V",63,56,0,2,7,1.9,1
2017,3,11,"Albany (NY)","Vermont","V",53,56,0,2,-3,-9.2,0
2017,3,16,"Albany (NY)","Saint Peter's","H",55,59,0,2,-4,0.8,0
2016,11,11,"Alcorn","Loyola Chicago","V",44,69,0,2,-25,-17.8,0
2016,11,14,"Alcorn","Evansville","V",59,82,0,2,-23,-14,0
2016,11,27,"Alcorn","Colorado St.","V",58,80,0,2,-22,-18.3,0
2016,11,30,"Alcorn","San Francisco","V",65,78,0,2,-13,-16.4,0
2016,12,3,"Alcorn","California","V",59,83,0,2,-24,-22.8,0
2016,12,5,"Alcorn","Louisiana Tech","V",65,98,0,2,-33,-18.5,0
2016,12,18,"Alcorn","Georgia Tech","V",50,74,0,2,-24,-19.7,0
2016,12,20,"Alcorn","Grand Canyon","V",53,63,0,2,-10,-13.1,0
2017,1,2,"Alcorn","Texas Southern","H",65,67,0,2,-2,-3.1,0
2017,1,4,"Alcorn","Prairie View","H",66,55,0,2,11,5.2,1
2017,1,9,"Alcorn","Grambling","V",62,67,0,2,-5,2.1,0
2017,1,11,"Alcorn","Jackson St.","V",63,50,0,2,13,0.2,1
2017,1,14,"Alcorn","Mississippi Val.","H",77,84,0,2,-7,10.9,0
2017,1,16,"Alcorn","Ark.-Pine Bluff","H",82,64,0,2,18,13.1,1
2017,1,21,"Alcorn","Alabama St.","V",78,71,0,2,7,4.3,1
2017,1,23,"Alcorn","Alabama A&M","V",81,70,0,2,11,11.6,1
2017,1,28,"Alcorn","Southern U.","H",74,64,0,2,10,5.2,1
2017,2,4,"Alcorn","Jackson St.","H",69,58,0,2,11,5.9,1
2017,2,6,"Alcorn","Grambling","H",75,65,0,2,10,7.8,1
2017,2,11,"Alcorn","Mississippi Val.","V",88,77,0,2,11,5.2,1
2017,2,13,"Alcorn","Ark.-Pine Bluff","V",70,58,0,2,12,7.4,1
2017,2,18,"Alcorn","Alabama St.","H",75,67,0,2,8,10.1,1
2017,2,20,"Alcorn","Alabama A&M","H",74,59,0,2,15,17.3,1
2017,2,25,"Alcorn","Southern U.","V",68,67,0,2,1,-0.6,1
2017,3,2,"Alcorn","Texas Southern","V",88,94,1,2,-6,-8.8,0
2017,3,4,"Alcorn","Prairie View","V",60,66,0,2,-6,-0.5,0
2017,3,7,"Alcorn","Mississippi Val.","H",63,60,0,2,3,10.9,1
2017,3,10,"Alcorn","Southern U.","N",81,59,0,2,22,2.3,1
2017,3,11,"Alcorn","Texas Southern","N",50,53,0,2,-3,-5.9,0
2016,11,11,"American","Maryland","V",56,62,0,2,-6,-23.7,0
2016,11,14,"American","Texas A&M","V",53,76,0,2,-23,-21.4,0
2016,11,17,"American","Akron","V",62,72,0,2,-10,-16.4,0
2016,11,22,"American","Wagner","H",65,73,0,2,-8,-0.7,0
2016,11,26,"American","Saint Francis (PA)","H",62,69,0,2,-7,-0.1,0
2016,11,29,"American","Western Ill.","H",57,50,0,2,7,3.3,1
2016,12,3,"American","Howard","V",54,71,0,2,-17,2.9,0
2016,12,6,"American","New Hampshire","H",70,80,0,2,-10,-4.4,0
2016,12,10,"American","Youngstown St.","H",77,62,0,2,15,2.3,1
2016,12,19,"American","UMES","H",61,58,0,2,3,5.3,1
2016,12,21,"American","Villanova","V",48,90,0,2,-42,-34.9,0
2016,12,30,"American","Loyola Maryland","H",66,68,0,2,-2,-1.5,0
2017,1,2,"American","Colgate","V",67,64,1,2,3,-5.2,1
2017,1,5,"American","Bucknell","H",60,69,0,2,-9,-13,0
2017,1,8,"American","Lehigh","V",73,79,0,2,-6,-15.1,0
2017,1,11,"American","Boston U.","V",66,76,0,2,-10,-10.7,0
2017,1,14,"American","Army West Point","H",49,53,0,2,-4,-1.5,0
2017,1,18,"American","Lafayette","H",71,57,0,2,14,7,1
2017,1,23,"American","Holy Cross","V",55,63,0,2,-8,-8.2,0
2017,1,25,"American","Navy","H",53,71,0,2,-18,-3.3,0
2017,1,29,"American","Colgate","H",65,70,0,2,-5,0.5,0
2017,2,1,"American","Bucknell","V",60,80,0,2,-20,-18.8,0
2017,2,4,"American","Lehigh","H",55,70,0,2,-15,-9.4,0
2017,2,8,"American","Boston U.","H",64,67,0,2,-3,-5,0
2017,2,11,"American","Army West Point","V",61,58,0,2,3,-7.3,1
2017,2,15,"American","Lafayette","V",65,78,0,2,-13,1.3,0
2017,2,19,"American","Holy Cross","H",54,69,0,2,-15,-2.5,0
2017,2,22,"American","Navy","V",74,58,0,2,16,-9,1
2017,2,25,"American","Loyola Maryland","V",64,62,0,2,2,-7.3,1
2017,2,28,"American","Army West Point","V",58,74,0,2,-16,-7.3,0
2016,11,12,"Appalachian St.","Davidson","V",74,86,0,2,-12,-16.6,0
2016,11,15,"Appalachian St.","Tennessee","V",94,103,0,2,-9,-20.7,0
2016,11,23,"Appalachian St.","Hartford","V",70,61,0,2,9,4,1
2016,11,26,"Appalachian St.","Duke","V",58,93,0,2,-35,-30.9,0
2016,11,28,"Appalachian St.","Charlotte","V",72,80,0,2,-8,-5.3,0
2016,12,3,"Appalachian St.","Western Caro.","H",53,58,0,2,-5,9.3,0
2016,12,15,"Appalachian St.","North Carolina St.","V",64,97,0,2,-33,-15.5,0
2016,12,17,"Appalachian St.","James Madison","H",73,61,1,2,12,-0.2,1
2016,12,21,"Appalachian St.","Hampton","H",88,67,0,2,21,6.6,1
2016,12,31,"Appalachian St.","Texas St.","V",58,67,0,2,-9,-9.1,0
2017,1,2,"Appalachian St.","UT Arlington","V",69,84,0,2,-15,-17.5,0
2017,1,7,"Appalachian St.","Little Rock","H",68,76,0,2,-8,0.4,0
2017,1,9,"Appalachian St.","Arkansas St.","H",70,57,0,2,13,-6.8,1
2017,1,14,"Appalachian St.","Coastal Caro.","V",73,85,0,2,-12,-7,0
2017,1,21,"Appalachian St.","Ga. Southern","V",88,92,0,2,-4,-8.3,0
2017,1,23,"Appalachian St.","Georgia St.","V",72,83,0,2,-11,-11.2,0
2017,1,28,"Appalachian St.","UT Arlington","H",67,83,0,2,-16,-11.7,0
2017,1,30,"Appalachian St.","Texas St.","H",55,68,0,2,-13,-3.4,0
2017,2,4,"Appalachian St.","Arkansas St.","V",78,79,0,2,-1,-12.5,0
2017,2,6,"Appalachian St.","Little Rock","V",62,69,0,2,-7,-5.3,0
2017,2,11,"Appalachian St.","Georgia St.","H",77,72,0,2,5,-5.5,1
2017,2,13,"Appalachian St.","Ga. Southern","H",83,78,0,2,5,-2.5,1
2017,2,18,"Appalachian St.","South Ala.","V",74,87,0,2,-13,-4.7,0
2017,2,20,"Appalachian St.","Troy","V",66,76,0,2,-10,-11,0
2017,2,25,"Appalachian St.","La.-Monroe","H",64,75,0,2,-11,2,0
2017,2,27,"Appalachian St.","Louisiana","H",62,77,0,2,-15,-5.2,0
2017,3,4,"Appalachian St.","Coastal Caro.","H",77,73,0,2,4,-1.3,1
2017,3,8,"Appalachian St.","Troy","N",64,84,0,2,-20,-8.2,0
2016,11,11,"Arizona","Michigan St.","N",65,63,0,2,2,4.8,1
2016,11,15,"Arizona","CSU Bakersfield","H",78,66,0,2,12,15.7,1
2016,11,18,"Arizona","Sacred Heart","H",95,65,0,2,30,29.6,1
2016,11,21,"Arizona","Northern Colo.","H",71,55,0,2,16,28,1
2016,11,24,"Arizona","Santa Clara","N",69,61,0,2,8,15,1
2016,11,25,"Arizona","Butler","N",65,69,0,2,-4,0.5,0
2016,11,30,"Arizona","Texas Southern","H",85,63,0,2,22,24.1,1
2016,12,3,"Arizona","Gonzaga","N",62,69,0,2,-7,-7.3,0
2016,12,6,"Arizona","UC Irvine","H",79,57,0,2,22,19.1,1
