"team","conference","eligible","eliminated","mid_major","ncaa_id","conf_seed"
"Omaha","Summit",TRUE,FALSE,TRUE,527665,NA
"Oral Roberts","Summit",TRUE,FALSE,TRUE,527698,NA
"Oregon","Pac 12",TRUE,FALSE,FALSE,527700,NA
"Oregon St.","Pac 12",TRUE,FALSE,FALSE,527699,NA
"Pacific","WCC",TRUE,FALSE,TRUE,527701,NA
"Penn","Ivy",TRUE,FALSE,TRUE,527704,NA
"Penn St.","Big 10",TRUE,FALSE,FALSE,527703,NA
"Pepperdine","WCC",TRUE,FALSE,TRUE,527705,NA
"Pittsburgh","ACC",TRUE,FALSE,FALSE,527706,NA
"Portland","WCC",TRUE,FALSE,TRUE,527708,NA
"Portland St.","Big Sky",TRUE,FALSE,TRUE,527707,NA
"Prairie View","SWAC",TRUE,FALSE,TRUE,527709,NA
"Presbyterian","Big South",TRUE,FALSE,TRUE,527470,NA
"Princeton","Ivy",TRUE,FALSE,TRUE,527710,NA
"Providence","Big East",TRUE,FALSE,FALSE,527711,NA
"Purdue","Big 10",TRUE,FALSE,FALSE,527712,NA
"Purdue Fort Wayne","Horizon",TRUE,FALSE,TRUE,527604,NA
"Quinnipiac","MAAC",TRUE,FALSE,TRUE,527713,NA
"Radford","Big South",TRUE,FALSE,TRUE,527714,NA
"Rhode Island","A-10",TRUE,FALSE,TRUE,527715,NA
"Rice","C-USA",TRUE,FALSE,TRUE,527716,NA
"Richmond","A-10",TRUE,FALSE,TRUE,527717,NA
"Rider","MAAC",TRUE,FALSE,TRUE,527718,NA
"Robert Morris","Horizon",TRUE,FALSE,TRUE,527719,NA
"Rutgers","Big 10",TRUE,FALSE,FALSE,527720,NA
"Sacramento St.","Big Sky",TRUE,FALSE,TRUE,527525,NA
"Sacred Heart","NEC",TRUE,FALSE,TRUE,527721,NA
"Saint Francis (PA)","NEC",TRUE,FALSE,TRUE,527724,NA
"Saint Joseph's","A-10",TRUE,FALSE,TRUE,527726,NA
"Saint Louis","A-10",TRUE,FALSE,TRUE,527727,NA
"Saint Mary's (CA)","WCC",TRUE,FALSE,TRUE,527728,NA
"Saint Peter's","MAAC",TRUE,FALSE,TRUE,527729,NA
"Sam Houston St.","WAC",TRUE,FALSE,TRUE,527730,NA
"Samford","Southern",TRUE,FALSE,TRUE,527731,NA
"San Diego","WCC",TRUE,FALSE,TRUE,527733,NA
"San Diego St.","MWC",TRUE,FALSE,TRUE,527732,NA
"San Francisco","WCC",TRUE,FALSE,TRUE,527734,NA
"San Jose St.","MWC",TRUE,FALSE,TRUE,527735,NA
"Santa Clara","WCC",TRUE,FALSE,TRUE,527385,NA
"Seattle U","WAC",TRUE,FALSE,TRUE,527471,NA
"Seton Hall","Big East",TRUE,FALSE,FALSE,527386,NA
"SFA","WAC",TRUE,FALSE,TRUE,527407,NA
"Siena","MAAC",TRUE,FALSE,TRUE,527387,NA
"SIUE","OVC",TRUE,FALSE,TRUE,527398,NA
"SMU","AAC",TRUE,FALSE,FALSE,527399,NA
"South Alabama","Sunbelt",TRUE,FALSE,TRUE,527388,5
"South Carolina","SEC",TRUE,FALSE,FALSE,527390,NA
"South Carolina St.","MEAC",TRUE,FALSE,TRUE,527389,NA
"South Dakota","Summit",TRUE,FALSE,TRUE,527392,NA
"South Dakota St.","Summit",TRUE,FALSE,TRUE,527391,NA
"South Fla.","AAC",TRUE,FALSE,FALSE,527393,NA
"Southeast Mo. St.","OVC",TRUE,FALSE,TRUE,527394,NA
"Southeastern La.","Southland",TRUE,FALSE,TRUE,527395,NA
"Southern California","Pac 12",TRUE,FALSE,FALSE,527396,NA
"Southern Ill.","MVC",TRUE,FALSE,TRUE,527397,NA
"Southern Miss.","C-USA",TRUE,FALSE,TRUE,527400,NA
"Southern U.","SWAC",TRUE,FALSE,TRUE,527401,NA
"Southern Utah","Big Sky",TRUE,FALSE,TRUE,527402,NA
"St. Bonaventure","A-10",TRUE,FALSE,TRUE,527722,NA
"St. Francis Brooklyn","NEC",TRUE,FALSE,TRUE,527723,NA
"St. John's (NY)","Big East",TRUE,FALSE,FALSE,527725,NA
"St. Thomas (MN)","Summit",FALSE,TRUE,TRUE,528150,NA
"Stanford","Pac 12",TRUE,FALSE,FALSE,527406,NA
"Stetson","A-Sun",TRUE,FALSE,TRUE,527408,NA
"Stony Brook","Am. East",TRUE,TRUE,TRUE,527409,NA
"Syracuse","ACC",TRUE,FALSE,FALSE,527410,NA
"Tarleton St.","WAC",FALSE,TRUE,TRUE,527741,NA
"TCU","Big 12",TRUE,FALSE,FALSE,527418,NA
"Temple","AAC",TRUE,FALSE,FALSE,527411,NA
"Tennessee","SEC",TRUE,FALSE,FALSE,527415,NA
"Tennessee St.","OVC",TRUE,FALSE,TRUE,527412,NA
"Tennessee Tech","OVC",TRUE,FALSE,TRUE,527413,NA
"Texas","Big 12",TRUE,FALSE,FALSE,527422,NA
"Texas A&M","SEC",TRUE,FALSE,FALSE,527417,NA
"Texas Southern","SWAC",TRUE,FALSE,TRUE,527419,NA
"Texas St.","Sunbelt",TRUE,FALSE,TRUE,527404,1
"Texas Tech","Big 12",TRUE,FALSE,FALSE,527420,NA
"The Citadel","Southern",TRUE,FALSE,TRUE,527539,NA
"Toledo","MAC",TRUE,FALSE,TRUE,527425,NA
"Towson","CAA",TRUE,FALSE,TRUE,527426,NA
"Troy","Sunbelt",TRUE,FALSE,TRUE,527427,4
"Tulane","AAC",TRUE,FALSE,FALSE,527428,NA
"Tulsa","AAC",TRUE,FALSE,FALSE,527429,NA
"UAB","C-USA",TRUE,FALSE,TRUE,527491,NA
"UC Davis","Big West",TRUE,FALSE,TRUE,527528,NA
"UC Irvine","Big West",TRUE,FALSE,TRUE,527529,NA
"UC Riverside","Big West",TRUE,FALSE,TRUE,527531,NA
"UC San Diego","Big West",FALSE,TRUE,TRUE,527739,NA
"UC Santa Barbara","Big West",TRUE,FALSE,TRUE,527526,NA
"UCF","AAC",TRUE,FALSE,FALSE,527535,NA
"UCLA","Pac 12",TRUE,FALSE,FALSE,527530,NA
"UConn","Big East",TRUE,FALSE,FALSE,527547,NA
"UIC","Horizon",TRUE,FALSE,TRUE,527601,NA
"UIW","Southland",TRUE,FALSE,TRUE,527476,NA
"ULM","Sunbelt",TRUE,FALSE,TRUE,527682,11
"UMass Lowell","Am. East",TRUE,FALSE,TRUE,527626,NA
"UMBC","Am. East",TRUE,FALSE,TRUE,527635,NA
"UMES","MEAC",TRUE,FALSE,TRUE,527637,NA
"UNC Asheville","Big South",TRUE,FALSE,TRUE,527659,NA
"UNC Greensboro","Southern",TRUE,FALSE,TRUE,527662,NA
"UNCW","CAA",TRUE,FALSE,TRUE,527663,NA
"UNI","MVC",TRUE,FALSE,TRUE,527687,NA
"UNLV","MWC",TRUE,FALSE,TRUE,527666,NA
"USC Upstate","Big South",TRUE,FALSE,TRUE,527478,NA
"UT Arlington","Sunbelt",TRUE,FALSE,TRUE,527421,9
"UT Martin","OVC",TRUE,FALSE,TRUE,527416,NA
"Utah","Pac 12",TRUE,FALSE,FALSE,527434,NA
"Utah St.","MWC",TRUE,FALSE,TRUE,527433,NA
"Utah Valley","WAC",TRUE,FALSE,TRUE,527484,NA
"UTEP","C-USA",TRUE,FALSE,TRUE,527423,NA
"UTRGV","WAC",TRUE,FALSE,TRUE,527702,NA
"UTSA","C-USA",TRUE,FALSE,TRUE,527424,NA
"Valparaiso","MVC",TRUE,FALSE,TRUE,527435,NA
"Vanderbilt","SEC",TRUE,FALSE,FALSE,527436,NA
"VCU","A-10",TRUE,FALSE,TRUE,527439,NA
"Vermont","Am. East",TRUE,FALSE,TRUE,527437,NA
