"date","team","opponent","location","team_score","opp_score","score_diff","game_id","opp_game_id","team_conf","opp_conf","year","month","day","season_id","D1","OT","weights","pred_score_diff","wins"
2017-11-18,"Akron","UT Martin","H",76,59,17,2,4,NA,NA,2017,11,18,"2018-19",2,NA,1,5.8,1
2017-11-25,"Akron","Dayton","V",60,73,-13,3,5,NA,NA,2017,11,25,"2018-19",2,NA,1,-10.6,0
2017-11-28,"Akron","Chattanooga","H",75,70,5,4,5,NA,NA,2017,11,28,"2018-19",2,NA,1,6.8,1
2017-12-02,"Akron","Marshall","V",64,86,-22,5,7,NA,NA,2017,12,2,"2018-19",2,NA,1,-14.1,0
2017-12-06,"Akron","Fort Wayne","H",83,79,4,6,8,NA,NA,2017,12,6,"2018-19",2,NA,1,-2.7,1
2017-12-09,"Akron","Appalachian St.","H",94,89,5,7,9,NA,NA,2017,12,9,"2018-19",2,NA,1,0.5,1
2017-12-16,"Akron","Mississippi Val.","H",81,63,18,8,10,NA,NA,2017,12,16,"2018-19",2,NA,1,15.4,1
2017-12-22,"Akron","Southern California","N",53,84,-31,9,11,NA,NA,2017,12,22,"2018-19",2,NA,1,-17.9,0
2017-12-23,"Akron","Princeton","N",62,64,-2,10,13,NA,NA,2017,12,23,"2018-19",2,NA,1,-5.3,0
2017-12-25,"Akron","Davidson","N",78,91,-13,11,11,NA,NA,2017,12,25,"2018-19",2,NA,1,-17.1,0
2018-01-02,"Akron","Western Mich.","V",75,87,-12,12,12,NA,NA,2018,1,2,"2018-19",2,NA,1,-7.9,0
2018-01-05,"Akron","Toledo","V",65,67,-2,13,14,NA,NA,2018,1,5,"2018-19",2,NA,1,-13.1,0
2018-01-09,"Akron","Buffalo","H",65,87,-22,14,15,NA,NA,2018,1,9,"2018-19",2,NA,1,-11.5,0
2018-01-13,"Akron","Bowling Green","H",80,78,2,15,15,NA,NA,2018,1,13,"2018-19",2,NA,1,2.2,1
2018-01-16,"Akron","Eastern Mich.","V",49,63,-14,16,14,NA,NA,2018,1,16,"2018-19",2,NA,1,-10.6,0
2018-01-20,"Akron","Northern Ill.","H",82,67,15,17,17,NA,NA,2018,1,20,"2018-19",2,NA,1,2.9,1
2018-01-23,"Akron","Ohio","H",71,68,3,18,18,NA,NA,2018,1,23,"2018-19",2,NA,1,-1,1
2018-01-27,"Akron","Ball St.","V",106,111,-5,19,20,NA,NA,2018,1,27,"2018-19",2,2,1,-9.2,0
2018-01-30,"Akron","Miami (OH)","V",64,79,-15,20,20,NA,NA,2018,1,30,"2018-19",2,NA,1,-7.2,0
2018-02-03,"Akron","Toledo","H",56,77,-21,21,22,NA,NA,2018,2,3,"2018-19",2,NA,1,-6.4,0
2018-02-06,"Akron","Ohio","V",75,99,-24,22,22,NA,NA,2018,2,6,"2018-19",2,NA,1,-7.7,0
2018-02-10,"Akron","Central Mich.","H",69,63,6,23,22,NA,NA,2018,2,10,"2018-19",2,NA,1,-2.8,1
2018-02-13,"Akron","Ball St.","H",77,90,-13,24,25,NA,NA,2018,2,13,"2018-19",2,NA,1,-2.5,0
2018-02-17,"Akron","Kent St.","V",68,78,-10,25,26,NA,NA,2018,2,17,"2018-19",2,NA,1,-6.6,0
2018-02-20,"Akron","Bowling Green","V",81,79,2,26,26,NA,NA,2018,2,20,"2018-19",2,NA,1,-4.5,1
2018-02-24,"Akron","Miami (OH)","H",62,64,-2,27,27,NA,NA,2018,2,24,"2018-19",2,1,1,-0.5,0
2018-02-27,"Akron","Buffalo","V",68,80,-12,28,29,NA,NA,2018,2,27,"2018-19",2,NA,1,-18.2,0
2018-03-02,"Akron","Kent St.","H",67,65,2,29,30,NA,NA,2018,3,2,"2018-19",2,NA,1,0.1,1
2018-03-05,"Akron","Western Mich.","V",79,78,1,30,30,NA,NA,2018,3,5,"2018-19",2,NA,1,-7.9,1
2018-03-08,"Akron","Eastern Mich.","N",58,67,-9,31,28,NA,NA,2018,3,8,"2018-19",2,NA,1,-7.2,0
2017-11-10,"Alabama","Memphis","N",82,70,12,1,1,NA,NA,2017,11,10,"2018-19",2,NA,1,10.1,1
2017-11-14,"Alabama","Lipscomb","H",86,64,22,2,2,NA,NA,2017,11,14,"2018-19",2,NA,1,14.7,1
2017-11-17,"Alabama","Alabama A&M","H",104,67,37,3,3,NA,NA,2017,11,17,"2018-19",2,NA,1,35.7,1
2017-11-21,"Alabama","UT Arlington","H",77,76,1,4,3,NA,NA,2017,11,21,"2018-19",2,NA,1,10.9,1
2017-11-24,"Alabama","BYU","N",71,59,12,5,5,NA,NA,2017,11,24,"2018-19",2,NA,1,3.1,1
2017-11-25,"Alabama","Minnesota","N",84,89,-5,6,7,NA,NA,2017,11,25,"2018-19",2,NA,1,5.1,0
2017-11-29,"Alabama","Louisiana Tech","H",77,74,3,7,5,NA,NA,2017,11,29,"2018-19",2,NA,1,12.8,1
2017-12-03,"Alabama","UCF","H",62,65,-3,8,8,NA,NA,2017,12,3,"2018-19",2,NA,1,10.3,0
2017-12-06,"Alabama","Rhode Island","H",68,64,4,9,8,NA,NA,2017,12,6,"2018-19",2,NA,1,3.3,1
2017-12-09,"Alabama","Arizona","V",82,88,-6,10,10,NA,NA,2017,12,9,"2018-19",2,NA,1,-6.9,0
2017-12-19,"Alabama","Mercer","N",80,79,1,11,10,NA,NA,2017,12,19,"2018-19",2,NA,1,10.5,1
2017-12-22,"Alabama","Texas","H",50,66,-16,12,12,NA,NA,2017,12,22,"2018-19",2,NA,1,1.6,0
2017-12-30,"Alabama","Texas A&M","H",79,57,22,13,13,NA,NA,2017,12,30,"2018-19",2,NA,1,0.2,1
2018-01-02,"Alabama","Vanderbilt","V",75,76,-1,14,14,NA,NA,2018,1,2,"2018-19",2,NA,1,0.4,0
2018-01-06,"Alabama","Georgia","V",46,65,-19,15,14,NA,NA,2018,1,6,"2018-19",2,NA,1,-1.8,0
2018-01-09,"Alabama","South Carolina","H",76,62,14,16,15,NA,NA,2018,1,9,"2018-19",2,NA,1,5.8,1
2018-01-13,"Alabama","LSU","V",74,66,8,17,16,NA,NA,2018,1,13,"2018-19",2,NA,1,-2.2,1
2018-01-17,"Alabama","Auburn","H",76,71,5,18,18,NA,NA,2018,1,17,"2018-19",2,NA,1,-0.8,1
2018-01-20,"Alabama","Mississippi St.","H",68,62,6,19,18,NA,NA,2018,1,20,"2018-19",2,NA,1,3.4,1
2018-01-23,"Alabama","Ole Miss","V",66,78,-12,20,20,NA,NA,2018,1,23,"2018-19",2,NA,1,1.9,0
2018-01-27,"Alabama","Oklahoma","H",80,73,7,21,20,NA,NA,2018,1,27,"2018-19",2,NA,1,1.8,1
2018-01-31,"Alabama","Missouri","H",60,69,-9,22,21,NA,NA,2018,1,31,"2018-19",2,NA,1,1.5,0
2018-02-03,"Alabama","Florida","V",68,50,18,23,23,NA,NA,2018,2,3,"2018-19",2,NA,1,-7.7,1
2018-02-06,"Alabama","Mississippi St.","V",63,67,-4,24,23,NA,NA,2018,2,6,"2018-19",2,NA,1,-3.3,0
2018-02-10,"Alabama","Tennessee","H",78,50,28,25,24,NA,NA,2018,2,10,"2018-19",2,NA,1,-2.9,1
2018-02-13,"Alabama","LSU","H",80,65,15,26,25,NA,NA,2018,2,13,"2018-19",2,NA,1,4.5,1
2018-02-17,"Alabama","Kentucky","V",71,81,-10,27,27,NA,NA,2018,2,17,"2018-19",2,NA,1,-8.3,0
2018-02-21,"Alabama","Auburn","V",71,90,-19,28,28,NA,NA,2018,2,21,"2018-19",2,NA,1,-7.5,0
2018-02-24,"Alabama","Arkansas","H",73,76,-3,29,29,NA,NA,2018,2,24,"2018-19",2,NA,1,0.9,0
2018-02-27,"Alabama","Florida","H",52,73,-21,30,30,NA,NA,2018,2,27,"2018-19",2,NA,1,-1,0
2018-03-03,"Alabama","Texas A&M","V",66,68,-2,31,31,NA,NA,2018,3,3,"2018-19",2,NA,1,-6.5,0
2018-03-08,"Alabama","Texas A&M","N",71,70,1,32,32,NA,NA,2018,3,8,"2018-19",2,NA,1,-3.2,1
2018-03-09,"Alabama","Auburn","N",81,63,18,33,32,NA,NA,2018,3,9,"2018-19",2,NA,1,-4.1,1
2018-03-10,"Alabama","Kentucky","N",63,86,-23,34,33,NA,NA,2018,3,10,"2018-19",2,NA,1,-5,0
2018-03-15,"Alabama","Virginia Tech","N",86,83,3,35,33,NA,NA,2018,3,15,"2018-19",2,NA,1,-2.3,1
2018-03-17,"Alabama","Villanova","N",58,81,-23,36,36,NA,NA,2018,3,17,"2018-19",2,NA,1,-14.2,0
2017-11-11,"Alabama A&M","Ohio","V",53,61,-8,1,1,NA,NA,2017,11,11,"2018-19",2,NA,1,-22.8,0
2017-11-13,"Alabama A&M","Samford","V",68,87,-19,2,2,NA,NA,2017,11,13,"2018-19",2,NA,1,-15.3,0
2017-11-17,"Alabama A&M","Alabama","V",67,104,-37,3,3,NA,NA,2017,11,17,"2018-19",2,NA,1,-35.7,0
2017-11-21,"Alabama A&M","Minnesota","V",57,100,-43,4,5,NA,NA,2017,11,21,"2018-19",2,NA,1,-30.6,0
2017-11-24,"Alabama A&M","Niagara","V",74,96,-22,5,5,NA,NA,2017,11,24,"2018-19",2,NA,1,-21.4,0
2017-11-25,"Alabama A&M","Western Caro.","N",72,82,-10,6,6,NA,NA,2017,11,25,"2018-19",2,NA,1,-11,0
2017-11-29,"Alabama A&M","Georgia St.","H",53,63,-10,7,6,NA,NA,2017,11,29,"2018-19",2,NA,1,-22.8,0
2017-12-02,"Alabama A&M","Austin Peay","V",47,67,-20,8,6,NA,NA,2017,12,2,"2018-19",2,NA,1,-22.3,0
2017-12-11,"Alabama A&M","DePaul","V",59,83,-24,9,10,NA,NA,2017,12,11,"2018-19",2,NA,1,-30,0
2017-12-13,"Alabama A&M","Southern Miss.","H",54,69,-15,10,7,NA,NA,2017,12,13,"2018-19",2,NA,1,-14.5,0
2017-12-16,"Alabama A&M","UAB","V",58,90,-32,11,9,NA,NA,2017,12,16,"2018-19",2,NA,1,-29.8,0
2017-12-21,"Alabama A&M","Michigan","V",47,97,-50,12,13,NA,NA,2017,12,21,"2018-19",2,NA,1,-42.9,0
2017-12-23,"Alabama A&M","Georgetown","V",49,89,-40,13,11,NA,NA,2017,12,23,"2018-19",2,NA,1,-30.5,0
2018-01-01,"Alabama A&M","Grambling","V",71,64,7,14,13,NA,NA,2018,1,1,"2018-19",2,NA,1,-15,1
2018-01-03,"Alabama A&M","Jackson St.","V",56,59,-3,15,13,NA,NA,2018,1,3,"2018-19",2,NA,1,-10.2,0
2018-01-06,"Alabama A&M","Ark.-Pine Bluff","H",62,69,-7,16,16,NA,NA,2018,1,6,"2018-19",2,NA,1,-5.9,0
2018-01-08,"Alabama A&M","Mississippi Val.","H",65,55,10,17,16,NA,NA,2018,1,8,"2018-19",2,NA,1,0.3,1
2018-01-13,"Alabama A&M","Alabama St.","V",67,70,-3,18,17,NA,NA,2018,1,13,"2018-19",2,NA,1,-8.8,0
2018-01-20,"Alabama A&M","Alcorn","V",52,68,-16,19,16,NA,NA,2018,1,20,"2018-19",2,NA,1,-9.4,0
2018-01-22,"Alabama A&M","Southern U.","V",61,62,-1,20,19,NA,NA,2018,1,22,"2018-19",2,NA,1,-12.8,0
2018-01-27,"Alabama A&M","Texas Southern","H",56,58,-2,21,21,NA,NA,2018,1,27,"2018-19",2,NA,1,-13.1,0
2018-01-29,"Alabama A&M","Prairie View","H",67,88,-21,22,22,NA,NA,2018,1,29,"2018-19",2,NA,1,-10.6,0
2018-02-03,"Alabama A&M","Ark.-Pine Bluff","V",62,80,-18,23,24,NA,NA,2018,2,3,"2018-19",2,NA,1,-12.6,0
2018-02-05,"Alabama A&M","Mississippi Val.","V",67,77,-10,24,24,NA,NA,2018,2,5,"2018-19",2,NA,1,-6.4,0
2018-02-10,"Alabama A&M","Alabama St.","H",50,69,-19,25,24,NA,NA,2018,2,10,"2018-19",2,NA,1,-2.1,0
2018-02-17,"Alabama A&M","Alcorn","H",60,80,-20,26,23,NA,NA,2018,2,17,"2018-19",2,NA,1,-2.7,0
2018-02-19,"Alabama A&M","Southern U.","H",50,60,-10,27,26,NA,NA,2018,2,19,"2018-19",2,NA,1,-6.1,0
2018-02-24,"Alabama A&M","Texas Southern","V",71,106,-35,28,28,NA,NA,2018,2,24,"2018-19",2,NA,1,-19.8,0
2018-02-26,"Alabama A&M","Prairie View","V",58,71,-13,29,29,NA,NA,2018,2,26,"2018-19",2,NA,1,-17.3,0
2018-03-01,"Alabama A&M","Grambling","H",74,84,-10,30,29,NA,NA,2018,3,1,"2018-19",2,1,1,-8.3,0
2018-03-03,"Alabama A&M","Jackson St.","H",66,59,7,31,29,NA,NA,2018,3,3,"2018-19",2,NA,1,-3.5,1
2017-11-10,"Alabama St.","Mississippi St.","V",68,96,-28,1,1,NA,NA,2017,11,10,"2018-19",2,NA,1,-30.3,0
2017-11-12,"Alabama St.","Iowa","V",58,92,-34,2,2,NA,NA,2017,11,12,"2018-19",2,NA,1,-26.6,0
2017-11-14,"Alabama St.","South Dakota St.","V",63,94,-31,3,2,NA,NA,2017,11,14,"2018-19",2,NA,1,-27,0
2017-11-17,"Alabama St.","Oregon","V",56,114,-58,4,3,NA,NA,2017,11,17,"2018-19",2,NA,1,-28.8,0
2017-11-20,"Alabama St.","Chattanooga","V",50,67,-17,5,3,NA,NA,2017,11,20,"2018-19",2,NA,1,-9.5,0
2017-11-21,"Alabama St.","Savannah St.","N",97,101,-4,6,5,NA,NA,2017,11,21,"2018-19",2,NA,1,-2.9,0
2017-11-27,"Alabama St.","Cincinnati","V",51,83,-32,7,7,NA,NA,2017,11,27,"2018-19",2,NA,1,-38.9,0
2017-11-30,"Alabama St.","Jacksonville St.","V",69,77,-8,8,6,NA,NA,2017,11,30,"2018-19",2,NA,1,-20.5,0
2017-12-12,"Alabama St.","Tennessee St.","H",45,64,-19,9,6,NA,NA,2017,12,12,"2018-19",2,NA,1,-8.8,0
2017-12-16,"Alabama St.","Winthrop","H",80,88,-8,10,7,NA,NA,2017,12,16,"2018-19",2,NA,1,-12.8,0
2017-12-21,"Alabama St.","Louisiana Tech","N",62,74,-12,11,10,NA,NA,2017,12,21,"2018-19",2,NA,1,-17.5,0
2017-12-22,"Alabama St.","Liberty","N",70,87,-17,12,10,NA,NA,2017,12,22,"2018-19",2,NA,1,-14.9,0
2018-01-01,"Alabama St.","Jackson St.","V",73,82,-9,13,12,NA,NA,2018,1,1,"2018-19",2,NA,1,-4.8,0
2018-01-03,"Alabama St.","Grambling","V",74,66,8,14,14,NA,NA,2018,1,3,"2018-19",2,NA,1,-9.5,1
2018-01-06,"Alabama St.","Mississippi Val.","H",63,46,17,15,15,NA,NA,2018,1,6,"2018-19",2,NA,1,5.7,1
2018-01-08,"Alabama St.","Ark.-Pine Bluff","H",68,94,-26,16,17,NA,NA,2018,1,8,"2018-19",2,NA,1,-0.5,0
2018-01-13,"Alabama St.","Alabama A&M","H",70,67,3,17,18,NA,NA,2018,1,13,"2018-19",2,NA,1,8.8,1
2018-01-20,"Alabama St.","Southern U.","V",61,63,-2,18,18,NA,NA,2018,1,20,"2018-19",2,NA,1,-7.3,0
2018-01-22,"Alabama St.","Alcorn","V",64,81,-17,19,17,NA,NA,2018,1,22,"2018-19",2,NA,1,-4,0
2018-01-27,"Alabama St.","Prairie View","H",80,86,-6,20,21,NA,NA,2018,1,27,"2018-19",2,NA,1,-5.2,0
2018-01-29,"Alabama St.","Texas Southern","H",82,97,-15,21,22,NA,NA,2018,1,29,"2018-19",2,NA,1,-7.6,0
2018-02-03,"Alabama St.","Mississippi Val.","V",89,85,4,22,23,NA,NA,2018,2,3,"2018-19",2,1,1,-1,1
2018-02-05,"Alabama St.","Ark.-Pine Bluff","V",65,59,6,23,25,NA,NA,2018,2,5,"2018-19",2,NA,1,-7.2,1
2018-02-10,"Alabama St.","Alabama A&M","V",69,50,19,24,25,NA,NA,2018,2,10,"2018-19",2,NA,1,2.1,1
2018-02-17,"Alabama St.","Southern U.","H",67,71,-4,25,25,NA,NA,2018,2,17,"2018-19",2,NA,1,-0.6,0
2018-02-19,"Alabama St.","Alcorn","H",82,62,20,26,24,NA,NA,2018,2,19,"2018-19",2,NA,1,2.7,1
