"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins","off_coeff","def_coeff","yusag_coeff","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Butler",8.1061,12.14682,4.59075,8.63147,0.5292,10.0482947938469,4.87346287906287,14.9217576729098,0,1,2,3,89.28,45.63
"BYU",9.98992,5.2027,1.74883,-3.03839,0.420715856828634,12.3366707524511,0.115970641799988,12.452641394251,0,2,1,3,91.53,49.99
"Cal Poly",8.098591,3.712152,0,-4.386439,0.543603455368161,0.441666244972116,-3.25444322664944,-2.8127769816773,0,0,1,1,83.33,13.33
"Cal St. Fullerton",0.613284,6.08761,0,5.474326,0.552689462107579,-2.85205331468319,-3.63629027205064,-6.48834358673384,0,0,0,0,0,0
"California",9.19599,8.599305,4.00535,3.408665,0.581316263252651,5.9364756811383,8.5380732471404,14.4745489282786,0,1,0,1,97.27,27.27
"Campbell",3.578559,3.5367,0,-0.0418589999999996,0.593118623724745,-3.71731362938334,-6.20108326437331,-9.91839689375663,0,0,0,1,0,0
"Canisius",5.90427,6.61294,0,0.70867,0.567086582683463,2.13700594425383,-7.14853680520443,-5.0115308609506,0,0,0,0,0,0
"Central Ark.",0.278814,5.957544,0,5.67873,0.494698939787958,-0.252182837875098,-12.7701055876918,-13.0222884255669,0,0,0,1,0,0
"Central Conn. St.",1.790229,0.868894,-1.0181,-1.939435,0.599080183963207,-10.8013605668601,-9.71418604905871,-20.5155466159188,0,0,0,0,0,0
"Central Mich.",8.57612,6.54951,2.52497,0.49836,0.4466,1.74886113812253,-1.40988276223831,0.338978375884235,0,0,0,0,0,0
"Charleston So.",2.00502,3.720626,0,1.715606,0.55628874225155,-4.31762330590811,-5.26709636198655,-9.58471966789462,0,0,0,0,0,0
"Charlotte",4.31703,7.02427,0,2.70724,0.627074585082983,3.80626606456496,-5.91448262451278,-2.10821655994785,0,0,1,1,87.76,17.76
"Chattanooga",3.544325,5.81494,0,2.270615,0.711683028212612,-0.171627579180281,4.66400314704175,4.4923755678615,0,0,0,0,0,0
"Chicago St.",1.78887,-1.1780324,0,-2.9669024,0.666221837726403,-9.75973905640971,-6.87940230698365,-16.6391413633934,0,0,0,0,0,0
"Cincinnati",5.86213,10.289774,1.33294,5.760584,0.598119623924785,3.3095975665866,10.5582778550778,13.8678754216644,0,1,1,2,92.35,41.33
"Clemson",4.01441,10.311481,2.518008,8.815079,0.692261547690462,1.43966080482708,9.91992721724577,11.3595880220729,0,0,1,1,87.73,17.73
"Cleveland St.",0.465518,0.506009,2.05035,2.090841,0.679664067186563,-14.0672559987306,5.43775826288991,-8.62949773584076,0,0,0,0,0,0
"Coastal Caro.",2.46621,5.783907,0,3.317697,0.481130249661312,-4.14647758965661,3.38397933679875,-0.762498252857815,0,0,0,1,0,0
"Col. of Charleston",0,5.515004,0,5.515004,0.855828834233153,-8.93504084184027,11.8225489329156,2.88750809107544,0,0,0,0,0,0
"Colgate",3.972515,5.73715,0,1.764635,0.722469863172991,-4.32984595897577,-2.07574034266912,-6.40558630164485,0,0,0,0,0,0
"Colorado",6.34129,7.092718,0,0.751427999999999,0.6456,4.29977867296955,6.53836043212716,10.8381391050967,0,0,2,3,84.42,35.77
"Colorado St.",11.28616,2.471733,0,-8.814427,0.421030927835052,6.57150023326974,-4.59330708601117,1.97819314725863,0,0,0,0,0,0
"Columbia",10.29408,2.15751,0,-8.13657,0.47719087635054,1.71689968580145,2.3007109518947,4.01761063769613,0,0,0,0,0,0
"Coppin St.",3.197886,0.894538,0,-2.303348,0.595016309120562,-3.17342377158414,-10.5577386395081,-13.7311624110923,0,0,0,0,0,0
"Cornell",-0.842875,7.92239,0,8.765265,0.975305275536203,-1.00322831959338,-6.96869898325416,-7.97192730284746,0,0,0,0,0,0
"Creighton",5.58775,10.90543,2.17009,7.48777,0.7252,9.30291098136216,3.76356154709365,13.0664725284559,0,1,2,3,89.49,47.16
"CSU Bakersfield",3.4417,5.6805316,0,2.2388316,0.679993359292463,-1.42006040139572,5.2760256244077,3.85596522301202,0,0,1,1,83.33,13.33
