"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Purdue","Big-Ten",7,0,2,0,3,97.97,50.44
"USC","Pac-12",5,0,1,2,3,91.66,50.06
"Mississippi State","SEC",9,0,1,2,3,91.92,49.78
"North Carolina","ACC",8,0,2,0,2,97.54,49.6
"Vanderbilt","SEC",10,0,1,2,3,91.17,48.99
"Wake Forest","ACC",7,0,0,3,4,90.78,46.99
"Maryland","Big-Ten",8,0,2,0,2,95.86,46.94
"Houston","AAC",3,0,0,3,3,90.59,46.94
"West Virginia","Big-12",4,0,0,4,4,89.41,46.41
"Clemson","ACC",9,0,0,3,3,90.67,46.34
"Washington","Pac-12",8,0,2,0,3,95.3,45.92
"Ohio State","Big-Ten",10,0,1,1,2,95,45.74
"Missouri","SEC",8,0,0,5,5,87.6,45.49
"Florida","SEC",11,0,1,1,3,94.31,44.6
"Western Kentucky","C-USA",1,0,1,1,3,93.53,43.19
"Harvard","Ivy",1,0,0,4,4,87.02,42.46
"Xavier","Big-East",8,0,1,1,2,93.36,42.09
"Pepperdine","WCC",2,0,0,3,3,88.6,41.62
"Notre Dame","ACC",10,0,1,1,2,92.89,41.34
"Wisconsin-Milwaukee","Horizon",1,1,0,1,2,91.42,40.24
"Washington State","Pac-12",7,0,1,1,2,91.66,39.73
"Georgia","SEC",12,0,0,3,5,87.49,39.35
"Butler","Big-East",7,0,0,3,3,87.38,39.02
"Tulsa","AAC",6,0,0,3,4,86.47,37.76
"St. John&#39;s","Big-East",9,0,0,3,3,86.4,37.1
"California","Pac-12",10,0,0,2,3,89.74,35.74
"Providence","Big-East",10,0,0,2,2,89.44,35.7
"Wichita State","AAC",5,0,0,2,2,89.04,34.34
"Iowa","Big-Ten",11,0,0,2,2,88.86,34.05
"VCU","A-10",2,0,0,2,3,87.71,32.14
"Oregon State","Pac-12",11,0,0,2,2,87.57,31.9
"George Washington","A-10",5,0,0,2,2,87.32,31.49
"Nevada","M-West",2,0,0,2,2,86.61,30.06
"Auburn","SEC",13,1,0,0,1,99.8,29.8
"Oregon","Pac-12",6,1,0,0,2,99.01,29.01
"Syracuse","ACC",11,0,1,0,1,98.85,28.85
"Texas","Big-12",5,0,1,0,1,98.68,28.68
"Temple","AAC",7,0,0,2,2,85.9,28.65
"Iowa State","Big-12",6,0,1,0,1,98.64,28.64
"Arizona","Pac-12",8,0,1,0,2,96.71,26.71
"North Texas","C-USA",2,0,0,2,3,84.72,26.62
"Virginia","ACC",12,0,1,0,1,96.57,26.57
"DePaul","Big-East",11,0,1,0,2,96.42,26.42
"Old Dominion","C-USA",4,0,0,2,2,84.57,26.37
"Arkansas","SEC",14,0,1,0,1,96.1,26.1
"Georgia State","SBC",2,0,0,2,4,84.03,25.51
"Richmond","A-10",3,0,0,2,3,83.47,24.62
"Samford","Southern",2,0,1,0,1,94.6,24.6
"UCF","AAC",8,0,0,1,2,93.24,23.24
"Drake","MVC",2,0,0,1,1,93.21,23.21
"Virginia Tech","ACC",14,0,0,1,2,92.35,22.35
"Long Beach State","Big-west",1,0,0,1,1,92.12,22.12
"Boston College","ACC",13,0,0,1,2,89.64,19.64
"BYU","WCC",5,0,0,1,3,89.19,19.19
"Minnesota","Big-Ten",12,0,0,1,2,89.14,19.14
"Georgia Southern","SBC",3,0,0,1,3,89.14,19.14
"San Diego State","M-West",3,0,0,1,1,89.04,19.04
"TCU","Big-12",7,0,0,1,1,88.92,18.92
"Rutgers","Big-Ten",13,0,0,1,1,88.92,18.92
"Saint Joseph&#39;s","A-10",7,0,0,1,1,88.84,18.84
"Wyoming","M-West",3,0,0,1,1,88.68,18.68
"USF","AAC",9,0,0,1,1,88.64,18.64
"San Diego","WCC",6,0,0,1,2,88.5,18.5
"UNLV","M-West",3,0,0,1,2,88.44,18.44
"UTSA","C-USA",3,0,0,1,5,88.04,18.04
"Pittsburgh","ACC",15,0,0,1,2,87.93,17.93
"Florida Atlantic","C-USA",5,0,0,1,1,87.91,17.91
"East Carolina","AAC",4,0,0,1,7,87.9,17.9
"Buffalo","MAC",1,0,0,1,2,87.51,17.51
"Louisiana","SBC",5,0,0,1,2,86.98,16.98
"Austin Peay","OVC",2,0,0,1,3,86.77,16.77
"Oral Roberts","SLC",1,0,0,1,1,86.48,16.48
"St. Mary&#39;s","WCC",7,0,0,1,1,86.44,16.44
"Boise State","M-West",7,0,0,1,2,86.35,16.35
"La Salle","A-10",6,0,0,1,3,86.35,16.35
"Texas Tech","Big-12",8,0,0,1,1,86.28,16.28
"Louisiana Tech","C-USA",5,0,0,1,1,86.28,16.28
"George Mason","A-10",4,0,0,1,4,86.28,16.28
"Rhode Island","A-10",9,0,0,1,1,86.25,16.25
"James Madison","CAA",3,0,0,1,1,86.23,16.23
"East Tennessee State","Southern",4,0,0,1,1,85.93,15.93
"Utah State","M-West",8,0,0,1,1,85.81,15.81
"Colorado State","M-West",1,0,0,1,2,85.78,15.78
"Duquesne","A-10",8,0,0,1,1,85.78,15.78
"South Alabama","SBC",1,0,0,1,3,85.78,15.78
"Kansas State","Big-12",9,0,0,1,2,85.73,15.73
"Iona","MAAC",1,0,0,1,2,85.6,15.6
"Hofstra","CAA",2,0,0,1,2,85.52,15.52
"Furman","Southern",1,0,0,1,4,85.44,15.44
"Akron","MAC",2,0,0,1,2,85.28,15.28
"Liberty","A-Sun",1,0,0,1,2,85.28,15.28
"Loyola (Chi)","MVC",4,0,0,1,1,85.28,15.28
"The Citadel","Southern",5,0,0,1,1,85.25,15.25
"Brown","Ivy",4,0,0,1,1,85.06,15.06
"North Carolina A&amp;T","MEAC",1,0,0,1,4,85.06,15.06
"Elon","CAA",1,0,0,1,2,84.78,14.78
"Tennessee State","OVC",3,0,0,1,2,84.78,14.78
"Boston University","Patriot",2,0,0,1,1,83.93,13.93
"Illinois-Chicago","Horizon",2,0,0,1,1,83.78,13.78
"Belmont","OVC",1,0,0,1,2,83.67,13.67
"Columbia","Ivy",5,0,0,1,1,83.44,13.44
"Albany","A-East",1,0,0,1,1,82.78,12.78
"Wright State","Horizon",3,0,0,1,1,82.31,12.31
"Sam Houston","SLC",2,0,0,1,1,81.67,11.67
"Utah","Pac-12",12,0,0,0,1,0,0
"Charlotte","C-USA",7,0,0,0,2,0,0
"Ball State","MAC",4,0,0,0,1,0,0
"Toledo","MAC",3,0,0,0,1,0,0
"Air Force","M-West",6,0,0,0,3,0,0
"Davidson","A-10",10,0,0,0,1,0,0
"Stetson","A-Sun",2,0,0,0,1,0,0
"UC Santa Barbara","Big-west",1,0,0,0,3,0,0
"Montana State","Big-Sky",1,0,0,0,1,0,0
"UNC Wilmington","CAA",5,0,0,0,2,0,0
"William &amp; Mary","CAA",3,0,0,0,2,0,0
"Northern Kentucky","Horizon",3,0,0,0,1,0,0
"Wisconsin-Green Bay","Horizon",3,0,0,0,2,0,0
"Yale","Ivy",2,0,0,0,2,0,0
"Princeton","Ivy",2,0,0,0,1,0,0
"Northern Iowa","MVC",1,0,0,0,3,0,0
"Evansville","MVC",8,0,0,0,1,0,0
"Valparaiso","MVC",7,0,0,0,3,0,0
"Bradley","MVC",4,0,0,0,2,0,0
"Southern Illinois","MVC",4,0,0,0,1,0,0
"Indiana State","MVC",3,0,0,0,2,0,0
"Mount St. Mary&#39;s","NEC",1,0,0,0,1,0,0
"American","Patriot",1,0,0,0,1,0,0
"Appalachian State","SBC",4,0,0,0,2,0,0
"Wofford","Southern",3,0,0,NA,1,0,0
"North Dakota","Summit",1,0,0,0,3,0,0
"Utah Valley","WAC",2,0,0,0,1,0,0
"New Mexico State","WAC",1,0,0,0,2,0,0
"Loyola Marymount","WCC",3,0,0,3,NA,87.96,NA
"Santa Clara","WCC",4,0,0,2,NA,86.71,NA
