team,off_coeff,def_coeff,yusag_coeff,off_sd,def_sd,yusag_sd,departing_ppg,returning_ppg,transfer_ppg,net_ppg,mins,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score
Detroit Mercy,-1.932690938,-9.3933693,-11.32606024,0.297235783,0.410075445,0.506469131,7.646615,1.626648,0,-6.019967,0.271632849,0,0,0,0,0,0
Drake,-1.100336294,-1.104636722,-2.204973016,0.258371086,0.218055349,0.338088381,7.757743,2.60909,1.74986,-3.398793,0.173034607,0,0,1,1,85,15
Drexel,-2.445295253,-4.089704282,-6.534999535,0.239026303,0.248330437,0.34467605,6.154158,3.789271,0,-2.364887,0.541479235,0,0,0,0,0,0
Duke,11.72368497,6.912741473,18.63642644,2.048230635,2.02751838,2.882026981,22.28738,0,0,-22.28738,0.223444689,4,1,0,5,99.63,71.06
Duquesne,-0.500805343,0.079234496,-0.421570848,0.353021999,0.189652227,0.400739939,6.358452,5.68812,2.262652,1.59232,0.404919016,0,0,2,2,85.59,28.22
East Carolina,-1.509363343,-2.852405154,-4.361768497,0.38548949,0.29778096,0.487109482,1.712738,5.2034352,0,3.4906972,0.664732224,0,0,2,2,85,27.21
Eastern Ill.,-6.695508566,-0.683066453,-7.378575019,0.283120342,0.250867413,0.378274486,4.2078116,1.96527,0,-2.2425416,0.34136619,0,0,0,0,0,0
Eastern Ky.,-3.567151488,-4.510300449,-8.077451937,0.224515101,0.227124265,0.319362587,5.048007,3.547898,0,-1.500109,0.553563496,0,0,0,0,0,0
Eastern Mich.,-3.527091656,4.376562264,0.849470608,0.403582858,0.36897408,0.546828122,2.367435,8.24681,0,5.879375,0.739239431,0,0,0,0,0,0
Eastern Wash.,-1.507254322,0.916680411,-0.590573911,0.225308579,0.249745711,0.336358255,4.699648,5.260435,0,0.560787,0.669843413,0,0,0,0,0,0
Elon,-1.693617872,-2.933267942,-4.626885814,0.263678807,0.250866763,0.363951433,3.88103,6.649172,0,2.768142,0.700620372,0,0,0,0,0,0
ETSU,-3.493081089,2.941484748,-0.55159634,0.291978041,0.364878965,0.467319843,7.824592,2.58451,1.66902,-3.571062,0.2432,0,0,0,0,0,0
Evansville,-7.470496058,3.579145962,-3.891350097,0.379019661,0.414084666,0.561357296,7.406389,1.00075431,0,-6.40563469,0.438887778,0,0,0,0,0,0
Fairfield,0.006265261,-3.719065727,-3.712800466,0.333427886,0.232108024,0.406261357,4.831861,2.173899,0,-2.657962,0.615398792,0,0,1,1,87.06,17.06
Fairleigh Dickinson,-0.841043949,-4.460718954,-5.301762904,0.251413528,0.272058866,0.370438644,1.39545,6.7719,0,5.37645,0.764105642,0,0,0,0,0,0
FGCU,0.323609432,-0.861819784,-0.538210352,0.438334071,0.311693778,0.537856644,9.91575,1.32304,2.56316,-6.02955,0.419049702,0,0,2,2,86.17,29.23
FIU,-2.258978784,-1.155258284,-3.414237068,0.216887166,0.22043147,0.309241129,1.9750274,4.810063,0,2.8350356,0.660524757,0,0,0,0,0,0
Fla. Atlantic,-5.182615666,-0.786501923,-5.969117589,0.241454725,0.27870631,0.368751395,3.574137,1.193058,0,-2.381079,0.384521447,0,0,0,0,0,0
Florida,9.387257134,7.867227282,17.25448442,0.803414253,0.369925176,0.884488042,7.44151,9.5622,0,2.12069,0.6898,1,2,0,3,97.91,62.34
Florida A&M,-7.044324458,-7.150054176,-14.19437863,0.291243441,0.291289659,0.411913106,5.04939,0.59658,0,-4.45281,0.538990219,0,0,0,0,0,0
Florida St.,8.165999164,3.355555344,11.52155451,0.437321402,0.298454676,0.52945746,4.63528,10.63512,1.90946,7.9093,0.693085647,0,0,1,1,89.55,19.55
Fordham,-6.237485982,0.592776213,-5.644709769,0.369950157,0.252264051,0.447772565,3.311558,2.447272,0.1922,-0.672086,0.402838604,0,0,1,1,88.37,18.37
Purdue Fort Wayne,2.003817649,-3.7948724,-1.791054751,0.309477681,0.296529402,0.428609521,6.020722,6.149476,0.676309,0.805063,0.570605466,0,0,0,0,0,0
Fresno St.,1.148134338,4.568637656,5.716771994,0.414956726,0.230419383,0.474638996,8.34602,6.03293,4.42916,2.11607,0.38330499,0,0,2,2,88.5,33.61
Furman,1.149556286,1.774890674,2.92444696,0.238595103,0.235690968,0.335377184,6.50977,6.57999,0,0.07022,0.534151679,0,0,0,1,80,10
Ga. Southern,0.239699643,0.114553138,0.35425278,0.291938098,0.285475736,0.408318808,2.92612,8.283626,0,5.357506,0.555708078,0,0,0,0,0,0
Gardner-Webb,-4.55471309,-1.998332426,-6.553045516,0.238459934,0.200114837,0.311302245,3.01648,4.11441,0,1.09793,0.705279859,0,0,0,0,0,0
George Mason,1.765633155,-1.483809872,0.281823284,0.320909587,0.298350864,0.438173711,0,8.743147,0,8.743147,0.99920016,0,0,1,1,83.75,13.75
George Washington,-3.179395912,1.520829218,-1.658566694,0.403676762,0.237222555,0.468219467,7.149984,2.578408,1.38326,-3.188316,0.420315937,0,0,2,2,85.94,28.77
Georgetown,7.678809523,1.47361052,9.152420043,0.40727436,0.397145037,0.568855504,5.12096,8.903942,0.786232,4.569214,0.673665267,0,2,2,4,91.79,55.78
Georgia,1.326824322,7.574866008,8.90169033,0.415161155,0.404192972,0.579422767,6.78281,4.17667,0,-2.60614,0.699719996,0,2,2,4,91.26,54.56
Georgia St.,3.358699127,3.999633464,7.358332591,0.47035667,0.325906029,0.572232589,2.93399,11.69162,0,8.75763,0.770108043,0,0,2,2,87.02,31.26
Georgia Tech,-0.983788463,5.547423228,4.563634765,0.470301292,0.341350988,0.581122881,9.02267,3.986108,0.961952,-4.07461,0.59242475,0,1,2,3,92.14,51.39
Gonzaga,10.39210519,6.889825588,17.28193078,0.618566901,0.462001212,0.772055782,5.19287,15.26862,6.90742,16.98317,0.691185289,0,1,1,2,92.24,40.92
Grambling,-3.450360215,-4.896563781,-8.346923995,0.317122833,0.273182954,0.418563994,1.050783,1.5745522,2.00854,2.5323092,0.711171195,0,0,0,0,0,0
Grand Canyon,-2.23134539,1.952548391,-0.278796999,0.225367217,0.304781693,0.379054433,4.49397,2.813567,2.72798,1.047577,0.475389913,0,0,0,0,0,0
Green Bay,-1.174376319,-5.717024352,-6.891400671,0.263577985,0.236757211,0.354298365,4.15993,2.8619966,0,-1.2979334,0.66103376,0,0,0,0,0,0
Hampton,-1.541906277,-3.713121953,-5.25502823,0.23157002,0.239852463,0.333397478,2.571797,6.232033,0,3.660236,0.838006913,0,0,0,0,0,0
Hartford,-1.600592587,0.221399766,-1.379192821,0.343752049,0.310882577,0.463479717,0.769269,8.818358,0,8.049089,0.794758952,0,0,0,0,0,0
Harvard,1.279423655,5.49848916,6.777912815,0.50757378,0.483870725,0.701257457,0,6.977065,0,6.977065,0.990777264,0,1,3,4,90.09,51.4
Hawaii,-4.792969977,0.500591232,-4.292378746,0.240918624,0.255136254,0.35090781,4.70944,3.022173,0,-1.687267,0.780796528,0,0,0,0,0,0
High Point,-5.373342939,-0.106356349,-5.479699288,0.255382962,0.237747956,0.348919114,3.015933,3.62186,0,0.605927,0.515252659,0,0,0,0,0,0
Hofstra,3.091326607,-1.546661261,1.544665346,0.373378805,0.370169348,0.525772839,2.32156,10.44804,0,8.12648,0.74894979,0,0,0,0,0,0
Holy Cross,-7.170721732,1.005738172,-6.16498356,0.35917961,0.29113553,0.46235256,1.23938,4.287999,0,3.048619,0.896129165,0,0,0,0,0,0
Houston,4.691852444,6.709173834,11.40102628,0.355808187,0.300138489,0.46549176,7.28688,8.885053,1.11444,2.712613,0.540875475,0,1,0,1,95.82,25.82
Houston Baptist,-0.703536058,-10.5438191,-11.24735516,0.346200523,0.385870142,0.518411582,2.153611,2.60042,0,0.446809,0.661322544,0,0,0,0,0,0
Howard,-0.864284043,-8.798126975,-9.662411019,0.286699409,0.377550291,0.474068322,0.0592564,5.63605248,0.656089,6.23288508,0.903827282,0,0,0,0,0,0
