"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins"
"LSU",4.371652,9.13506,3.70419,8.467598,0.601302031958966
"Maine",1.545399,-0.613709,0,-2.159108,0.5471124484994
"Manhattan",-2.39529,6.915512,0,9.310802,0.419519064124783
"Marist",3.52037,2.5878075,0,-0.9325625,0.938370539973287
"Marquette",9.14837,12.78479,0,3.63642,0.784886045581767
"Marshall",9.18445,4.918242,0,-4.266208,0.764695026298791
"Maryland",7.493506,4.84613,0,-2.647376,0.5092
"Maryland Eastern Shore",4.614933,0.240138,0,-4.374795,0.579157081209497
"Massachusetts",3.574808,3.406717,0,-0.168091,0.54934147738118
"McNeese St.",1.876858,1.7296333,0,-0.1472247,0.404908888273044
"Memphis",9.330776,3.75489,0,-5.575886,0.715543340562128
"Mercer",0,12.02335,0,12.02335,0.371250280727646
"Miami FL",10.24232,4.93013,0,-5.31219,0.637123745819398
"Miami OH",3.640328,3.1200117,0,-0.5203163,0.577013752455796
"Michigan",13.59642,9.46979,2.54637,-1.58026,0.518607442977191
"Michigan St.",2.92128,13.166343,0,10.245063,0.583966413434626
"Middle Tennessee",8.98637,5.556473,0,-3.429897,0.166700020012007
"Milwaukee",2.22413,5.470574,0,3.246444,0.255532568491004
"Minnesota",2.86801,12.74453,0,9.87652,0.596412281715416
"Mississippi",6.827715,8.968452,2.9829,5.123637,0.400039984006397
"Mississippi St.",3.06381,9.038542,0,5.974732,0.840881287558258
"Mississippi Valley St.",5.776625,-1.86274,0,-7.639365,0.738533980349677
"Missouri",2.168435,7.889516,3.39065,9.111731,0.582
"Missouri St.",2.57862,9.262736,0,6.684116,0.377875575115023
"Monmouth",8.066211,3.20635,0,-4.859861,0.6524
"Montana",2.163764,8.158583,-0.224392,5.770427,0.8196
"Montana St.",0.553309,9.195508,0.678248,9.320447,0.442376950780312
"Morehead St.",9.924024,3.08209,0,-6.841934,0.886593878646859
"Morgan St.",-0.0342472,2.184142,0,2.2183892,0.604962018289338
"Mount St. Mary's",3.475126,3.79565,0,0.320524,0.0689586248251049
"Murray St.",7.43185,4.2780572,2.88947,-0.2643228,0.480296059211842
"Navy",0.669112,6.4301,0,5.760988,0.488897779555911
"Nebraska",6.47198,4.8020649,0,-1.6699151,0.643586151691015
"Nebraska Omaha",7.16719,4.76959,0,-2.3976,0.694383315431532
"Nevada",10.7075,5.20666,1.35719,-4.14365,0.624240695850563
"New Hampshire",5.547,3.001891,0,-2.545109,0.582316608131989
