"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Providence","Big-East",8,0,0,2,2,90.08,36.78
"Texas A&amp;M","SEC",12,0,0,2,3,90.06,36.54
"Oregon State","Pac-12",6,0,0,2,4,89.52,35.38
"Eastern Kentucky","OVC",2,0,0,3,3,85,34.55
"Kansas State","Big-12",7,0,0,2,3,88.82,34.02
"Saint Joseph&#39;s","A-10",3,0,0,2,3,87.72,32.02
"California","Pac-12",11,0,0,2,2,87.01,31.01
"Murray State","OVC",1,0,0,2,3,86.39,29.73
"Rutgers","Big-Ten",11,0,0,2,3,86.12,29.2
"Pittsburgh","ACC",7,0,1,0,4,98.51,28.51
"Northeastern","CAA",1,0,0,2,3,85.81,28.49
"Connecticut","Big-East",10,0,1,0,1,98.02,28.02
"George Mason","A-10",6,0,0,2,2,85.14,27.63
"Saint Louis","A-10",5,0,0,2,3,85.28,27.61
"DePaul","Big-East",7,0,1,0,3,97.13,27.13
"Washington State","Pac-12",8,0,1,0,5,96.41,26.41
"Dayton","A-10",7,0,1,0,1,96.11,26.11
"Georgia","SEC",14,0,1,0,1,95.6,25.6
"Boise State","M-West",5,0,1,0,3,95.33,25.33
"Oklahoma State","Big-12",9,0,1,0,1,95.06,25.06
"Fresno State","M-West",4,0,1,0,1,95.06,25.06
"St. Mary&#39;s","WCC",2,0,1,0,2,93.56,23.56
"Colorado","Pac-12",10,0,0,1,3,93.24,23.24
"Mississippi State","SEC",13,0,0,1,2,92.98,22.98
"Nevada","M-West",3,0,0,1,2,92.79,22.79
"Utah","Pac-12",12,0,0,1,2,91.94,21.94
"Gonzaga","WCC",4,0,0,1,1,90.87,20.87
"Pepperdine","WCC",3,0,0,1,1,90.57,20.57
"TCU","Big-12",9,0,0,1,1,90.43,20.43
"Fordham","A-10",8,0,0,1,1,90.1,20.1
"Harvard","Ivy",1,0,0,1,2,90.04,20.04
"NC State","ACC",14,0,0,1,1,90.01,20.01
"Davidson","A-10",4,0,0,1,2,89.71,19.71
"UC Santa Barbara","Big-west",1,0,0,1,1,89.23,19.23
"Appalachian State","SBC",3,0,0,1,3,89.15,19.15
"Northwestern","Big-Ten",12,0,0,1,1,89.1,19.1
"Maryland","Big-Ten",13,0,0,1,1,88.99,18.99
"Bowling Green","MAC",3,0,0,1,1,88.89,18.89
"Southern Illinois","MVC",3,0,0,1,1,88.56,18.56
"Florida Atlantic","C-USA",2,0,0,1,1,88.3,18.3
"Lafayette","Patriot",1,0,0,1,1,88.24,18.24
"Wisconsin","Big-Ten",14,0,0,1,1,88.17,18.17
"Columbia","Ivy",2,0,0,1,2,88.12,18.12
"Long Beach State","Big-west",2,0,0,1,1,87,17
"Tulane","AAC",8,0,0,1,1,86.74,16.74
"Lamar","SLC",1,0,0,1,1,86.74,16.74
"Central Michigan","MAC",4,0,0,1,1,86.52,16.52
"Western Michigan","MAC",2,0,0,1,3,86.52,16.52
"Fairfield","MAAC",1,0,0,1,2,86.52,16.52
"Howard","MEAC",1,0,0,1,1,86.52,16.52
"Tulsa","AAC",6,0,0,1,2,86.41,16.41
"Idaho","Big-Sky",2,0,0,1,1,86.19,16.19
"Monmouth","CAA",5,0,0,1,1,86.07,16.07
"Lehigh","Patriot",2,0,0,1,1,85.85,15.85
"Butler","Big-East",11,0,0,1,1,85.78,15.78
"Cornell","Ivy",4,0,0,1,1,85.52,15.52
"Texas-Rio Grande Valley","WAC",2,0,0,1,1,85.52,15.52
"Eastern Illinois","OVC",3,0,0,1,1,85.5,15.5
"Troy","SBC",6,0,0,1,1,85.5,15.5
"Wichita State","AAC",7,0,0,1,1,85.28,15.28
"Wyoming","M-West",7,0,0,1,1,85.28,15.28
"San Jose State","M-West",8,0,0,1,3,84.28,14.28
"North Carolina A&amp;T","CAA",2,0,0,1,2,84.28,14.28
"Detroit","Horizon",2,0,0,1,1,84,14
"North Dakota State","Summit",1,0,0,1,5,83.78,13.78
"San Diego","WCC",5,0,0,1,1,83.78,13.78
"Missouri State","MVC",2,0,0,1,2,83.67,13.67
"Hofstra","CAA",7,0,0,1,1,82.5,12.5
"Temple","AAC",9,0,0,0,1,77.67,7.67
"Georgia Tech","ACC",15,0,0,0,2,0,0
"USF","AAC",5,0,0,0,2,0,0
"East Carolina","AAC",4,0,0,0,6,0,0
"Rice","C-USA",1,0,0,0,1,0,0
"Louisiana Tech","C-USA",2,0,0,0,1,0,0
"Kent State","MAC",6,0,0,0,1,0,0
"Toledo","MAC",5,0,0,0,1,0,0
"Colorado State","M-West",6,0,0,0,2,0,0
"George Washington","A-10",9,0,0,0,1,0,0
"UMBC","A-East",1,0,0,0,1,0,0
"Lipscomb","A-Sun",2,0,0,0,1,0,0
"Liberty","A-Sun",1,0,0,0,4,0,0
"UC Davis","Big-west",4,0,0,0,1,0,0
"Hawaii","Big-west",2,0,0,0,1,0,0
"Northern Arizona","Big-Sky",3,0,0,0,2,0,0
"Weber State","Big-Sky",1,0,0,0,1,0,0
"Towson","CAA",6,0,0,0,1,0,0
"William &amp; Mary","CAA",4,0,0,0,1,0,0
"Elon","CAA",3,0,0,0,1,0,0
"Wisconsin-Milwaukee","Horizon",1,0,0,0,2,0,0
"Yale","Ivy",4,0,0,0,1,0,0
"Pennsylvania","Ivy",3,0,0,0,1,0,0
"Dartmouth","Ivy",4,0,0,0,1,0,0
"Iona","MAAC",2,0,0,0,1,0,0
"Indiana State","MVC",4,0,0,0,1,0,0
"Loyola (Chi)","MVC",1,0,0,0,3,0,0
"Wagner","NEC",1,0,0,0,2,0,0
"Boston University","Patriot",3,0,0,0,1,0,0
"Navy","Patriot",3,0,0,0,1,0,0
"Louisiana","SBC",5,0,0,0,1,0,0
"Marshall","SBC",4,0,0,0,1,0,0
"Texas State","SBC",2,0,0,0,2,0,0
"South Alabama","SBC",1,0,0,0,2,0,0
"Oral Roberts","SLC",3,0,0,0,1,0,0
"Texas A&amp;M Corpus Christi","SLC",2,0,0,0,1,0,0
"Western Carolina","Southern",1,0,0,0,1,0,0
"Chicago State","WAC",4,0,0,0,1,0,0
"Missouri-Kansas City","WAC",3,0,0,0,3,0,0
"UT-Arlington","WAC",1,0,0,0,4,0,0
"Abilene Christian","SLC",4,0,0,0,NA,0,NA
"Loyola Marymount","WCC",6,0,0,0,NA,0,NA
