Team,Returning,Lost
James Madison,6.098095953,5.807200462
SIU Edwardsville,6.079433918,1.5285016
Rutgers,6.052837968,6.544760764
North Dakota,6.035843074,2.691914827
Western Carolina,5.96998208,1.889259636
Cleveland St.,5.953389883,3.063654482
Arkansas St.,5.939432979,2.596077561
Cal St. Fullerton,5.909004927,4.686574459
Duquesne,5.880675912,3.667244315
UNC Asheville,5.854466885,3.721152067
Georgia Tech,5.831740975,5.509028077
Lehigh,5.809649944,1.696583629
Southeastern Louisiana,5.793538094,4.576233089
New Orleans,5.791548043,0.606505334
Drake,5.763446152,7.883732319
Pittsburgh,5.730310202,11.21190977
Hawaii,5.727310061,3.306123614
Milwaukee,5.720954001,2.081618667
Florida St.,5.683430076,4.490573883
UC San Diego,5.646420002,0.921573639
Gonzaga,5.635810018,16.38542235
Bryant,5.613755077,5.312143087
Air Force,5.60016495,6.444736004
Fresno St.,5.543429852,4.286439061
American,5.541868985,1.574522853
Oregon St.,5.447024949,2.560208052
Furman,5.427240014,8.2369349
George Washington,5.351727843,8.923127413
Minnesota,5.312430084,2.811482564
Davidson,5.273247927,7.332745314
Nebraska Omaha,5.268238872,1.367980361
Abilene Christian,5.242894948,4.244329989
Morehead St.,5.144692063,2.415204972
Kent St.,5.133727074,6.16963172
Florida,5.052710056,7.581941932
Bradley,4.962208927,7.879009426
Illinois St.,4.942092061,2.909254909
Chicago St.,4.939730901,2.722687125
Vermont,4.92497015,8.724431753
Delaware,4.90437007,4.811879992
Georgia St.,4.849009871,1.020096675
Richmond,4.839780092,5.558992878
UNC Greensboro,4.821532048,4.571569741
Fairleigh Dickinson,4.807290345,6.15177989
Charlotte,4.800599933,8.910758495
Oral Roberts,4.795060158,10.34649014
Jackson St.,4.780364066,1.564999104
Northern Illinois,4.582523912,2.769376457
Alcorn St.,4.579673886,3.877684921
South Carolina,4.571133971,5.644280314
UMass Lowell,4.548490047,5.477161464
Kennesaw St.,4.545099974,5.544795811
La Salle,4.483728826,3.797216892
Maine,4.477035105,2.165147066
Loyola Marymount,4.462609887,7.120795071
Samford,4.456300102,5.529734015
St. John's,4.339479923,7.443977475
Sacred Heart,4.331508957,1.194187284
Arkansas,4.328620076,7.887903333
Tennessee Martin,4.309180756,3.599696934
Washington St.,4.307369977,13.99181652
Toledo,4.284629941,14.53970408
Georgia,4.260988951,5.800493456
Seton Hall,4.237499952,4.591022253
Marshall,4.209706128,10.81746852
FIU,4.20968917,4.14103815
Portland St.,4.186788023,4.368178666
Cincinnati,4.17550993,11.51491702
Howard,4.161909938,4.756037235
Denver,4.159943186,3.915039361
Indiana St.,4.133730054,7.130096436
Nebraska,4.133049071,5.767364323
Loyola MD,4.117158949,3.435395598
San Diego,4.11461997,9.944658756
Princeton,3.992190003,7.104394794
SMU,3.968359903,4.110793233
Virginia,3.902999997,9.526918292
Baylor,3.8775599,16.02669442
Quinnipiac,3.861549973,6.200416237
IUPUI,3.854170084,1.383903921
Central Connecticut,3.843474925,1.58927542
Saint Louis,3.83634007,10.40145612
Idaho St.,3.789481014,4.395244211
Pepperdine,3.741755729,5.934946537
UTEP,3.726185024,2.492055178
South Carolina St.,3.687011003,2.042360693
Boston College,3.683207085,3.164923608
Brown,3.626301929,2.794918537
Eastern Michigan,3.626073137,3.522229075
LSU,3.510829926,7.49657958
Louisiana Tech,3.508882999,8.334594965
Northern Colorado,3.497979999,8.65075653
Longwood,3.40779905,5.878623724
Texas St.,3.373761982,7.413838632
Rider,3.371968031,4.95413816
Gardner Webb,3.367667004,3.124417305
North Florida,3.362025917,8.523906231
Northern Arizona,3.345398039,7.194472671
Oakland,3.34492293,6.26238203
McNeese St.,3.336527944,2.804638594
Pacific,3.325196922,7.509294391
Alabama,3.297410011,12.78356063
UT Arlington,3.268797874,3.292329779
Kentucky,3.230940104,16.94405293
Charleston Southern,3.228721976,7.810254931
Mercer,3.223261349,3.412552893
Louisville,3.202179968,5.260764301
Hampton,3.194196999,1.766324013
North Texas,3.186610073,11.21433219
Louisiana Lafayette,3.185437024,11.74145424
South Alabama,3.130659938,9.336598277
Troy,3.122280002,6.844728976
Stony Brook,3.106373586,0.190873183
Little Rock,3.091057003,4.615920842
USC Upstate,3.055189908,2.720555007
Oklahoma St.,3.051020026,10.18655193
San Francisco,2.915041,10.65485716
Tarleton St.,2.914470077,5.239701986
Old Dominion,2.866328046,6.004861116
Kansas St.,2.820252903,10.48454034
Utah Tech,2.788931966,10.38591209
Binghamton,2.756309986,3.394324839
Central Arkansas,2.746306881,3.535567373
Sam Houston St.,2.735239983,6.405899674
Elon,2.710236013,2.590601102
Mount St. Mary's,2.695985608,3.414408416
William & Mary,2.640345819,4.084756307
Jacksonville St.,2.619706988,4.768429607
Michigan,2.590029955,13.17635512
UT Rio Grande Valley,2.550989956,6.333220601
Holy Cross,2.525919527,1.493541777
NJIT,2.512761995,3.427829832
Xavier,2.505001463,19.38241601
UC Irvine,2.481509984,5.970589638
Albany,2.470861509,3.594358474
Iowa St.,2.453100979,10.91723537
South Florida,2.442809999,7.232332408
Sacramento St.,2.417522967,7.338895053
UCLA,2.401859999,17.50222647
Miami OH,2.391644947,7.335666418
Canisius,2.388338186,5.496633947
Wofford,2.37035203,9.416406155
Western Illinois,2.351119101,7.416098833
Columbia,2.313475043,0
Cal St. Northridge,2.279385984,2.612724222
Indiana,2.269989967,14.40141332
Dartmouth,2.260466993,3.410351813
High Point,2.219774961,5.840123042
Youngstown St.,2.201030016,11.87357485
Southern Miss,2.179642022,7.887577176
Towson,2.164110899,8.631038785
Georgetown,2.074779987,8.29692167
UNLV,2.053280115,10.28222322
Texas Tech,2.039309978,11.37449872
George Mason,2.028589964,7.886996746
New Hampshire,2.026464045,2.583034158
Buffalo,2.023972034,6.631607674
Massachusetts,1.977669487,5.758694768
Army,1.975657046,7.86026305
Ball St.,1.968157053,9.901983887
Wichita St.,1.963809967,9.511268616
Houston Christian,1.949684948,5.435789615
UCF,1.932929993,11.54435271
Cal Baptist,1.915877938,6.543259501
Wyoming,1.882419944,9.813598633
Norfolk St.,1.869749993,8.883882523
Temple,1.855696023,8.945945144
Lindenwood,1.825710058,2.02517128
Fairfield,1.799878262,5.316010296
Louisiana Monroe,1.768318027,4.913033605
Grambling St.,1.76553899,4.99462989
UAB,1.756440043,13.34200013
DePaul,1.747050047,9.440420985
Fordham,1.746765062,7.657325864
Harvard,1.678773046,7.283289139
Iona,1.675330043,12.48072469
Alabama A&M,1.657630026,4.091094971
Tennessee Tech,1.638616055,6.014823973
Western Michigan,1.536476031,7.047887623
Arizona St.,1.53204599,10.09830832
South Dakota,1.526261985,7.756045073
Southern Illinois,1.523142993,5.506917715
Western Kentucky,1.499060035,10.66708535
Stonehill,1.463961899,2.826555103
Illinois Chicago,1.459011018,3.938170828
Jacksonville,1.449890018,5.986564413
Presbyterian,1.434501961,1.487209097
Texas A&M Commerce,1.396932036,4.682921648
Siena,1.382619977,7.517438456
Oklahoma,1.353139997,10.89001441
Evansville,1.261297956,0.684202403
St. Thomas,1.233537018,9.0967803
Texas Southern,1.233246952,2.541655838
Monmouth,1.221624017,1.32531029
Alabama St.,1.172250986,2.19130668
Georgia Southern,1.090710044,6.847049356
Arkansas Pine Bluff,1.066671997,1.617445886
Campbell,1.043879986,7.635362148
Bowling Green,0.955513,7.002503499
Navy,0.893138975,9.241565824
Coastal Carolina,0.874402985,9.167833507
Cal St. Bakersfield,0.834056973,2.872165978
Central Michigan,0.828252017,2.315585554
Robert Morris,0.822339058,5.775483489
Marist,0.81991943,4.545478821
VMI,0.671183109,6.072066247
Chattanooga,0.652213991,11.39506865
Morgan St.,0.604171008,4.918354988
Saint Peter's,0.585483938,5.412914276
Austin Peay,0.571898997,5.127693325
Lafayette,0.570674002,5.081660211
Incarnate Word,0.565908007,3.359642506
VCU,0.559909999,12.33594012
Fort Wayne,0.409238011,7.252248038
Green Bay,0.363907009,0.37276879
California,0.303748995,3.456757165
Delaware St.,0.25127697,0.541781604
UMKC,0.124902267,4.841364622
Wagner,0.078262396,1.929743826
Niagara,0.063589299,8.313649654
Boston University,0.054501999,5.315167665
Southeast Missouri St.,0.029291004,6.851101577
Tennessee St.,0.011969924,5.86654073
Bucknell,0.008754015,6.615835547
Maryland Eastern Shore,0.0011086,2.091893747
Rhode Island,-0.037069902,5.999317504
The Citadel,-0.076189995,5.272450209
UC Riverside,-0.096373022,10.21160436
Cal Poly,-0.171336994,3.251943968
Detroit,-0.217861995,12.68115515
Coppin St.,-0.218357995,6.575680256
Northeastern,-0.244159997,6.112825513
Mississippi Valley St.,-0.262322009,4.005548954
Hartford,-0.294169992,0.893548887
Florida A&M,-0.312571794,0.267166972
Bethune Cookman,-0.491659999,3.536314368
Northwestern St.,-0.497128993,10.22533864
LIU Brooklyn,-0.50248602,0.16414763
East Tennessee St.,-0.552491128,5.990077674
Montana St.,-0.672718018,10.14557892
Lamar,-0.683927901,3.009812564
Manhattan,-0.852382004,7.471853673
Eastern Illinois,-0.892352998,3.603803009
St. Francis PA,-0.970959008,9.055673897
Merrimack,-3.000049025,3.792670544
Memphis,NULL,15.9222635
Utah St.,NULL,17.86066794
Santa Clara,NULL,13.3100605
North Carolina A&T,NULL,5.629789948
Nicholls St.,NULL,5.054037411
Texas A&M Corpus Chris,NULL,11.03562214
Valparaiso,NULL,6.573747709
West Virginia,NULL,16.64427733
Penn St.,NULL,17.96276987
Utah Valley,NULL,12.34321046
St. Francis NY,NULL,0.282881618
Notre Dame,NULL,13.57878834
Butler,NULL,9.593733788
Southern Utah,NULL,10.92889571
UTSA,NULL,7.064302593
Tulsa,NULL,8.112432152
Southern Indiana,NULL,9.936476991
Idaho,NULL,8.013424814
Southern,NULL,4.272902399
Prairie View A&M,NULL,3.691460609
UMBC,NULL,11.93443441
New Mexico St.,NULL,7.199420691
North Carolina Central,NULL,6.94935444
