Team,Returning,Lost
Notre Dame,10.24118203,8.618569374
Oakland,5.486387819,6.345351458
Ohio,0.762732998,10.94943517
Ohio St.,2.268079996,16.39571345
Oklahoma,7.540836751,8.194379687
Oklahoma St.,5.607389927,2.729642391
Old Dominion,1.284850001,7.116061807
Oral Roberts,11.31185484,1.338822722
Oregon,10.36768985,5.824051023
Oregon St.,1.701763526,10.72384971
Pacific,0.963280976,3.911586761
Penn,11.95068187,0.185071483
Penn St.,7.510009885,6.567982197
Pepperdine,5.879866898,0.15856114
Pittsburgh,4.857536912,3.285204798
Portland,11.91897988,0
Portland St.,NULL,6.331020415
Prairie View A&M,1.555259943,4.49603796
Presbyterian,3.946608007,2.985775054
Princeton,8.189419985,8.73269558
Providence,3.197779894,13.07618594
Purdue,7.243170023,15.3476907
Quinnipiac,5.721795022,4.046700478
Radford,1.292580009,3.51295951
Rhode Island,2.578091979,6.093174338
Rice,6.456204176,4.286604151
Richmond,4.184924066,9.518968344
Rider,6.502549887,1.528948069
Robert Morris,6.53956008,0.607870162
Rutgers,5.623404801,6.616419077
Sacramento St.,1.680393994,5.15982455
Sacred Heart,3.339460969,6.245313197
Saint Joseph's,4.749942005,5.922049284
Saint Louis,12.57822508,1.27148056
Saint Mary's,7.281409979,7.800288677
Saint Peter's,-0.243630007,8.799861848
Sam Houston St.,3.466349006,4.423082709
Samford,11.7400992,0.70613943
San Diego,3.918036848,2.831511617
San Diego St.,8.744088113,0.998199224
San Francisco,5.556558967,11.45422888
San Jose St.,5.063471273,1.447508872
Santa Clara,5.087690115,11.34124184
Seattle,5.103067905,3.367668211
Seton Hall,7.363339901,5.613130957
Siena,2.550743967,4.547208488
SIU Edwardsville,5.333467901,2.008494616
SMU,0.642790973,12.97973394
South Alabama,0.470732987,10.41627485
South Carolina,NULL,10.66930783
South Carolina St.,0.843051016,2.917703882
South Dakota,8.724449873,2.258755147
South Dakota St.,7.672490239,8.265412807
South Florida,1.687780976,1.392175585
Southeast Missouri St.,3.100537896,7.030199707
Southeastern Louisiana,-0.956417024,11.0855881
Southern,4.828172776,0.97135222
Southern Illinois,6.289304048,3.810899138
Southern Miss,1.565299988,4.494957
Southern Utah,7.877514005,5.621349573
St. Bonaventure,NULL,16.12206411
St. Francis NY,3.909669042,2.945460157
St. Francis PA,3.98740989,1.07420738
St. John's,8.863260269,7.113374114
St. Thomas,7.549389958,5.373428226
Stanford,10.68342304,1.688239694
Stephen F. Austin,4.827334046,5.760754585
Stetson,2.511893965,4.065673709
Stony Brook,3.470359921,9.097803801
Syracuse,7.45897007,11.93814635
Tarleton St.,4.409698009,3.373902082
TCU,14.21973896,1.484447241
Temple,6.051484942,3.01954031
Tennessee,8.793930054,6.032771587
Tennessee Martin,4.487542883,1.630331635
Tennessee St.,2.587059975,5.516801536
Tennessee Tech,0.743260026,8.65408206
Texas,9.069580078,4.88334012
Texas A&M,9.457570076,4.13557139
Texas A&M Corpus Chris,4.93807894,1.94167614
Texas Southern,3.43315199,2.997159377
Texas St.,6.00448209,7.664445281
Texas Tech,2.911509991,13.54316652
The Citadel,2.170515954,9.086655319
Toledo,12.89462018,3.967037678
Towson,12.78082991,5.143212199
Troy,1.40120995,3.620929986
Tulane,13.90557992,0.528943956
Tulsa,2.408497334,7.489735186
UAB,11.02866006,4.771071911
UC Davis,4.354811966,3.590167046
UC Irvine,4.520360067,3.328674614
UC Riverside,6.575539947,4.281914949
