Team,Returning,Departing
Bethune Cookman,1.23822999,3.996595796
Cal Poly,1.193031508,2.293756112
Montana,1.123253971,5.866509255
USC,1.069111019,10.89136732
Louisville,0.987601995,14.41711092
Temple,0.955027997,5.972254038
Longwood,0.940794989,2.607109785
Tulane,0.846207015,9.41761142
Merrimack,0.833730996,3.420779198
Southeast Missouri St.,0.830063015,3.979129851
Maine,0.821817733,4.43420434
Presbyterian,0.797838993,4.361394793
Denver,0.546834052,3.392655708
Mississippi Valley St.,0.544314981,0.19869604
Chicago St.,0.460660055,-0.438811749
Cal St. Fullerton,0.443785712,6.331356168
Central Connecticut,0.375265753,0.559145391
Idaho,0.251920044,1.879600406
Florida A&M,0.122787088,2.12074241
Arkansas,0.082202204,13.73172474
Kentucky,0,17.88414836
Auburn,0,15.71763706
East Tennessee St.,0,13.28455675
South Alabama,0,10.68958517
Samford,0,6.120073438
Alabama A&M,-0.098736994,-0.269475996
Kennesaw St.,-0.183400005,-1.506898522
South Carolina St.,-0.189173996,6.655121982
Weber St.,-0.205319047,8.481224775
Prairie View A&M,-0.322441012,6.822150128
Dartmouth,-0.43472302,6.658765145
Jacksonville,-0.680458613,3.956716686
Alabama St.,-0.828027107,2.09580332
Arkansas Pine Bluff,-1.220533997,-0.344751447
Maryland Eastern Shore,-3.208618939,-0.76352644
