"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"UC Santa Barbara","Big-west",3,0,0,1,1,88,18
"UC Irvine","Big-west",4,0,0,1,1,83.33,13.33
"Gardner-Webb","B-South",1,0,0,1,1,91.16,21.16
"Drexel","CAA",1,0,0,2,2,87.39,31.43
"James Madison","CAA",2,0,0,1,2,83.54,25.07
"Northeastern","CAA",3,0,0,1,1,85.28,15.28
"Towson","CAA",4,0,0,0,1,70.63,0.63
"Wisconsin-Green Bay","Horizon",1,0,0,1,1,86.78,16.78
"Cleveland State","Horizon",NA,0,0,0,1,70,0
"Youngstown State","Horizon",NA,0,0,2,1,0,0
"Harvard","Ivy",1,0,2,3,5,88.55,53.45
"Yale","Ivy",2,0,0,2,2,84.19,25.72
"Pennsylvania","Ivy",3,0,0,1,1,88.54,18.54
"Brown","Ivy",4,0,0,1,1,85.28,15.28
"Princeton","Ivy",5,0,0,1,1,82.68,12.68
"Rider","MAAC",1,0,0,1,1,86,16
"Quinnipiac","MAAC",2,0,0,1,1,83.31,13.31
"Loyola (Chi)","MVC",1,0,0,3,3,87.25,38.53
"Missouri State","MVC",2,0,0,2,2,89.19,34.72
"Indiana State","MVC",3,0,0,2,2,86.5,29.81
"Bradley","MVC",NA,0,0,2,1,0,0
"Eastern Kentucky","OVC",1,0,0,1,1,88.37,18.37
"Murray State","OVC",NA,0,0,2,1,0,0
"Loyola Maryland","Patriot",1,0,2,0,2,95.08,45.68
"Appalachian State","SBC",1,0,0,2,2,88.04,32.49
"Georgia State","SBC",2,0,0,2,2,87.65,31.91
"Coastal Carolina","SBC",3,0,0,2,2,86.94,30.69
"South Alabama","SBC",4,0,0,2,2,86.5,30.01
"Louisiana","SBC",5,0,0,1,1,87.02,17.02
"Troy","SBC",6,0,0,1,1,86,16
"UT-Arlington","SBC",NA,0,0,2,1,0,0
"Arkansas State","SBC",NA,0,0,2,2,0,0
"Georgia Southern","SBC",NA,0,0,2,1,0,0
"Stephen F. Austin","SLC",1,0,0,1,1,86.78,16.78
"UNC Greensboro","Southern",1,0,0,3,3,87.05,38.09
"East Tennessee State","Southern",2,0,0,1,1,86.89,16.89
"Denver","Summit",1,0,0,1,1,88,18
"North Dakota State","Summit",2,0,0,1,1,86,16
"North Dakota","Summit",3,0,0,1,1,84,14
"IPFW","Summit",NA,0,0,2,1,0,0
"Gonzaga","WCC",1,0,5,1,6,95.75,66.69
"Santa Clara","WCC",2,0,0,2,NA,88.16,NA
"San Diego","WCC",3,0,0,2,2,86.58,30.15
"Pacific","WCC",4,0,0,2,2,86.65,30.05
"Brigham Young","WCC",5,0,0,2,2,86.4,29.62
"Pepperdine","WCC",6,0,0,1,1,87.85,17.85
