"player","team","yr","trank_ppg","mins_pct","year"
"Dan Guest","Connecticut","N/A",0.0115036,1.4,2015
"Tyler Les","UC Davis","Sr",2.35247,59.2,2015
"Ayodeji Egbeyemi","Loyola Marymount","Sr",1.09882,56.4,2015
"Derek Jackson","Kent St.","Sr",2.7321,83.2,2015
"Colin Voss","North Texas","Sr",1.4231,74.8,2015
"Marcel Mosley","Arkansas Pine Bluff","Jr",2.22613,77.6,2015
"Daniel Bejarano","Colorado St.","Sr",2.05908,75.7,2015
"Pete Rakocevic","Northern Illinois","Sr",-0.318278,28.3,2015
"Jamel Outler","UT Arlington","Sr",0.410025,59.8,2015
"Will Regan","Buffalo","Sr",1.03849,57.2,2015
"Duje Dukan","Wisconsin","Sr",1.28373,37.6,2015
"Josh Gasser","Wisconsin","Sr",4.76392,82,2015
"Jalen Courtney","Morehead St.","Sr",-0.193362,2,2015
"Thomas Jacobs","San Diego","Sr",1.06217,53.1,2015
"Calvin Godfrey","Memphis","Sr",0.61821,34,2015
"Andrew Ryan","Campbell","Sr",2.73566,86.1,2015
"Tshilidzi Nephawe","New Mexico St.","Sr",1.30143,45.3,2015
"Alex Harris","Cal St. Fullerton","Sr",2.32879,72.4,2015
"Ahmad Starks","Illinois","Sr",1.09684,59.7,2015
"Evan Smotrycz","Maryland","Sr",0.605541,37.8,2015
"Pee Wee Gardner","American","Sr",1.55993,94.9,2015
"Joe O'Shea","Bryant","Sr",2.73681,81,2015
"Darius Leonard","Wake Forest","Sr",0.762604,43,2015
"Jordan Sibert","Dayton","Sr",3.47027,84.1,2015
"Maliik Love","Cal Poly","Sr",-0.0437789,70.1,2015
"Matt Stainbrook","Xavier","Sr",3.64336,63.5,2015
"Juwan Howard, Jr.","Detroit","Sr",2.77954,79.7,2015
"Denzel Brito","Loyola MD","Sr",-0.839398,62.8,2015
"Corey Hawkins","UC Davis","Sr",4.71682,74.8,2015
"Dionte Ferguson","South Alabama","Sr",2.08292,71.1,2015
"Amric Fields","TCU","Sr",1.32295,40.5,2015
"Steve Forbes","IPFW","Sr",2.54775,56.7,2015
"Jonathan Graham","Maryland","Sr",0.513409,27.2,2015
"Nate Rucker","Kennesaw St.","Sr",-0.0700812,4.3,2015
"Michael Cobbins","Oklahoma St.","Sr",1.9792,63.4,2015
"Antoine Mason","Auburn","Sr",2.77228,52.4,2015
"Aaron Bright","Saint Mary's","Sr",1.91935,75.7,2015
"Matt Kamieniecki","Ball St.","Sr",1.21147,38.3,2015
"Karam Mashour","Morehead St.","Sr",1.7238,56.7,2015
"Eric McKnight","Long Beach St.","Sr",0.213093,33.8,2015
"Jordan Railey","Washington St.","Sr",0.779356,40.5,2015
"Emerson Murray","Seattle","Sr",-1.43878,66.1,2015
"J.T. Thomas","Arkansas Little Rock","Sr",0.152543,62.6,2015
"Abdul Ahmed","Cal St. Bakersfield","Sr",-0.353819,30.3,2015
"Jershon Cobb","Northwestern","Sr",1.28371,35.9,2015
"T.J. McConnell","Arizona","Sr",3.66402,75.9,2015
"Juwan Staten","West Virginia","Sr",3.29439,66.5,2015
"Kevin Panzer","American","Sr",-0.22271,38,2015
"Stefan Nastic","Stanford","Sr",2.94082,73,2015
"Nate Hicks","Florida Gulf Coast","Sr",0.876242,39,2015
"Tim Douglas","Portland St.","Sr",0.239345,58.6,2015
"Tommy Spagnolo","Appalachian St.","Sr",0.97643,67.2,2015
"Jarvis Williams","Murray St.","Sr",3.78042,78.2,2015
"Curtis Washington","Georgia St.","Sr",1.19159,42.3,2015
"Garrett Jackson","Saint Mary's","Sr",2.42291,54.9,2015
"Reese Holliday","UMKC","Sr",1.1441,63.7,2015
"Michael Messer","SIU Edwardsville","Sr",0.390203,52.9,2015
"Eric Ferguson","Georgia Southern","Sr",0.738193,43.5,2015
"Jesse Morgan","Temple","Sr",2.17926,52.9,2015
"Steve McClellan","Cal St. Fullerton","Sr",0.984075,63.1,2015
"Kourtney Roberson","Texas A&M","Sr",2.86675,59.8,2015
"Stevie Taylor","Ohio","Sr",0.284387,63,2015
"Clarke Rosenberg","Chicago St.","Sr",1.27485,69.1,2015
"Austin Hamilton","Elon","Sr",0.994632,60.2,2015
"Chauncey Orr","Bowling Green","Jr",0.00739864,4.4,2015
"Brandon Clark","Santa Clara","Sr",2.97229,81.4,2015
"Denzel Johnson","Santa Clara","Sr",1.08568,80.6,2015
"Thomas Gipson","Kansas St.","Sr",2.96137,71.6,2015
"Malcolm Miller","Holy Cross","Sr",2.47056,75.3,2015
"Chasson Randle","Stanford","Sr",4.78872,89.5,2015
"Ronrico White","Chattanooga","Sr",1.88437,79.8,2015
"Brandon Cataldo","Portland St.","Sr",-0.178766,7.7,2015
"Emmy Andujar","Manhattan","Sr",2.46452,76,2015
"Kevin Kaspar","Western Kentucky","Sr",-0.0669315,3.3,2015
"Justin Edwards","Kansas St.","Jr",1.16215,52.5,2015
"Bernard Thompson","Florida Gulf Coast","Sr",1.81405,81.2,2015
"Brett Comer","Florida Gulf Coast","Sr",2.56955,80.2,2015
"Adrian Rodgers","Southern","Sr",1.0069,72.5,2015
"C.J. Cooper","UTEP","Sr",1.40368,76.8,2015
"Marvin Singleton","Northern Iowa","Sr",1.50675,61.5,2015
"Deon Mitchell","Northern Iowa","Sr",1.49078,50.9,2015
"Seth Tuttle","Northern Iowa","Sr",4.49123,74.9,2015
"Adam Thoseby","South Dakota","Jr",0.0132836,9.4,2015
"Cannen Cunningham","SMU","Sr",1.22374,38.2,2015
"Chavaughn Lewis","Marist","Sr",2.49996,80.9,2015
"Carter Sanderson","Syracuse","Sr",0.0622511,0.3,2015
"Blake Bozeman","Morgan St.","Sr",0.756101,85.5,2015
"Lowell Ulmer","St. Francis NY","Sr",-0.109811,39.3,2015
"Ishaq Pitt","Maryland Eastern Shore","Sr",0.305312,62.6,2015
"Jabrille Williams","Binghamton","Sr",-0.225017,2.8,2015
"Obi Emegano","Oral Roberts","Jr",3.13299,86.8,2015
"Pat Branin","College of Charleston","Sr",-0.37266,7.7,2015
"Matt Glover","San Francisco","Sr",0.276453,66.2,2015
"D'Angelo Harrison","St. John's","Sr",3.83228,86.5,2015
"Anthony Gill","Virginia","Jr",3.86379,62.7,2015
"Ty Greene","USC Upstate","Sr",3.81282,88.8,2015
"Zarko Valjarevic","Maine","Sr",0.165367,72.9,2015
"Jehvon Clarke","Bowling Green","Sr",1.80159,57.8,2015
"Patrick Heckmann","Boston College","Sr",2.14522,72.2,2015
"James Fraschilla","Oklahoma","Sr",-0.317363,0.9,2015
"Rashawn Rembert","East Tennessee St.","Sr",2.06713,82.2,2015
"Toddrick Gotcher","Texas Tech","Jr",1.71049,60.1,2015
"Jarvis Summers","Mississippi","Sr",2.45812,70.4,2015
"Steve Glowiak","Sacred Heart","Sr",0.864158,61.3,2015
"Kendall Griffin","Wright St.","Sr",1.64095,14.5,2015
"Marcus Thornton","William & Mary","Sr",4.02484,93.2,2015
"Trey McDonald","Ohio St.","Sr",0.695165,29.1,2015
"Wesley Davis","Texas St.","Sr",0.0792388,66.4,2015
"Christian Kirk","Missouri St.","Sr",0.410901,35.7,2015
"Darion Atkins","Virginia","Sr",1.77118,57.6,2015
"Pat Connaughton","Notre Dame","Sr",4.01184,87.4,2015
"Tourron Whitfield","Marist","Sr",0.0136551,2.5,2015
"Paul Gombwer","Charleston Southern","Sr",-0.786014,51.7,2015
"Ryan Winters","Elon","Sr",0.0422127,35.6,2015
"Kevin Blake","Elon","Sr",0.708831,59.8,2015
"Jonathan Thomas","Jackson St.","N/A",-0.843513,19.5,2015
"Marshall Harris III","The Citadel","Sr",0.326281,42.8,2015
"T.J. Buchanan","Rhode Island","Sr",1.21116,56.8,2015
"Nate Sikma","Hartford","Sr",-0.243323,45.9,2015
"Hooper Vint","UTEP","Jr",0.344335,27.5,2015
"Chris Adams","San Francisco","Sr",0.166928,45.6,2015
"Wayne Blackshear","Louisville","Sr",2.94325,77.9,2015
"Sam Rowley","Albany","Sr",2.58262,82.6,2015
"Tyrell Corbin","Cal St. Bakersfield","Sr",-0.0105202,53.5,2015
"Nick Kerr","San Diego","Jr",0.254642,1.8,2015
"Jonathan Holmes","Texas","Sr",2.64927,60.7,2015
"Sam McBeath","Nicholls St.","Jr",0.319258,62.7,2015
"Pierria Henry","Charlotte","Sr",2.26442,76,2015
"Michael Dison","Montana St.","Sr",1.48337,72.8,2015
"Mohamed Farih","Saint Peter's","Sr",-0.00863436,0.7,2015
"Warren Gillis","Coastal Carolina","Sr",1.70514,80.5,2015
"Ryan Manuel","SMU","Sr",1.46241,69,2015
"Brandon Hayman","Samford","Sr",0.0287951,14.4,2015
"Dave Sobolewski","Northwestern","Sr",0.946284,25.8,2015
"Yolonzo Moore II","Hartford","Sr",0.344879,82,2015
"Larry Nance Jr.","Wyoming","Sr",3.43964,77.3,2015
"Kevin Gray","Northern Illinois","Sr",-0.331166,16.9,2015
"Nic Moore","SMU","Jr",3.64553,81.5,2015
"Kievyn Lila-St. Rose","Norfolk St.","Sr",-0.421452,3.4,2015
"Josh Richardson","Tennessee","Sr",4.26196,90.4,2015
"Ahman Fells","Illinois Chicago","Sr",1.81097,55.7,2015
"Corey Petros","Oakland","Sr",3.22056,89.8,2015
"Malick Kone","Rutgers","Sr",-0.598633,21.7,2015
"Chase Fischer","BYU","Jr",2.48053,65.3,2015
"Marcellus Barksdale","IUPUI","Jr",0.50238,77.7,2015
"Doug Niedrich","Wake Forest","Sr",-0.180039,0.6,2015
"Anson Winder","BYU","Sr",2.99867,52.2,2015
"Marcel Smith","Houston Baptist","Sr",1.32546,54,2015
"Kye Kurkowski","Nebraska","Sr",-0.0225952,1,2015
"Derrell Taylor","Jackson St.","Sr",1.18212,45.9,2015
"Tyler Kalinoski","Davidson","Sr",4.95086,87.3,2015
"Brad Waldow","Saint Mary's","Sr",4.499,85.1,2015
"Jordan Williams","North Texas","Sr",1.45492,85.6,2015
"Thomas van der Mars","Portland","Sr",1.9044,65.2,2015
"Roquez Johnson","Mississippi St.","Sr",1.45072,64.8,2015
"Daniel Mullings","New Mexico St.","Sr",2.17124,49.4,2015
"T.J. Hallice","Mercer","Sr",1.58688,81.5,2015
"Saah Nimley","Charleston Southern","Sr",4.16597,92.3,2015
"Karamo Jawara","North Carolina Central","Sr",0.552856,84.6,2015
"Kevin Hardy","McNeese St.","Sr",2.38941,92.7,2015
"Staats Battle","North Carolina St.","Sr",0.303685,0.8,2015
"Mike Shaw","Bradley","Jr",-1.11788,32.7,2015
"Peter Hooley","Albany","Jr",2.61313,58.9,2015
"Tyler Russell","Houston Baptist","Sr",-0.0945997,49.9,2015
"Dante Holmes","North Carolina Central","Jr",0.93396,71.6,2015
"Will Artino","Creighton","Sr",1.34212,39,2015
"Ross Travis","Penn St.","Sr",0.291953,61.3,2015
"Gary Browne","West Virginia","Sr",1.38556,45.7,2015
"Kevin Montminy","Penn St.","Sr",-0.226931,0.4,2015
"Brian Long","Kentucky","Sr",-0.558128,1,2015
"Dorian Cason","Portland St.","Jr",0.0840962,2.5,2015
"Madarious Gibbs","Texas Southern","Sr",1.61106,86.3,2015
"Lance Stokes","Chattanooga","Sr",-0.547281,26.1,2015
"Jamie Schneck","Hartford","Sr",-0.480065,17.2,2015
"Mark Nwakamma","Hartford","Sr",1.50745,59.7,2015
"Cory Starkey","Bucknell","Sr",0.117325,40,2015
"Nnanna Egwu","Illinois","Sr",1.44122,73.8,2015
"Corban Wroe","Hartford","Sr",1.26495,86.7,2015
"Ge'Lawn Guyn","Cincinnati","Sr",-1.47038,3.1,2015
"Christopher Anderson","San Diego","Sr",1.10334,78.2,2015
"David Kravish","California","Sr",1.70896,73.2,2015
"Jordan Weethee","VMI","Jr",-0.0863658,45.6,2015
"Brandon Stewart","Bethune Cookman","Sr",0.969413,44.8,2015
"Jaylon Floyd","Arkansas Pine Bluff","Jr",-0.785727,24.7,2015
"Gary Winston","Portland St.","Sr",1.31896,76.5,2015
"Kedren Johnson","Memphis","Jr",0.915148,49.1,2015
"George Fant","Western Kentucky","Sr",2.4851,72.6,2015
"Eric Stutz","Eastern Kentucky","Sr",3.36247,76.4,2015
"Christian Behrens","California","Jr",0.501545,38.6,2015
"Cam Griffin","Denver","Sr",2.62514,76.5,2015
"Cameron Monroe","Southern","Sr",-0.730432,24,2015
"Joe Hanstad","Boise St.","Sr",-0.108813,13.8,2015
"Derrick Marks","Boise St.","Sr",4.3583,72.7,2015
"Sam Thompson","Ohio St.","Sr",2.28533,80.8,2015
"Zach Horstman","South Dakota St.","Sr",0.80338,36.2,2015
"Francis Edosomwan","East Carolina","Sr",-0.61184,0.4,2015
"Jamee Crockett","DePaul","Sr",2.50717,77.3,2015
"Joseph Young","Oregon","Sr",4.82864,91.1,2015
"Briante Weber","VCU","Sr",1.92146,35.9,2015
"T.J. Curry","Marist","Sr",0.835835,39.1,2015
"Tre Drye","Tulane","Sr",-0.0977783,59.7,2015
"Jaylon Moore","Evansville","Sr",0.92242,25.2,2015
"Brent Arrington","Morehead St.","Jr",1.62589,71,2015
"Patrick Kerrigan","Holy Cross","Sr",-0.440525,0.5,2015
"Will Sullivan","Miami OH","Sr",2.50669,79.8,2015
"Kelvin Penn","Florida Atlantic","Sr",0.662907,66.2,2015
"Gabas Maldunas","Dartmouth","Sr",1.30087,69.6,2015
"Anthony Stitt","College of Charleston","Sr",-0.690439,62,2015
"Jay Harris","Tennessee St.","Sr",1.01411,70.9,2015
"Travis Trice","Michigan St.","Sr",4.27862,81.6,2015
"Greg Kelley","Yale","Sr",0.675938,31.6,2015
"Ollie Jackson","St. Francis PA","Sr",0.47151,60.4,2015
"Charles Oliver","Robert Morris","Sr",0.50262,1.3,2015
"John Manning","Saint Louis","Sr",-0.543402,31.5,2015
"Shaquille Boga","UT Rio Grande Valley","Sr",0.562369,86.2,2015
"Lawrence Alexander","North Dakota St.","Sr",3.4764,95.5,2015
"Cady Lalanne","Massachusetts","Sr",1.86413,72,2015
"Craig Ponder","UNC Wilmington","Jr",1.133,80.4,2015
"Cedrick Williams","UNC Wilmington","Sr",0.866111,66.6,2015
"Freddie Jackson","UNC Wilmington","Sr",1.11196,90.4,2015
"Justin Martin","SMU","Sr",0.863504,8.5,2015
"Stilman White","North Carolina","So",0.247756,1.4,2015
"Brian Sullivan","Davidson","Jr",3.21539,83.9,2015
"Dominique Dunning","UC Irvine","Jr",0.572723,30.6,2015
"Jamel Fuentes","Norfolk St.","Sr",-0.927796,61.6,2015
"Taylor Abt","Holy Cross","Sr",0.545778,36.1,2015
"Aaron Brown","Saint Joseph's","Jr",1.1897,60.2,2015
"Martin Smith","Lipscomb","Sr",0.585654,25.3,2015
"Austin Chatman","Creighton","Sr",2.44434,80.4,2015
"Chris Freeman","Austin Peay","Sr",1.1611,63.8,2015
"Chad Johnson","Lipscomb","Sr",-0.489793,19.9,2015
"Hugh Greenwood","New Mexico","Sr",1.6757,87.2,2015
"Raheem Appleby","Louisiana Tech","Sr",2.21884,81.9,2015
"Kevin Douglas","St. Francis NY","Sr",0.444364,26.8,2015
"Kenneth Smith","Louisiana Tech","Sr",1.65235,82.3,2015
"Moussa Kone","Hofstra","Sr",2.13263,38.3,2015
"Tre Demps","Northwestern","Jr",2.36942,79.9,2015
"Andrew Smith","Liberty","Sr",0.822387,69.2,2015
"Shelby Moats","Vanderbilt","Sr",-0.3006,1.5,2015
"Quinn Cook","Duke","Sr",5.31724,88.9,2015
"Andrew Nicholas","Monmouth","Sr",0.668143,56.2,2015
"Jordan Gregory","Montana","Sr",2.85501,88.3,2015
"Tomasz Gielo","Liberty","Sr",0.776268,17.2,2015
"Igor Hadziomerovic","Boise St.","Sr",0.548173,56.7,2015
"Anthony Drmic","Boise St.","Sr",3.61597,19,2015
"Ricky Tarrant","Alabama","Jr",2.9949,36.9,2015
"Mario Blessing","USC Upstate","Sr",-0.0124491,70.1,2015
"Fred Miller","USC Upstate","Sr",1.11807,81.6,2015
"Karl Madison","Drake","Sr",-0.457826,47.8,2015
"Robert Brown","UAB","Jr",2.23308,79.2,2015
"Dexter Kernich-Drew","Washington St.","Sr",0.927557,46.8,2015
"Jaleel Williams","San Jose St.","Sr",0.736928,73.6,2015
"Josiah Heath","Canisius","Sr",1.8203,64,2015
"Junior Fortunat","Rider","Sr",0.0382965,22.2,2015
"Manny Thomas","Marist","Sr",-0.174384,66.5,2015
"Aaron O'Neill","Furman","Sr",-0.256766,4.8,2015
"London Dokubo","Loyola Chicago","Sr",-0.247788,1.9,2015
"Jamel Flash","Towson","Sr",-0.676486,8.6,2015
"Austin Richie","Western Michigan","Sr",1.74509,66.3,2015
"Dominque Major","St. Francis PA","Sr",-0.112108,43.2,2015
"Dan Peera","Rice","Sr",0.872703,38.6,2015
"Shawn Meyer","Kansas St.","Sr",-0.165286,0.9,2015
"Dylan Sherwood","UNC Wilmington","Jr",0.922767,36.3,2015
"Shawn Kemp, Jr.","Washington","Sr",2.24664,56.9,2015
"Mike Caffey","Long Beach St.","Sr",3.18467,82.5,2015
"Javon McKay","Tennessee Tech","Sr",0.657941,48.8,2015
"Bobby Garbade","Princeton","Sr",-0.371784,4.2,2015
"Clay Wilson","Princeton","Sr",1.53236,50.1,2015
"Gavin Hoffmann","San Francisco","Sr",-0.232828,5.7,2015
"Justin Burrell","Holy Cross","Sr",1.64188,63.9,2015
"Lucky Jones","Robert Morris","Sr",1.88933,65.5,2015
"Kevin Pangos","Gonzaga","Sr",4.732,84.8,2015
"Jacob Parker","Stephen F. Austin","Sr",3.02766,68,2015
"Marc Brown","Illinois Chicago","Sr",0.729643,64.5,2015
"Corey Schaefer","Lehigh","Sr",-0.0518697,60.9,2015
"Stefan Cvrkalj","Lehigh","Sr",-0.429713,17.4,2015
"Evan Hymes","Siena","Sr",1.2449,49.1,2015
"Chandler Thomas","Ohio","Sr",-0.135697,0.3,2015
"Chad Calcaterra","North Dakota","Sr",-0.191605,16.3,2015
"Cedrick Lang","UTEP","Sr",2.70517,66.6,2015
"Sam Malone","Kentucky","Sr",-0.137347,0.6,2015
"Deville Smith","Tennessee Martin","Sr",1.96218,90.6,2015
"Juan Anderson","Marquette","Sr",1.24024,68.4,2015
"Chad Holley","UMass Lowell","Sr",0.463627,82.7,2015
"Alexander Barlow","Butler","Sr",1.89084,83.3,2015
"Myles Mack","Rutgers","Sr",2.77312,88.5,2015
"John Cain Carney","Boston College","Sr",-0.545217,15.7,2015
"Jack Bentz","Wyoming","Sr",-0.532531,12.2,2015
"Cedrick Bowen","Charleston Southern","Sr",1.97763,59.7,2015
"Youssou Ndoye","St. Bonaventure","Sr",1.69697,76.6,2015
"Will Johnston","Virginia Tech","Sr",0.831186,20.9,2015
"Keith Armstrong","East Carolina","Jr",-0.582226,2.4,2015
"David Appolon","Robert Morris","Sr",0.577091,32.6,2015
"Yannick Atanga","Santa Clara","Sr",-0.776655,3,2015
"Jacquez Rozier","Middle Tennessee","Sr",1.05207,59.7,2015
"Joseph Edwards","IPFW","Sr",1.68841,81.9,2015
"Montrael Scott","Prairie View A&M","Sr",1.59674,76.6,2015
"Darrun Hilliard","Villanova","Sr",3.6935,69.4,2015
"Emmanuel Okoroba","Hampton","Sr",-0.619483,20.9,2015
"Dan Trist","Lafayette","Sr",3.2488,68.3,2015
"Quincy Drye","High Point","Sr",0.0495889,0.3,2015
"Traevon Jackson","Wisconsin","Sr",2.19672,31.4,2015
"Frank Kaminsky","Wisconsin","Sr",6.32756,81.4,2015
"Evan Wessel","Wichita St.","Jr",1.52423,53.9,2015
"R.J. Price","Radford","Sr",1.52221,73.7,2015
"Daquan Holiday","NJIT","Sr",1.01876,46.1,2015
"Anthony Hickey","Oklahoma St.","Sr",2.63703,74.6,2015
"Devareaux Manley","Kent St.","Sr",3.14521,80.7,2015
"Anthony Odunsi","Houston Baptist","Jr",1.58799,68.6,2015
"Brice Kofane","Monmouth","Sr",-0.385423,61.6,2015
"Carlton Brundidge","Detroit","Jr",-0.24343,24.2,2015
"Ravon Harris","Niagara","Jr",-0.0452383,35.2,2015
"Evan Maschmeyer","Saint Joseph's","Sr",-0.612236,9.6,2015
"Spencer Barks","Maryland","Sr",-0.504849,0.6,2015
"Phil Gaetano","Sacred Heart","Sr",0.206584,75.8,2015
"John Jordan","Texas A&M Corpus Chris","Sr",2.71697,90,2015
"Jeremy Bogus","Jacksonville","Sr",-0.631012,2.9,2015
"Kameron Woods","Butler","Sr",2.47724,77,2015
"Andre Hollins","Minnesota","Sr",2.96333,76.4,2015
"Jackson Simmons","North Carolina","Sr",0.499059,6.7,2015
"Johnny Dee","San Diego","Sr",3.82671,77.6,2015
"Seth Gearhart","Rice","Sr",3.25566,83.3,2015
"Royce O'Neale","Baylor","Sr",4.20749,79.7,2015
"Brett Olson","Denver","Sr",3.19806,87.3,2015
"Amir Williams","Ohio St.","Sr",1.88435,45.7,2015
"Keenan Wetzel","Michigan St.","Sr",-0.347555,2,2015
"Stephon Whyatt","St. Francis PA","Sr",-0.178281,20,2015
"Kyle Anderson","Delaware","Sr",1.264,64.9,2015
"Austin Tillotson","Colgate","Jr",1.98741,82.6,2015
"Tyler Hood","Samford","Sr",2.14443,69,2015
"Marek Soucek","Oklahoma St.","Sr",-0.192477,1.4,2015
"Joey Ptasinski","Lafayette","Sr",2.70571,73.5,2015
"John Walton III","Troy","Jr",-0.00181604,70,2015
"Anthony Henderson","Bowling Green","Sr",2.32784,65.4,2015
"John Golden","Dartmouth","Sr",-0.278289,46.5,2015
"Nick Kazemi","UCLA","Jr",-0.334395,1.2,2015
"Trey Norris","South Dakota","Jr",1.09628,61.4,2015
"Anthony Collins","South Florida","Sr",0.692513,84.3,2015
"Kristijan Krajina","Mount St. Mary's","Sr",0.0832096,53.1,2015
"Zavion Williams","Austin Peay","Jr",-0.291066,31.2,2015
"Karl Cochran","Wofford","Sr",2.18225,78.7,2015
"John Swinton","Wofford","Sr",0.336499,25.2,2015
"Lee Skinner","Wofford","Sr",1.55996,74.9,2015
"Myke Henry","DePaul","Jr",2.05953,69.9,2015
"Deji Ibitayo","Akron","Sr",2.04915,47.3,2015
"Jordan Green","Texas A&M","Sr",1.66731,60.4,2015
"Askia Booker","Colorado","Sr",3.48018,67.9,2015
"Milton Washington","Army","Sr",0.187513,15.7,2015
"Mo Williams","Army","Sr",-1.18515,50.6,2015
"Damarkeo Lyshe","Bowling Green","Sr",-0.246968,3.5,2015
"Derrick Wilson","Marquette","Sr",1.0053,81.6,2015
"Rod Hall","Clemson","Sr",1.58427,84.9,2015
"Max Landis","IPFW","Jr",2.65177,74.2,2015
"Corey Hensley","Gardner Webb","Sr",-0.396451,5.9,2015
"John Schoof","American","Sr",1.69448,92.5,2015
"Brent Jones","St. Francis NY","Sr",1.89847,83.9,2015
"Dimitri Batten","Boston College","Sr",1.08685,63,2015
"Christian Garrett","Kansas","Sr",-0.17059,1,2015
"Joel King","Portland St.","Sr",-0.367104,0.1,2015
"Noah Springwater","Columbia","Sr",0.194441,15.1,2015
"Cory Osetkowski","Columbia","Sr",1.08363,58.3,2015
"Myles Taylor","Tennessee Martin","Sr",2.62132,9.9,2015
"Dee Davis","Xavier","Sr",2.47393,78.7,2015
"Delbert Love","Kennesaw St.","Sr",-0.168844,67.1,2015
"Joey van Zegeren","Virginia Tech","Jr",1.20947,19.9,2015
"Brandon Bos","South Dakota","Sr",1.65398,76.6,2015
"Seth Hinrichs","Lafayette","Sr",2.7309,78.5,2015
"Le'Bryan Nash","Oklahoma St.","Sr",3.56295,76.6,2015
"Ibby Djimde","Southern Illinois","Sr",-0.181009,22.4,2015
"Emerson Bursis","Rider","Sr",-0.279491,1,2015
"William Truss","Presbyterian","Sr",1.33932,65.5,2015
"Marcus Blake","Florida Gulf Coast","Sr",-0.0223085,3.7,2015
"Jibri Bryan","Mercer","Jr",0.385068,72.8,2015
"Josh Henderson","Vanderbilt","Sr",0.446716,11.6,2015
"James Siakam","Vanderbilt","Sr",3.37018,59.9,2015
"Bryce Douvier","Texas A&M Corpus Chris","Jr",0.78391,62.5,2015
"Darious Moten","Mercer","Sr",2.29724,62.1,2015
"Colby Wollenman","Michigan St.","Jr",-0.0355041,13.6,2015
"Corey Littlejohn","UNC Asheville","Sr",-0.435098,41.9,2015
"David Rivers","Nebraska","Sr",1.18963,56.3,2015
"Michael Gbinije","Syracuse","Jr",2.72686,84,2015
"Zay Jackson","Southeastern Louisiana","Jr",1.31517,70.1,2015
"Jaylen Bland","UC Riverside","Jr",1.79789,89.9,2015
"Steven Kaspar","Bucknell","Sr",0.948672,55.3,2015
"Rashad Smith","Tulsa","Jr",0.866164,70.1,2015
"John Johnson","Penn St.","Sr",1.46416,23.9,2015
"Malcolm Gilbert","Fairfield","Sr",-0.935347,20.4,2015
"Tekele Cotton","Wichita St.","Sr",2.15623,78.8,2015
"Jordan Threloff","Northern Illinois","Sr",1.51389,61.3,2015
"Fletcher Larson","Youngstown St.","Sr",-0.152234,22.6,2015
"Derrell Robertson","San Francisco","Sr",-0.613542,15.7,2015
"Arlon Harper","Charleston Southern","Sr",1.57203,77.7,2015
"Devin Joint","South Carolina St.","Sr",-0.716974,28.8,2015
