"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"UNC Greensboro","Southern",1,0,1,0,1,94.18,24.18
"Utah State","M-West",5,0,0,1,4,93.21,23.21
"East Carolina","AAC",9,0,0,1,2,81.39,21.77
"Lipscomb","A-Sun",2,0,0,1,1,90.8,20.8
"Duquesne","A-10",7,0,0,1,2,89,19
"DePaul","Big-East",10,0,0,1,1,89,19
"Northern Arizona","Big-Sky",1,0,0,1,1,89,19
"Ohio","MAC",1,0,0,1,4,88.93,18.93
"UNC Asheville","B-South",1,0,0,1,1,88.62,18.62
"Pepperdine","WCC",5,0,0,1,1,88.58,18.58
"Colorado State","M-West",6,0,0,1,1,88.48,18.48
"Western Illinois","Summit",1,0,0,1,1,88.4,18.4
"Richmond","A-10",8,0,0,1,1,88.38,18.38
"Morgan State","MEAC",2,0,0,1,2,88.12,18.12
"San Jose State","M-West",7,0,0,1,3,88,18
"UC Irvine","Big-west",1,0,0,1,1,88,18
"Western Kentucky","C-USA",61,0,0,1,1,87.78,17.78
"Florida Gulf Coast","A-Sun",3,0,0,1,1,87.77,17.77
"Akron","MAC",2,0,0,1,1,87.75,17.75
"Winthrop","B-South",2,0,0,1,1,87.53,17.53
"Belmont","OVC",2,0,0,1,1,87.5,17.5
"Buffalo","MAC",3,0,0,1,2,87.43,17.43
"Tulsa","AAC",10,0,0,1,1,87.28,17.28
"Princeton","Ivy",3,0,0,1,1,87.23,17.23
"Eastern Kentucky","OVC",3,0,0,1,2,87.23,17.23
"UTEP","C-USA",71,0,0,1,1,87.15,17.15
"Nevada","M-West",8,0,0,1,5,87.02,17.02
"Cleveland State","Horizon",1,0,0,1,1,87.02,17.02
"Bowling Green","MAC",4,0,0,1,1,87,17
"Boise State","M-West",9,0,0,1,3,87,17
"Bucknell","Patriot",1,0,0,1,1,86.81,16.81
"Western Michigan","MAC",5,0,0,1,1,86.78,16.78
"Liberty","A-Sun",4,0,0,1,3,86.78,16.78
"Gardner-Webb","B-South",3,0,0,1,1,86.78,16.78
"SIU Edwardsville","OVC",4,0,0,1,1,86.78,16.78
"North Texas","C-USA",8,0,0,1,4,86.53,16.53
"James Madison","CAA",2,0,0,1,1,86.28,16.28
"Missouri State","MVC",1,0,0,1,2,86,16
"Central Michigan","MAC",6,0,0,1,3,85.9,15.9
"Loyola (Chi)","MVC",2,0,0,1,2,85.78,15.78
"Middle Tennessee State","C-USA",9,0,0,1,1,85.56,15.56
"Toledo","MAC",7,0,0,1,1,85.56,15.56
"Robert Morris","NEC",1,0,0,1,2,85.56,15.56
"Southern Miss","C-USA",10,0,0,1,3,84.31,14.31
"Missouri","SEC",14,0,0,1,1,84.22,14.22
"Bradley","MVC",3,0,0,1,1,84.05,14.05
"Old Dominion","C-USA",111,0,0,0,1,80,10
"Tennessee State","OVC",5,0,0,0,1,80,10
"Wright State","Horizon",2,0,0,0,1,79,9
"Northern Iowa","MVC",4,0,0,0,1,79,9
"UTSA","C-USA",NA,0,0,0,3,0,0
"Florida Atlantic","C-USA",NA,0,0,0,1,0,0
"Miami (OH)","MAC",NA,0,0,0,1,0,0
"Kent State","MAC",NA,0,0,0,3,0,0
"Wyoming","M-West",NA,0,0,0,2,0,0
"Saint Joseph&#39;s","A-10",NA,0,0,0,1,0,0
"Fordham","A-10",NA,0,0,0,1,0,0
"Stetson","A-Sun",NA,0,0,0,2,0,0
"South Carolina Upstate","A-Sun",NA,0,0,0,1,0,0
"UC Riverside","Big-west",NA,0,0,2,1,0,0
"Cal Poly","Big-west",3,0,0,0,3,70,0
"Northern Colorado","Big-Sky",NA,0,0,0,1,0,0
"Portland State","Big-Sky",NA,0,0,0,1,0,0
"Radford","B-South",NA,0,0,0,1,0,0
"Presbyterian","B-South",NA,0,0,0,1,0,0
"Charleston Southern","B-South",NA,0,0,0,2,0,0
"Northeastern","CAA",NA,0,0,0,1,0,0
"William &amp; Mary","CAA",NA,0,0,0,1,0,0
"UNC Wilmington","CAA",NA,0,0,0,1,0,0
"Illinois-Chicago","Horizon",NA,0,0,0,1,0,0
"Oakland","Horizon",NA,0,0,0,1,0,0
"Wisconsin-Green Bay","Horizon",NA,0,0,0,1,0,0
"Pennsylvania","Ivy",NA,0,0,0,1,0,0
"Saint Peter&#39;s","MAAC",NA,0,0,0,1,0,0
"North Carolina Central","MEAC",NA,0,0,0,1,0,0
"Florida A&amp;M","MEAC",NA,0,0,0,1,0,0
"Bryant","NEC",NA,0,0,0,1,0,0
"UT Martin","OVC",NA,0,0,0,1,0,0
"Texas State","SBC",NA,0,0,0,3,0,0
"Louisiana-Monroe","SBC",NA,0,0,0,5,0,0
"Louisiana","SBC",NA,0,0,0,3,0,0
"Georgia Southern","SBC",NA,0,0,0,3,0,0
"Arkansas State","SBC",NA,0,0,0,3,0,0
"Coastal Carolina","SBC",NA,0,0,0,1,0,0
"Samford","Southern",NA,0,0,0,1,0,0
"Furman","Southern",NA,0,0,0,1,0,0
"North Dakota State","Summit",NA,0,0,0,4,0,0
"Pacific","WCC",NA,0,0,0,1,0,0
"Santa Clara","WCC",4,0,0,1,NA,91.57,NA
"Loyola Marymount","WCC",6,0,0,1,NA,87.28,NA
