"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Murray State","MVC",3,0,0,1,2,89.15,19.15
"Nebraska","Big-Ten",13,0,0,1,2,89.1,19.1
"Richmond","A-10",5,0,0,1,3,89.09,19.09
"UCF","Big-12",11,0,0,1,1,88.84,18.84
"Clemson","ACC",14,0,0,1,1,88.21,18.21
"North Carolina A&amp;T","CAA",1,0,0,1,1,88,18
"Southern Illinois","MVC",6,0,0,1,1,88,18
"Princeton","Ivy",1,0,0,1,3,87.67,17.67
"Tennessee State","OVC",1,0,0,1,2,87.67,17.67
"William &amp; Mary","CAA",2,0,0,1,1,86.85,16.85
"Mercer","A-Sun",3,0,0,1,1,86.19,16.19
"Samford","Southern",3,0,0,1,1,85.85,15.85
"East Carolina","AAC",10,0,0,1,3,85.5,15.5
"Oral Roberts","Summit",1,0,0,1,2,85.5,15.5
"Creighton","Big-East",8,0,0,1,2,85.28,15.28
"Evansville","MVC",7,0,0,1,1,85.28,15.28
"Georgia State","SBC",1,0,0,1,3,85.28,15.28
"McNeese State","SLC",1,0,0,1,1,85,15
"Ball State","MAC",3,0,0,1,1,84.85,14.85
"Akron","MAC",2,0,0,1,1,84.78,14.78
"George Mason","A-10",9,0,0,1,1,84.78,14.78
"South Alabama","SBC",2,0,0,1,3,84.78,14.78
"UC Irvine","Big-west",5,0,0,1,1,84.5,14.5
"Temple","AAC",8,0,0,1,1,84.28,14.28
"Wichita State","AAC",9,0,0,1,1,83.78,13.78
"UTSA","AAC",11,0,0,1,4,82.78,12.78
"Oregon State","Pac-12",12,0,0,0,1,0,0
"UAB","AAC",6,0,0,0,2,0,0
"North Texas","AAC",7,0,0,0,2,0,0
"Tulane","AAC",3,0,0,0,2,0,0
"Florida Atlantic","AAC",5,0,0,0,2,0,0
"UTEP","C-USA",1,0,0,0,2,0,0
"Colorado State","M-West",8,0,0,0,2,0,0
"Utah State","M-West",6,0,0,0,3,0,0
"Wyoming","M-West",4,0,0,0,2,0,0
"Rhode Island","A-10",4,0,0,0,2,0,0
"Saint Louis","A-10",8,0,0,0,2,0,0
"UMBC","A-East",1,0,0,0,1,0,0
"DePaul","Big-East",9,0,0,0,3,0,0
"Cal State Fullerton","Big-west",1,0,0,0,3,0,0
"Long Beach State","Big-west",4,0,0,0,1,0,0
"UC Santa Barbara","Big-west",2,0,0,0,1,0,0
"Radford","B-South",2,0,0,0,1,0,0
"South Carolina Upstate","B-South",2,0,0,0,1,0,0
"High Point","B-South",1,0,0,0,1,0,0
"Wisconsin-Green Bay","Horizon",2,0,0,0,1,0,0
"IPFW","Horizon",1,0,0,0,1,0,0
"Pennsylvania","Ivy",4,0,0,0,1,0,0
"Harvard","Ivy",3,0,0,0,1,0,0
"Yale","Ivy",2,0,0,0,1,0,0
"Siena","MAAC",1,0,0,0,1,0,0
"Mount St. Mary&#39;s","MAAC",2,0,0,0,1,0,0
"Northern Iowa","MVC",9,0,0,0,2,0,0
"Illinois State","MVC",3,0,0,0,1,0,0
"Bradley","MVC",8,0,0,0,1,0,0
"Belmont","MVC",2,0,0,0,3,0,0
"Drake","MVC",1,0,0,0,2,0,0
"Arkansas-Little Rock","OVC",3,0,0,0,1,0,0
"Morehead State","OVC",2,0,0,0,1,0,0
"Holy Cross","Patriot",1,0,0,0,1,0,0
"Texas State","SBC",5,0,0,0,1,0,0
"Georgia Southern","SBC",4,0,0,0,3,0,0
"Incarnate Word","SLC",2,0,0,0,3,0,0
"Wofford","Southern",1,0,0,0,1,0,0
"Furman","Southern",2,0,0,0,1,0,0
"South Dakota","Summit",2,0,0,0,1,0,0
"Prairie View A&amp;M","SW-AC",1,0,0,0,3,0,0
"UT-Arlington","WAC",1,0,0,0,2,0,0
"Pepperdine","WCC",1,0,0,0,3,0,0
"Queens","A-Sun",4,0,0,0,NA,0,NA
"Santa Clara","WCC",3,0,0,1,NA,88.36,NA
"San Francisco","WCC",6,0,0,0,NA,0,NA
"Loyola Marymount","WCC",5,0,0,0,NA,0,NA
