"player","team","yr","trank_ppg","mins_pct","year"
"Bobby Perez","Wofford","Sr",-0.00151711,2.7,2019
"Stuckey Mosley","James Madison","Sr",2.90337,87.5,2019
"Deshon Taylor","Fresno St.","Sr",3.66404,84,2019
"Sandy Cohen III","Green Bay","Sr",2.14462,59.9,2019
"Shaquille Doorson","Rutgers","Sr",0.560504,26.4,2019
"Marques Townes","Loyola Chicago","Sr",2.24766,70.6,2019
"Lloyd Burgess","UNC Greensboro","Sr",-1.37279,0.5,2019
"Schadrac Casimir","Florida Gulf Coast","Sr",2.56316,63.1,2019
"Nyaires Redding","Wyoming","Sr",0.575763,32.5,2019
"Christen Cunningham","Louisville","Sr",0.432952,21.7,2019
"Detrick Mostella","Jacksonville St.","Sr",1.66918,23.7,2019
"Obi Momah","Norfolk St.","Sr",0.424729,12.2,2019
"Noah Robotham","UNLV","Sr",2.12777,68.6,2019
"Javon Bess","Saint Louis","Sr",2.57171,90.5,2019
"Kenny Goins","Michigan St.","Sr",0.925571,30.7,2019
"Aaron Calixte","Oklahoma","Sr",2.22305,84.4,2019
"Jordan Nobles","Oakland","Sr",0.916555,56.9,2019
"Jeremy Jones","Gonzaga","Sr",0.494969,15.8,2019
"Clayton Custer","Loyola Chicago","Sr",3.87061,72,2019
"Fallou Ndoye","Santa Clara","Sr",-0.927003,30.6,2019
"Isaiah Gurley","Texas St.","Sr",-0.153494,18.8,2019
"Max Twyman","Hartford","Sr",-0.673648,12.9,2019
"Mack Mercer","Belmont","Sr",1.17646,35,2019
"Oliver Black","Little Rock","Sr",0.116464,68.6,2019
"Gerald Smith","Samford","Sr",-0.872214,5,2019
"Toby Van Ry","UTSA","Sr",-0.426038,12.5,2019
"Ed Jones","Alabama St.","Sr",-0.0158163,45.8,2019
"Jordan Tyson","Georgia St.","Sr",-0.441756,24.3,2019
"Ryan Luther","Arizona","Sr",2.93223,25.2,2019
"Brock Stull","Minnesota","Sr",1.49597,84.5,2019
"Cane Broome","Cincinnati","Sr",1.94349,48.5,2019
"Brandone Francis","Texas Tech","Sr",1.01248,38,2019
"Trey Touchet","McNeese St.","Sr",-0.333105,24.2,2019
"Terry Winn","UT Rio Grande Valley","Sr",1.01506,26.8,2019
"Jamuni McNeace","Oklahoma","Sr",1.33893,44.5,2019
"J.C. Show","Binghamton","Sr",1.52586,82.4,2019
"Paschal Chukwu","Syracuse","Sr",2.38514,67.6,2019
"Jordan Reed","New Hampshire","Sr",-0.612,61.2,2019
"Mike Daum","South Dakota St.","Sr",4.84729,78.6,2019
"Ethan Happ","Wisconsin","Sr",4.51774,76.8,2019
"Armani Branch","Norfolk St.","Sr",0.820661,39.9,2019
"Wil Bathurst","UAB","Sr",0.298343,15.5,2019
"Norense Odiase","Texas Tech","Sr",0.886621,36.8,2019
"Tarin Smith","Connecticut","Sr",1.95487,69.6,2019
"Spencer Rivers","UC Irvine","Jr",-0.330486,20.9,2019
"Jonathan Galloway","UC Irvine","Sr",-0.702386,64.5,2019
"Khwan Fore","Louisville","Sr",2.05113,71.9,2019
"Kevin Holland","Southern Miss","Sr",1.82389,83.8,2019
"Jake Connor","Utah","Sr",-0.223763,5.9,2019
"Eric Carter","Delaware","Sr",2.24276,68.1,2019
"Brandon Miller","Gardner Webb","Sr",0.499752,11.7,2019
"David Efianayi","Gardner Webb","Sr",2.52506,82.5,2019
"Michael Nzei","Seton Hall","Sr",1.35167,41.2,2019
"Kanayo Obi-Rapu","East Tennessee St.","Sr",0.297733,18.7,2019
"Elston Jones","UC Irvine","Sr",0.539606,38.6,2019
"Matt Ferris","Wisconsin","Sr",-0.0990557,0.6,2019
"Emmitt Holt","Providence","Sr",2.9547,66.3,2019
"Spencer Eliason","North Dakota St.","Sr",0.209176,45.4,2019
"Bola Alade","UTSA","Jr",-0.241587,7.2,2019
"Isaiah Jackson","Providence","Sr",1.35155,49.8,2019
"Idy Diallo","UC Riverside","Sr",-0.427413,24.4,2019
"Nick Norton","Drake","Sr",1.74986,72.9,2019
"B.J. Taylor","UCF","Sr",3.28386,38.5,2019
"Evan Fitzner","Indiana","Sr",1.11812,38.7,2019
"Zaynah Robinson","Northern Kentucky","Sr",1.84312,85.5,2019
"Nate Sherwood","Idaho","Sr",1.83909,73.4,2019
"Gerard Martin","Grand Canyon","Sr",-0.222253,41.3,2019
"Christian Harrison","Georgia","Sr",-0.588337,0.2,2019
"Marial Shayok","Iowa St.","Sr",1.73516,50.9,2019
"B.J. Stith","Old Dominion","Sr",2.63317,78,2019
"Jack Salt","Virginia","Sr",1.382,49.3,2019
"Chris Collins","Texas A&M","Sr",-0.07446,8.6,2019
"Brocke Stepteau","Hawaii","Sr",2.02148,66.2,2019
"Samuel Dingba","Vermont","Sr",0.361914,8,2019
"Torin Dorn","North Carolina St.","Sr",3.3202,71.5,2019
"Jalen Adams","Connecticut","Sr",3.85444,88,2019
"Brandon Alston","Georgia Tech","Sr",0.572378,59,2019
"Kaleb Joseph","Creighton","Sr",1.33405,7.8,2019
"Larry Austin Jr.","Central Michigan","Sr",0.295896,19.7,2019
"Ehab Amin","Oregon","Sr",2.73884,84.4,2019
"Raasean Davis","North Carolina Central","Sr",2.19678,74.2,2019
"John Schurman","Binghamton","Sr",0.130824,3.3,2019
"Devin Wyatt","Incarnate Word","Sr",-0.589541,22.4,2019
"Torry Johnson","Wake Forest","Sr",1.06939,65.3,2019
"Jeremiah Jefferson","Nicholls St.","Sr",0.471261,60.3,2019
"Zach Braxton","Weber St.","Sr",2.43585,68.5,2019
"Dylan Osetkowski","Texas","Sr",2.40999,84.8,2019
"Bray Barnes","Cal St. Bakersfield","Sr",0.582889,2.9,2019
"Makai Mason","Baylor","Sr",2.98102,82.2,2019
"Dwain Whitfield","Arkansas Pine Bluff","Sr",0.151801,3.2,2019
"Matt Jackson","Grand Canyon","Sr",0.0184343,30.2,2019
"Amari Hamilton","North Carolina A&T","Sr",-0.159991,22,2019
"Josh Gantz","UMass Lowell","Sr",1.30711,75.3,2019
"Jalyn Patterson","Texas Southern","Sr",0.728902,55.6,2019
"Tre Campbell","South Carolina","Sr",0.173264,22.8,2019
"Matt Hubbard","Cal Baptist","Sr",-0.455585,3.8,2019
"Phil Booth","Villanova","Sr",3.34113,55.9,2019
"Abdoulaye Gueye","Georgia Tech","Sr",0.77275,52.3,2019
"Shawn Olden","TCU","Sr",0.37012,25.3,2019
"Jamelle Christian","Delaware St.","Jr",-1.0662,4.9,2019
"Mike Cunningham","Oklahoma St.","Sr",1.84082,82.4,2019
"Eric Cooper Jr.","Pepperdine","Sr",2.66571,42.9,2019
"Greg Malinowski","Georgetown","Sr",0.786232,54,2019
"Jack Purchase","Hawaii","Sr",0.758437,63.7,2019
"TJ Lang","South Florida","Sr",1.25833,36.9,2019
"David Wacker","Boise St.","Sr",0.454318,12.5,2019
"Zach Johnson","Miami FL","Sr",2.60564,82.5,2019
"Marcus Bartley","Southern Illinois","Sr",0.508328,54.5,2019
"Milik Yarbrough","Illinois St.","Sr",3.69271,68.3,2019
"Michael Finke","Grand Canyon","Sr",2.72798,53.7,2019
"AJ John","UC Davis","Sr",1.78925,50.5,2019
"Zach Buscher","Hawaii","Sr",0.155426,1,2019
"D.J. Foreman","Saint Louis","Sr",0.628029,46.8,2019
"Novak Topalovic","Utah","Sr",0.602654,67.9,2019
"Paul Rowley","William & Mary","Sr",0.536808,47.1,2019
"Jace Hogan","Jacksonville","Sr",2.40336,64.7,2019
"Shelton Mitchell","Clemson","Sr",3.12703,78.1,2019
"Kerwin Smith","Oral Roberts","Sr",-0.0292029,5,2019
"Laquarious Paige","Lamar","Jr",-0.0414785,50.4,2019
"Temidayo Yussuf","Long Beach St.","Sr",1.29969,40.6,2019
"Jeff Thomas","Georgia St.","Sr",2.73947,79.5,2019
"Paul Jorgensen","Butler","Sr",2.95796,67.2,2019
"Lance Tejada","Lehigh","Sr",2.17456,65.3,2019
"Braxton Huggins","Fresno St.","Sr",2.94332,70,2019
"Phil Cofer","Florida St.","Sr",3.23435,72.3,2019
"Jacob Kessler","Army","Sr",0.631148,57.7,2019
"Stephen O'Suji","Houston Baptist","Sr",-0.616949,3.3,2019
"Dwayne Morgan","Southern Utah","Sr",0.919049,43.8,2019
"Jordan Cornish","Tulane","Sr",0.795838,75,2019
"Christian Mekowulu","Texas A&M","Sr",2.17383,73.2,2019
"Dion Wiley","Saint Louis","Sr",1.13469,48.8,2019
"Nick Loew","San Francisco","Sr",0.116514,4.1,2019
"Jordan McRae","Binghamton","Sr",-0.128428,1.5,2019
"Gabe Taylor","Cal Baptist","Sr",1.34546,84.9,2019
"Eric Paschall","Villanova","Sr",4.0182,70.2,2019
"Shawn O'Connell","UNC Wilmington","Sr",0.902329,28.8,2019
"Zylan Cheatham","Arizona St.","Jr",2.03279,53.9,2019
"John Carroll","Hartford","Sr",2.79254,78.8,2019
"Ruben Guerrero","Samford","Sr",0.0747399,57,2019
"Troy Holston","Saint Joseph's","Jr",-0.0536787,63,2019
"Kyle Castlin","Xavier","Sr",2.54502,37.1,2019
"Devin Watson","San Diego St.","Sr",2.70969,78.9,2019
"Nick Harris","College of Charleston","Sr",0.662406,59.8,2019
"Paul Jackson","Eastern Michigan","Sr",2.00919,88.2,2019
"Paul Friendshuh","Richmond","Sr",-0.395568,6.5,2019
"Brady Ellingson","Drake","Sr",0.395269,21.4,2019
"Zach Haney","Boise St.","Sr",1.27367,55.7,2019
"Byron Hawkins","Bryant","Sr",1.0668,42.5,2019
"D.J. McCall","IUPUI","Sr",0.765228,66.7,2019
"Jordan McNeil","Towson","Sr",0.0627378,39,2019
"Isaac Copeland","Nebraska","Sr",3.28236,76.4,2019
"Scott Plaisance","New Orleans","Sr",-0.478628,28.6,2019
"Tom Cotter","Oakland","Sr",-0.191356,6.8,2019
"Quinton Thomas","Southeastern Louisiana","Sr",0.0410675,18,2019
"Wyatt Lohaus","Northern Iowa","Sr",2.0193,46,2019
"John Konchar","Fort Wayne","Sr",4.16736,92.9,2019
"Dalton Nixon","BYU","Jr",1.68712,28.2,2019
"Devin Mitchell","Georgia St.","Sr",2.29524,69.9,2019
"Jeremy Lieberman","Cal Baptist","Sr",0.140427,54.1,2019
"Reid Travis","Kentucky","Sr",4.48898,84.4,2019
"Robbie Berwick","Colorado St.","Sr",0.423769,15.5,2019
"Nicholas Baer","Iowa","Sr",1.58532,43.5,2019
"Cameron Liss","Illinois","Sr",-0.705856,1,2019
"Ernie Duncan","Vermont","Sr",2.86243,69.4,2019
"Ronnie Harrell Jr.","Denver","Sr",2.16241,57.4,2019
"Jontrell Walker","Jackson St.","Sr",1.1427,23.3,2019
"Cody Benzel","Eastern Washington","Sr",1.50221,49.4,2019
"Robert Cartwright","UC Irvine","Sr",0.768454,34.2,2019
"Chris Porter-Bunton","Austin Peay","Sr",0.902399,61.1,2019
"Vic Law","Northwestern","Sr",3.06148,68.2,2019
"Tashombe Riley","South Alabama","Sr",1.70794,62,2019
"Ryan Singer","San Jose St.","Sr",-2.22457,2.6,2019
"Riley Conroy","Tulane","Sr",-0.5899,0.6,2019
"Tory Miller-Stewart","Denver","Sr",-0.511677,10.3,2019
"Ahmed Hill","Virginia Tech","Sr",2.72095,62.2,2019
"Jalen Hudson","Florida","Sr",3.5789,65.7,2019
"Ikenna Smart","Wake Forest","Sr",0.612089,23.3,2019
"Isaac Fleming","East Carolina","Sr",1.62967,79.3,2019
"Mawdo Sallah","Radford","Sr",0.042584,10.8,2019
"Jonathan Sanks","Canisius","Sr",0.826491,37.6,2019
"Aaron Menzies","Saint Mary's","Sr",2.80408,67.3,2019
"Kadeem Smithen","Siena","Sr",1.10495,41.5,2019
"Weisner Perez","Harvard","Sr",-0.165438,8.4,2019
"Reilly Walsh","NJIT","Sr",0.0898679,49.6,2019
"Mohamed Bendary","NJIT","Sr",0.713683,28,2019
"Garrison Mathews","Lipscomb","Sr",3.69404,76,2019
"Kosta Jankovic","Kennesaw St.","Sr",0.429252,42.3,2019
"Eli Pepper","Lipscomb","Sr",0.274512,60.5,2019
"Jure Span","USC Upstate","Sr",0.675255,69.8,2019
"Max Rothschild","Penn","Sr",0.856934,55.4,2019
"Sam Bittner","Fresno St.","Sr",2.36889,63,2019
"Anthony Bonner","Colorado St.","Jr",1.4243,66.5,2019
"Trey Porter","Nevada","Sr",3.04431,58.6,2019
"Connor Cashaw","Creighton","Sr",2.57264,83.8,2019
"Dean Wade","Kansas St.","Sr",4.94673,72.9,2019
"Kamau Stokes","Kansas St.","Sr",1.62316,54.5,2019
"Pierson McAtee","Kansas St.","Jr",0.147166,1.3,2019
"Tyler Hamilton","Penn","Jr",-0.193923,15.5,2019
"Elijah Long","Texas","Jr",2.0096,85.7,2019
"Collin McManus","Penn","Sr",0.828859,1.4,2019
"Vincent Eze","Maine","So",-0.147765,49.8,2019
"Ilija Stojiljkovic","Maine","Sr",-0.463255,50.3,2019
"Davonte Fitzgerald","Stephen F. Austin","Sr",0.271757,31.9,2019
"Jack Gordon","Cornell","Sr",0.616388,59.4,2019
"Nate Grimes","Fresno St.","Jr",1.40828,27.4,2019
"Joe Rosga","Denver","Sr",3.71283,86.6,2019
"Jake Holtzmann","Denver","Sr",0.246941,29.5,2019
"C.J. Bobbitt","New Mexico St.","Jr",1.2278,64.5,2019
"Abiola Akintola","Denver","Sr",-0.599479,26.1,2019
"Nick Rutherford","Monmouth","Jr",0.600113,66.9,2019
"Kimar Williams","Rider","Jr",0.015103,34.9,2019
"Michael Douglas","FIU","Sr",0.459293,51.6,2019
"Armani Collins","Bethune Cookman","Sr",-0.509469,26.7,2019
"Eric Hamilton","UNC Greensboro","Jr",-0.246881,8,2019
"Markis McDuffie","Wichita St.","Sr",1.77241,31.3,2019
"Marvin Prochet","Niagara","Sr",2.67783,81.9,2019
"Chris Barton","Niagara","Sr",0.146804,33.5,2019
"Adam Pickett","Winthrop","Sr",1.30348,55.4,2019
"Bjorn Broman","Winthrop","Sr",2.76193,78.1,2019
"Dwayne Sutton","Louisville","Jr",1.42023,37.5,2019
"Dylan Smith","Arizona","Jr",0.677576,35,2019
"Isaiah Felder","Savannah St.","Sr",-0.158817,18.6,2019
"Dexter McClanahan","Nicholls St.","Sr",1.53038,73.7,2019
"Jack George","Elon","Sr",-0.588337,0.2,2019
"Josh Cunningham","Dayton","Sr",4.12991,77.9,2019
"Trevor Stumpe","Wofford","Jr",2.75684,60.8,2019
"George Blagojevic","Hartford","Sr",0.650888,43.1,2019
"J.R. Lynch","Hartford","Sr",1.99823,90.7,2019
"Nolan Gerrity","UMBC","Sr",0.0809575,30.5,2019
"Ishmail Jabbie","UMBC","Sr",-0.363135,5.8,2019
"Sam Schwietz","UMBC","Jr",0.788073,15.6,2019
"Joe Sherburne","UMBC","Sr",1.90212,74.7,2019
"David Watkins","New Hampshire","Sr",-0.193197,9.1,2019
"Tyler Hall","Montana St.","Sr",2.89311,78,2019
"Sam Neumann","Montana St.","Sr",1.48514,49.5,2019
"Shaun Belbey","Syracuse","Sr",0.488803,0.1,2019
"Malik Moore","USC Upstate","Sr",1.84313,73.4,2019
"Brevin Pritzl","Wisconsin","Jr",2.97493,70.8,2019
"Josh Reaves","Penn St.","Sr",3.71445,66.8,2019
"AJ Harris","New Mexico St.","Jr",1.05273,68.4,2019
"Grady Eifert","Purdue","Sr",1.12483,20.2,2019
"Mike Watkins","Penn St.","Jr",3.16955,48.7,2019
"Ryan Cline","Purdue","Sr",1.64028,43.1,2019
"Keyshawn Woods","Ohio St.","Sr",2.61631,58,2019
"Stephen Thompson Jr.","Oregon St.","Sr",3.30077,90.2,2019
"Tres Tinkle","Oregon St.","Jr",4.13564,89.6,2019
"Gligorije Rakocevic","Oregon St.","Sr",0.203363,21.9,2019
"Derrick Bruce","Texas Southern","Sr",1.54902,73,2019
"Marcus Sheffield","Stanford","Jr",0.695834,47.1,2019
"Josh Sharma","Stanford","Sr",0.670495,22.8,2019
"Andrew Eudy","Campbell","Sr",1.92082,62.6,2019
"Jon Ander Cuadra","Campbell","Sr",-1.07775,0.5,2019
"Marcquise Reed","Clemson","Sr",3.92358,86.6,2019
"Markell Lodge","Saint Joseph's","Sr",0.0379705,4.7,2019
"Dominick Antonelli","Navy","Sr",-0.303415,1.8,2019
"Spencer Haldeman","Northern Iowa","Jr",1.44176,42.7,2019
"Trevond Barnes","Hampton","Sr",1.15593,49.4,2019
"Kalin Fisher","Hampton","Sr",0.863763,74.3,2019
"Branden Aughburns","Iona","Jr",0.0455247,24.1,2019
"Louie Pillari","Monmouth","Jr",1.35369,39.6,2019
"Tre Houston","Hampton","Jr",0.219519,1.1,2019
"Diago Quinn","Monmouth","Sr",0.832355,43.1,2019
"Drew Cayce","Illinois","Jr",-0.735975,2.3,2019
"Alex Copeland","Yale","Sr",1.30738,64.5,2019
"Adam Roe","Army","Jr",0.409403,5.3,2019
"Sam Walters","UC Santa Barbara","Sr",-0.687884,1.5,2019
"Dolan Mahoney","Florida Gulf Coast","Sr",-0.271561,1.5,2019
"Cayne Edwards","Army","Sr",-0.0598143,0.8,2019
"Scott Meredith","St. Francis PA","Sr",0.189652,36.1,2019
"Andre Wolford","St. Francis PA","Sr",3.64469,72.4,2019
"Josh Nebo","Texas A&M","Jr",1.22138,74.5,2019
"Jordan Forehand","St. Francis PA","Sr",0.11311,1.2,2019
"Isaiah Blackmon","St. Francis PA","Sr",2.05158,7.1,2019
"Devin Liggeons","Wagner","Sr",0.69546,53.9,2019
"Matej Kavas","Seattle","Jr",2.81859,77.8,2019
"Eli Chuha","New Mexico St.","Sr",1.55641,46.3,2019
"Leo Goodman","Stetson","Sr",0.500958,28.1,2019
"Antonio Green","Middle Tennessee","Jr",1.59877,74.9,2019
"Dominic Robb","Niagara","Sr",1.30999,48,2019
"Bennett Holley","Appalachian St.","Sr",0.598649,13.3,2019
"Tyrell Johnson","Appalachian St.","Sr",0.229937,54.4,2019
"Kevin Kerley","Appalachian St.","Sr",-0.490281,0.4,2019
"Kyle Brown","Texas A&M Corpus Chris","Jr",-0.750323,13.8,2019
"Kareem South","Texas A&M Corpus Chris","Jr",1.35394,76.8,2019
"Ronshad Shabazz","Appalachian St.","Sr",2.59392,82.1,2019
"Trey Ford","Appalachian St.","Sr",-0.490281,0.4,2019
"Marquise Pointer","College of Charleston","Sr",0.604693,61.1,2019
"Darnell Edge","Fairleigh Dickinson","Sr",2.59873,83.8,2019
"Lonnie Rivera","Wagner","Jr",0.215283,31.1,2019
"Kevin Brown","American","Sr",-0.376853,0.8,2019
"Delante Jones","Seattle","Jr",0.43253,78.8,2019
"James Washington","American","Sr",-1.09146,14.5,2019
"Joshua Patton","Sacramento St.","Jr",1.97266,61.4,2019
"Jeff Wu","Sacramento St.","Sr",-0.102177,46.1,2019
"Jaylin Walker","Kent St.","Sr",2.20651,76.9,2019
"Jalen Avery","Kent St.","Sr",3.6024,84.1,2019
"Sean Lloyd","Southern Illinois","Sr",2.54883,85.8,2019
"Luke McDonnell","Northern Iowa","Jr",0.116303,4.1,2019
"Noah Blackwell","Fresno St.","Jr",1.48584,50.3,2019
"Mason Riggins","Long Beach St.","Sr",1.1479,42.6,2019
"Ty Taylor","UNC Wilmington","Jr",1.57576,73.6,2019
"Rudy Stradnieks","Southern Illinois","Sr",0.200306,23.9,2019
"Sheriff Drammeh","Hawaii","Sr",1.11262,73.7,2019
"Blair Orr","Cal St. Northridge","Sr",0.390033,3,2019
"Rob Marberry","Lipscomb","Sr",3.39063,71.4,2019
"Jason Dunne","Hartford","Sr",2.13531,89.3,2019
"Thomas Bruce","Binghamton","Sr",1.41382,75.6,2019
"Timmy Rose","Binghamton","Sr",-0.549534,53.2,2019
"Joe Cremo","Villanova","Sr",4.19509,89,2019
"Corey Redman","Central Michigan","Sr",-0.0358121,6.5,2019
"Nick Perkins","Buffalo","Sr",2.90576,68.6,2019
"James Thompson IV","Eastern Michigan","Sr",3.85051,85.7,2019
"Jaren Lewis","Abilene Christian","Sr",2.05535,80.8,2019
"Austin Grandstaff","DePaul","Jr",-0.536211,12,2019
"Mickey Mitchell","Arizona St.","Jr",1.50867,41.9,2019
"Bakari Evelyn","Valparaiso","Jr",1.93214,79.7,2019
"Michael Jacobson","Iowa St.","Jr",1.17674,59.7,2019
"Dererk Pardon","Northwestern","Sr",4.03826,77.7,2019
"Aaron Falzon","Northwestern","Jr",1.29041,34.3,2019
"Jordan Ash","Northwestern","Sr",0.0337485,23.4,2019
"Bennie Boatwright","USC","Sr",3.13934,43.7,2019
"Alex Olesinski","UCLA","Jr",2.13276,43.9,2019
"Prince Ali","UCLA","Jr",1.64167,56.1,2019
"Jarriesse Blackmon","UC Santa Barbara","Sr",0.148226,22.2,2019
"Jeremy Hemsley","San Diego St.","Sr",0.515778,52.8,2019
"Jaylin McDonald","Ohio","Sr",-0.36428,1.2,2019
"Imani Miller","Hampton","Jr",-0.512725,11.5,2019
"Eugene Marshall III","Hampton","Jr",0.019976,1,2019
"Akim Mitchell","Hampton","Sr",1.13396,64.5,2019
"Matt Mooney","Texas Tech","Sr",3.39601,78.9,2019
"Ricky Madison","High Point","Sr",0.973055,39.2,2019
"Hasan Abdullah","Navy","Sr",0.219439,69.1,2019
"Jordan Fox","Army","Sr",2.06991,75.5,2019
"Parker Fennema","Army","Sr",0.184045,1.3,2019
"Jason Houle","Army","Sr",-0.611767,0.2,2019
"John Miller","Army","Sr",-0.0715628,10,2019
"Jonathan Jean","Furman","Sr",0.403437,5.7,2019
"Sean Hoehn","Sacred Heart","Sr",1.53575,80.8,2019
"Matt Rafferty","Furman","Sr",3.72053,66.1,2019
"Joshua Nurse","St. Francis NY","Sr",-0.755961,21.8,2019
"Cory Kilby","Mercer","Sr",0.88173,35.3,2019
"Jaylen Stowe","Mercer","Sr",0.085012,31.5,2019
"Ethan Stair","Mercer","Jr",0.160007,24.2,2019
"Ike Smith","Georgia Southern","Sr",0.682077,55.2,2019
"Montae Glenn","Georgia Southern","Sr",2.3515,59.9,2019
"Jake Wilson","Appalachian St.","Sr",-0.40882,10.7,2019
"Nate Sestina","Bucknell","Sr",1.28054,35.8,2019
"Kimbal Mackenzie","Bucknell","Sr",0.872544,45.2,2019
"Mike Holloway Jr.","Fairleigh Dickinson","Sr",1.42331,75.7,2019
"Kamali Chambers","Boston University","Sr",-0.202609,11.6,2019
"Pookie Powell","La Salle","Sr",2.89606,84,2019
"Max Hazzard","UC Irvine","Jr",0.793845,54.3,2019
"Garrison Goode","UC Davis","Sr",-0.465684,67.8,2019
"James Fives","Loyola MD","Sr",-1.45787,15.7,2019
"Siler Schneider","UC Davis","Sr",1.75851,75.3,2019
"Joe Mooney","UC Davis","Jr",0.794299,39.1,2019
"Rogers Printup","UC Davis","Jr",-0.121416,23.8,2019
"Ahmad Frost","Maryland Eastern Shore","Jr",-0.125643,83.3,2019
"Lew Stallworth","UT Rio Grande Valley","Sr",0.506831,39.7,2019
"Jake Wright","Milwaukee","Sr",1.07636,34.4,2019
"King McClure","Baylor","Sr",1.20793,58.6,2019
"Justin Robinson","Duke","Jr",0.00542061,5.5,2019
"Brennan Besser","Duke","Jr",-0.620777,0.1,2019
"Antonio Vrankovic","Duke","Sr",0.236573,4.4,2019
"Jake Lindsey","Baylor","Sr",1.53919,57.1,2019
"Nathan Bain","Stephen F. Austin","Jr",0.0664613,11.3,2019
"TJ Holyfield","Stephen F. Austin","Sr",1.56414,67.8,2019
"Tyler Underwood","Illinois","So",-0.0682902,2.1,2019
"Jonah Radebaugh","Northern Colorado","Jr",2.38991,88.9,2019
"Jordan Davis","Northern Colorado","Sr",2.59603,73.4,2019
"Isaiah Thomas","Northern Arizona","Sr",0.4575,49.7,2019
"Josh McFolley","Detroit","Sr",1.47084,62.7,2019
"Adrian Autry","Syracuse","Sr",-0.20479,0.1,2019
"Chris Clover","Saint Joseph's","Sr",0.232677,67.5,2019
"LaDarien Griffin","St. Bonaventure","Sr",2.00655,70.9,2019
"Nelson Kaputo","St. Bonaventure","Sr",0.849062,24.3,2019
"Courtney Stockard","St. Bonaventure","Sr",2.42589,70.2,2019
"Dusan Kovacevic","Davidson","Jr",0.0128477,5.6,2019
"Trey Moses","Ball St.","Sr",2.0724,65.3,2019
"David Crisp","Washington","Sr",1.2878,85.5,2019
"Noah Dickerson","Washington","Sr",3.81926,66.5,2019
"Dominic Green","Washington","Sr",1.8783,48.1,2019
"Payton Hulsey","FIU","Sr",0.0443537,9.7,2019
"Lincoln Conrey","Northern Iowa","Jr",0.469294,0.4,2019
"Jarred Dixon","Missouri St.","Sr",1.58597,72.2,2019
"Omar Ndiaye","Northern Arizona","Sr",-0.21824,0.1,2019
"Obediah Church","Missouri St.","Sr",1.98097,58.1,2019
"Jalone Friday","Abilene Christian","Jr",1.18255,57.1,2019
"Rayshawn Miller","Albany","Sr",-0.0507088,60.7,2019
"Isaac Taylor","Maryland Eastern Shore","Jr",0.142552,38.2,2019
"Joey Lane","Ohio St.","Sr",0.0806411,2,2019
