"Team","Conference","YUSAG_Coefficient"
"Southern U.","SWAC",-11.95
"Southern Utah","Big Sky",-6.33
"St. Bonaventure","A-10",8.78
"St. Francis Brooklyn","NEC",-10.33
"St. John's (NY)","Big East",8.9
"Stanford","Pac 12",7.06
"Stetson","A-Sun",-11.2
"Stony Brook","Am. East",-3.69
"Syracuse","ACC",11.49
"TCU","Big 12",14.78
"Temple","AAC",6.01
"Tennessee","SEC",17.09
"Tennessee St.","OVC",-3.82
"Tennessee Tech","OVC",-4.68
"Texas","Big 12",12.13
"Texas A&M","SEC",13.35
"Texas Southern","SWAC",-5.29
"Texas St.","Sunbelt",-4.55
"Texas Tech","Big 12",17.55
"The Citadel","Southern",-11.56
"Toledo","MAC",3.65
"Towson","CAA",0.56
"Troy","Sunbelt",-0.44
"Tulane","AAC",-0.12
"Tulsa","AAC",4.54
"UAB","C-USA",4.77
"UC Davis","Big West",1.68
"UC Irvine","Big West",1.31
"UC Riverside","Big West",-7.53
"UC Santa Barbara","Big West",2.85
"UCF","AAC",3.75
"UCLA","Pac 12",10.93
"UConn","AAC",-0.19
"UMBC","Am. East",-0.21
"UMES","MEAC",-22
"UMKC","WAC",-9.24
"UMass Lowell","Am. East",-8.14
"UNC Asheville","Big South",-2.81
"UNCG","Southern",5.8
"UNCW","CAA",-5.92
"UNI","MVC",3.08
"UNLV","MWC",5.73
"USC Upstate","A-Sun",-16.1
"UT Arlington","Sunbelt",2.74
"UT Martin","OVC",-9.12
"UTEP","C-USA",-5.48
"UTRGV","WAC",-7.08
"UTSA","C-USA",-0.52
"Utah","Pac 12",10.2
"Utah St.","MWC",2.15
"Utah Valley","WAC",6.08
"VCU","A-10",2.08
"VMI","Southern",-14.12
"Valparaiso","MVC",0.71
"Vanderbilt","SEC",7.35
"Vermont","Am. East",6.34
"Villanova","Big East",25.61
"Virginia","ACC",20.88
"Virginia Tech","ACC",12.97
"Wagner","NEC",-1.54
"Wake Forest","ACC",6.96
"Washington","Pac 12",6.23
"Washington St.","Pac 12",-0.96
"Weber St.","Big Sky",1.28
"West Virginia","Big 12",18.33
"Western Caro.","Southern",-10.04
"Western Ill.","Summit",-10.45
"Western Ky.","C-USA",11.1
"Western Mich.","MAC",-1.93
"Wichita St.","AAC",14.98
"William & Mary","CAA",0.22
"Winthrop","Big South",0.28
"Wisconsin","Big 10",9.07
"Wofford","Southern",0.42
"Wright St.","Horizon",1.82
"Wyoming","MWC",3.77
"Xavier","Big East",17.2
"Yale","Ivy",-2.12
"Youngstown St.","Horizon",-11.68
