"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score","year"
"IPFW","Summit",4,0,0,0,2,76.67,12,2011
"Western Illinois","Summit",5,0,0,0,2,76.67,12,2011
"Nebraska Omaha","Summit",6,0,0,0,2,76.67,12,2011
"Saint Francis (PA)","NEC",3,0,0,1,1,81.46,11.46,2011
"Central Connecticut State","NEC",4,0,0,1,1,81.46,11.46,2011
"McNeese State","SLC",9,0,0,1,1,81.11,11.11,2011
"Drake","MVC",8,0,0,0,1,80.49,10.49,2011
"Belmont","OVC",9,0,0,0,1,79.65,9.65,2011
"Florida Atlantic","C-USA",13,0,0,0,1,76.67,6.67,2011
"Buffalo","MAC",8,0,0,0,1,76.67,6.67,2011
"Miami (OH)","MAC",9,0,0,0,1,76.67,6.67,2011
"Bowling Green","MAC",10,0,0,0,1,76.67,6.67,2011
"Utah State","M-West",8,0,0,0,1,76.67,6.67,2011
"San Diego State","M-West",9,0,0,0,1,76.67,6.67,2011
"Duquesne","A-10",11,0,0,0,1,76.67,6.67,2011
"St. Bonaventure","A-10",12,0,0,0,1,76.67,6.67,2011
"Stony Brook","A-East",5,0,0,0,1,76.67,6.67,2011
"South Carolina Upstate","A-Sun",4,0,0,0,1,76.67,6.67,2011
"Southern Utah","Big-Sky",11,0,0,0,1,76.67,6.67,2011
"Sacramento State","Big-Sky",12,0,0,0,1,76.67,6.67,2011
"Liberty","B-South",10,0,0,0,1,76.67,6.67,2011
"Columbia","Ivy",7,0,0,0,1,76.67,6.67,2011
"Saint Peter's","MAAC",7,0,0,0,1,76.67,6.67,2011
"Savannah State","MEAC",8,0,0,0,1,76.67,6.67,2011
"Delaware State","MEAC",9,0,0,0,1,76.67,6.67,2011
"South Carolina State","MEAC",10,0,0,0,1,76.67,6.67,2011
"Evansville","MVC",9,0,0,0,1,76.67,6.67,2011
"Long Island","NEC",5,0,0,0,1,76.67,6.67,2011
"Mount St. Mary's","NEC",6,0,0,0,1,76.67,6.67,2011
"Tennessee State","OVC",10,0,0,0,1,76.67,6.67,2011
"SIU Edwardsville","OVC",11,0,0,0,1,76.67,6.67,2011
"Lafayette","Patriot",6,0,0,0,1,76.67,6.67,2011
"Lehigh","Patriot",7,0,0,0,1,76.67,6.67,2011
"Louisiana-Monroe","SBC",10,0,0,0,1,76.67,6.67,2011
"Nicholls State","SLC",10,0,0,0,1,76.67,6.67,2011
"Lamar","SLC",11,0,0,0,1,76.67,6.67,2011
"Davidson","Southern",9,0,0,0,1,76.67,6.67,2011
"South Dakota State","Summit",7,0,0,0,1,76.67,6.67,2011
"Denver","Summit",8,0,0,0,1,76.67,6.67,2011
"Jackson State","SW-AC",4,0,0,0,1,76.67,6.67,2011
"Grambling State","SW-AC",5,0,0,0,1,76.67,6.67,2011
"Alabama State","SW-AC",6,0,0,0,1,76.67,6.67,2011
"St. Mary's","WCC",7,0,0,0,1,76.67,6.67,2011
"Lipscomb","A-Sun",5,0,0,0,1,75.56,5.56,2011
"Marshall","C-USA",NA,NA,NA,NA,1,0,0,2011
"Jacksonville","A-Sun",NA,NA,NA,NA,1,0,0,2011
"UNC Wilmington","CAA",NA,NA,NA,NA,1,0,0,2011
"Robert Morris","NEC",NA,NA,NA,NA,1,0,0,2011
"Arkansas-Little Rock","SBC",NA,NA,NA,NA,2,0,0,2011
"Seattle","WAC",NA,NA,NA,NA,1,0,0,2011
"New Mexico State","WAC",NA,NA,NA,NA,4,0,0,2011
"Kentucky","SEC",1,3,1,0,4,99.35,69.69,2012
"UCLA","Pac-12",1,3,1,0,4,99.14,69.61,2012
"Arizona","Pac-12",2,3,1,0,4,99.05,69.16,2012
"Baylor","Big-12",1,1,3,1,5,95.38,67.46,2012
"North Carolina","ACC",1,0,4,0,4,98.08,66.55,2012
"UNLV","M-West",1,1,2,2,5,93.68,66.54,2012
"Indiana","Big-Ten",1,1,2,1,4,96.58,66.29,2012
"Michigan","Big-Ten",2,1,2,2,5,93.73,66.2,2012
"Texas","Big-12",2,1,3,2,6,92.56,65.8,2012
"Georgia Tech","ACC",2,0,3,1,4,96.07,65.03,2012
"Kansas","Big-12",3,0,3,2,5,94.52,64.97,2012
"Michigan State","Big-Ten",3,1,3,0,4,96.95,64.69,2012
"Maryland","Big-Ten",4,0,4,1,5,94.44,64.53,2012
"N.C. State","ACC",3,2,1,0,3,98.89,64.31,2012
"Virginia","ACC",4,0,3,2,5,92.97,63.65,2012
"Purdue","Big-Ten",5,0,4,0,4,96.3,62.48,2012
"Colorado","Pac-12",3,0,2,4,6,90.19,61.41,2012
"Florida","SEC",2,0,3,1,4,94.62,61.27,2012
"Georgetown","Big-East",1,0,3,0,3,96.98,60.85,2012
"Providence","Big-East",2,2,0,1,3,95.66,60.47,2012
"Texas A&M","SEC",3,0,2,3,5,91.27,59.84,2012
"Wake Forest","ACC",5,0,2,5,7,91.55,59.72,2012
"Oregon","Pac-12",4,0,2,4,6,90.42,59.2,2012
"Houston","AAC",1,1,1,2,4,90.81,59,2012
"Pittsburgh","ACC",6,1,1,1,3,94.84,58.89,2012
"Xavier","Big-East",3,0,2,1,3,95.09,57.77,2012
"Villanova","Big-East",4,0,2,1,3,94.59,57.69,2012
"Ole Miss","SEC",4,0,2,4,6,89.66,57.55,2012
"Connecticut","AAC",2,0,2,1,3,94.75,57.55,2012
"Notre Dame","ACC",7,0,2,1,3,94.67,57.33,2012
"Iowa","Big-Ten",6,0,2,3,5,88.27,57.16,2012
"San Diego State","M-West",2,0,2,1,3,94.66,57.07,2012
"St. John's","Big-East",5,0,2,1,3,93.85,56.91,2012
"Stanford","Pac-12",5,0,2,1,3,94.44,56.09,2012
"Auburn","SEC",5,0,2,4,6,88.53,55.41,2012
"Mississippi State","SEC",6,0,1,5,6,90.13,54.49,2012
"Georgia","SEC",7,0,2,2,4,92.27,54.35,2012
"Tennessee","SEC",8,0,1,3,4,89.65,53.03,2012
"Iowa State","Big-12",4,0,2,2,4,88.92,53.01,2012
"Florida State","ACC",8,0,1,3,4,89.83,52.63,2012
"Duke","ACC",9,1,1,0,2,99.14,52.54,2012
"Oklahoma State","Big-12",5,1,0,2,3,91.48,51.88,2012
"Syracuse","ACC",10,1,1,0,2,98.63,51.66,2012
"Clemson","ACC",11,0,1,4,5,90.35,51.35,2012
"West Virginia","Big-12",6,0,1,2,3,90.85,48.86,2012
"Arkansas","SEC",9,0,1,4,5,88.42,48.35,2012
"Memphis","AAC",3,0,2,0,2,96.63,48.34,2012
"California","Pac-12",6,0,1,2,3,90.33,48.07,2012
"Oklahoma","Big-12",7,0,0,5,5,87.82,47.22,2012
"Utah","Pac-12",7,0,1,2,3,90.06,47.16,2012
"VCU","A-10",1,0,1,2,3,89.12,46.21,2012
"LSU","SEC",10,0,1,3,4,87.92,45.95,2012
"Temple","AAC",4,0,1,2,3,88.59,45.3,2012
"Missouri","SEC",11,0,0,4,4,87.66,45.05,2012
"SMU","AAC",5,0,1,2,4,85.24,44.67,2012
"Oregon State","Pac-12",8,0,1,3,4,86.05,44.53,2012
"Northwestern","Big-Ten",7,0,1,3,4,86.43,44.49,2012
"USF","AAC",6,0,1,2,3,88.62,43.59,2012
"Marquette","Big-East",6,0,1,1,2,92.96,41.98,2012
"Vanderbilt","SEC",12,0,0,3,3,88.36,41.25,2012
"Wisconsin","Big-Ten",8,1,0,1,2,91.42,40.19,2012
"Butler","Big-East",7,0,1,1,3,85.49,39.88,2012
"South Carolina","SEC",13,0,0,4,4,85.23,38.33,2012
"Arizona State","Pac-12",9,0,0,3,3,86.48,38.05,2012
"Texas Tech","Big-12",8,0,1,1,3,85.33,37.87,2012
"DePaul","Big-East",8,0,0,3,3,86.21,37.02,2012
"Charlotte","C-USA",1,0,1,1,2,90.24,36.85,2012
"Washington State","Pac-12",10,0,1,1,2,90.17,36.69,2012
"USC","Pac-12",11,0,0,3,3,85.19,36.13,2012
"TCU","Big-12",9,0,0,3,3,85,35.36,2012
"Boston College","ACC",12,0,0,2,2,89.11,34.8,2012
"Nebraska","Big-Ten",9,0,0,2,4,80.57,34.62,2012
"Creighton","Big-East",9,0,1,1,2,88.45,34.02,2012
"Penn State","Big-Ten",10,0,0,2,3,83.35,33.03,2012
"Minnesota","Big-Ten",11,0,0,2,2,86.43,29.99,2012
"Alabama","SEC",14,1,0,0,1,99.09,29.09,2012
"East Carolina","AAC",7,0,0,2,2,85.75,28.39,2012
"Fresno State","M-West",3,0,1,0,1,97.85,27.85,2012
"Louisville","ACC",13,0,1,0,1,96.8,26.8,2012
"Marshall","C-USA",2,0,1,0,1,95.18,25.18,2012
"Towson","CAA",1,0,1,0,1,94.74,24.74,2012
"UTEP","C-USA",3,0,1,0,2,82.23,24.46,2012
"Hawaii","Big-west",1,0,1,0,1,93.72,23.72,2012
"Tennessee Tech","OVC",1,0,1,0,1,93.09,23.09,2012
"Florida Atlantic","C-USA",4,0,1,0,1,92.81,22.81,2012
"George Mason","A-10",2,0,1,0,1,92.61,22.61,2012
"Northern Illinois","MAC",1,0,0,1,3,79.26,22.52,2012
"Old Dominion","C-USA",5,0,1,0,1,92.33,22.33,2012
"James Madison","CAA",2,0,1,0,1,92.21,22.21,2012
"Furman","Southern",1,0,1,0,1,92.13,22.13,2012
"Loyola (MD)","Patriot",1,0,0,1,1,91.93,21.93,2012
"Citadel","Southern",2,0,0,1,1,91.85,21.85,2012
"Dayton","A-10",3,0,0,1,1,91.16,21.16,2012
"New Mexico State","WAC",1,0,0,1,1,91.15,21.15,2012
"Miami","ACC",14,0,0,1,1,90.94,20.94,2012
"Ohio State","Big-Ten",12,0,0,1,1,90.05,20.05,2012
"Kansas State","Big-12",10,0,0,2,2,81.11,20.01,2012
"Rhode Island","A-10",4,0,0,1,1,89.36,19.36,2012
"Georgia State","SBC",1,0,0,1,2,80,18.67,2012
"Boston University","Patriot",2,0,0,1,1,88.41,18.41,2012
"Wichita State","MVC",1,0,0,1,1,88.4,18.4,2012
"Harvard","Ivy",1,0,0,1,1,88.19,18.19,2012
"Virginia Tech","ACC",15,0,0,1,1,87.13,17.13,2012
"Rutgers","Big-Ten",13,0,0,1,1,85.56,15.56,2012
"Cincinnati","AAC",8,0,0,1,1,85.56,15.56,2012
"Missouri State","MVC",2,0,0,0,2,76.67,12,2012
"UCF","AAC",9,0,0,0,1,78.89,8.89,2012
"Western Michigan","MAC",2,0,0,0,1,76.67,6.67,2012
"Nevada","M-West",4,0,0,0,1,76.67,6.67,2012
"Washington","Pac-12",NA,NA,NA,NA,1,0,0,2012
"Toledo","MAC",NA,NA,NA,NA,1,0,0,2012
"San Jose State","M-West",NA,NA,NA,NA,2,0,0,2012
"Weber State","Big-Sky",NA,NA,NA,NA,1,0,0,2012
"Charleston Southern","B-South",NA,NA,NA,NA,1,0,0,2012
"Northeastern","CAA",NA,NA,NA,NA,2,0,0,2012
"Wisconsin-Green Bay","Horizon",NA,0,0,0,1,70,0,2012
"Youngstown State","Horizon",NA,0,0,0,1,70,0,2012
"Cornell","Ivy",NA,NA,NA,NA,1,0,0,2012
"Coppin State","MEAC",NA,NA,NA,NA,1,0,0,2012
"Howard","MEAC",NA,NA,NA,NA,1,0,0,2012
"Drake","MVC",NA,NA,NA,NA,1,0,0,2012
"Belmont","OVC",NA,NA,NA,NA,1,0,0,2012
"Arkansas-Little Rock","SBC",NA,0,0,0,1,70,0,2012
"Wofford","Southern",NA,NA,NA,NA,1,0,0,2012
"Georgia Southern","Southern",NA,NA,NA,NA,1,0,0,2012
"Gonzaga","WCC",NA,NA,NA,NA,1,0,0,2012
"North Florida","A-Sun",1,0,1,0,1,92.25,NA,2012
"Jacksonville","A-Sun",2,0,0,1,1,91.97,NA,2012
"Lipscomb","A-Sun",NA,NA,NA,NA,2,0,NA,2012
"Loyola Marymount","WCC",1,0,1,0,1,93.86,NA,2012
"San Francisco","WCC",NA,NA,NA,NA,1,0,NA,2012
"Kentucky","SEC",1,6,1,1,8,97.28,71.08,2013
"Kansas","Big-12",1,3,2,1,6,97.91,70.49,2013
"Memphis","AAC",1,1,5,0,6,97.34,68.08,2013
"Indiana","Big-Ten",1,1,3,2,6,94.78,67.3,2013
"Louisville","ACC",1,0,4,0,4,97.76,66.24,2013
"LSU","SEC",2,1,2,1,4,95.96,66.05,2013
"Marquette","Big-East",1,0,3,2,5,93.45,65.59,2013
"Syracuse","ACC",2,1,2,2,5,94.75,65.54,2013
"Duke","ACC",3,1,2,0,3,99.1,64.73,2013
"N.C. State","ACC",4,0,3,2,5,92.99,64.22,2013
"Arizona","Pac-12",1,2,1,0,3,98.16,63.77,2013
"UCLA","Pac-12",2,1,2,1,4,94.04,63.06,2013
"Illinois","Big-Ten",2,0,4,1,5,93.45,62.65,2013
"Michigan","Big-Ten",3,0,3,0,3,97.55,61.92,2013
"North Carolina","ACC",5,1,2,0,3,97.12,61.48,2013
"Missouri","SEC",3,0,2,3,5,92.13,61.03,2013
"Notre Dame","ACC",6,0,3,0,4,91.79,60.86,2013
"West Virginia","Big-12",2,0,2,5,7,88.83,60.47,2013
"Arkansas","SEC",4,1,1,1,3,95.91,60.2,2013
"Baylor","Big-12",3,0,3,0,3,96.2,59.16,2013
"Brigham Young","WCC",1,0,2,3,5,89.91,59.14,2013
"UNLV","M-West",1,0,3,2,5,91.15,57.79,2013
"SMU","AAC",2,0,2,2,4,91.94,57.62,2013
"South Carolina","SEC",5,0,2,2,8,84.33,57.53,2013
"USF","AAC",3,0,2,2,5,87.67,56.53,2013
"Cincinnati","AAC",4,0,1,3,5,89.28,56.33,2013
"Miami","ACC",7,0,3,3,6,89.15,55.93,2013
"Purdue","Big-Ten",4,0,3,0,3,94.62,55.92,2013
"California","Pac-12",3,1,0,3,4,91.21,55.25,2013
"Washington","Pac-12",4,0,2,1,3,93.53,55.21,2013
"Pittsburgh","ACC",8,0,2,2,4,91.36,55.2,2013
"Alabama","SEC",6,0,2,1,3,92.76,54.26,2013
"Texas","Big-12",4,0,2,2,4,90.44,53.87,2013
"Florida","SEC",7,2,0,0,2,99.69,53.46,2013
"Tennessee","SEC",8,1,0,3,4,89.12,52.74,2013
"Villanova","Big-East",2,0,2,0,3,90.81,51.68,2013
"Connecticut","AAC",5,0,2,1,3,91.34,50.75,2013
"Wisconsin","Big-Ten",5,0,1,3,5,87.31,49.71,2013
"Ohio State","Big-Ten",6,0,2,0,2,97.18,48.97,2013
"Iowa State","Big-12",5,0,2,0,2,96.96,48.7,2013
"TCU","Big-12",6,0,1,2,3,90.35,47.86,2013
"Florida State","ACC",9,0,2,0,2,96.16,47.52,2013
"Stanford","Pac-12",5,0,1,2,3,90.65,47.35,2013
"Texas A&M","SEC",9,0,0,4,4,88.68,46.91,2013
"Maryland","Big-Ten",7,0,1,1,2,94.87,45.49,2013
"Butler","Big-East",3,0,1,3,4,88.03,45.27,2013
"Kansas State","Big-12",7,0,0,4,5,84.14,44.79,2013
"USC","Pac-12",6,0,0,4,4,86.81,44.19,2013
"DePaul","Big-East",4,0,1,2,3,88.52,44.18,2013
"Oklahoma State","Big-12",8,0,1,1,3,85.83,43.38,2013
"Providence","Big-East",5,0,1,1,2,93.57,43.36,2013
"Oregon","Pac-12",7,0,0,4,4,86.73,43.3,2013
"Virginia","ACC",10,0,2,0,2,93.43,42.36,2013
"Manhattan","MAAC",1,1,0,1,3,85.99,41.6,2013
"Colorado","Pac-12",8,0,1,1,3,85.19,41.52,2013
"Nebraska","Big-Ten",8,0,0,3,3,87.97,41.03,2013
"San Diego State","M-West",2,0,1,1,2,92.26,40.95,2013
"Georgia","SEC",10,0,0,3,4,85.23,40.91,2013
"VCU","A-10",1,0,0,4,4,86.88,40.64,2013
"Ball State","MAC",1,0,1,2,4,83.91,39.44,2013
"Penn State","Big-Ten",9,0,0,3,4,84.73,39.29,2013
"Rhode Island","A-10",2,0,1,1,2,91.43,39.15,2013
"Georgia Tech","ACC",11,0,1,1,2,91.32,38.6,2013
"Dayton","A-10",3,0,0,2,2,90.99,37.9,2013
"Xavier","Big-East",6,0,1,1,2,90.51,37.73,2013
"St. Mary's","WCC",2,0,0,2,2,90.77,37.56,2013
"Massachusetts","A-10",4,0,0,2,3,83.79,37.38,2013
"Virginia Tech","ACC",12,0,0,2,5,81.5,36.98,2013
"Temple","AAC",6,0,1,1,2,89.93,36.35,2013
"Auburn","SEC",11,0,0,6,6,83.3,34.72,2013
"Wake Forest","ACC",13,0,1,1,2,88.76,34.46,2013
"Duquesne","A-10",5,0,1,1,2,88.42,34.17,2013
"Pennsylvania","Ivy",1,0,0,2,3,84.26,33.89,2013
"Vanderbilt","SEC",12,0,1,0,2,87.8,33.83,2013
"Arizona State","Pac-12",9,0,0,2,3,84.2,33.59,2013
"Clemson","ACC",14,0,0,2,3,83.47,33.17,2013
"Michigan State","Big-Ten",10,0,0,2,2,87.58,32.22,2013
"Illinois State","MVC",1,0,0,2,5,76.94,31.96,2013
"Oklahoma","Big-12",9,0,0,2,3,80.92,30.29,2013
"Ole Miss","SEC",13,0,0,2,3,82.43,30.12,2013
"Fresno State","M-West",3,0,0,2,2,86.33,29.79,2013
"Utah","Pac-12",10,0,0,2,5,76.4,29.68,2013
"Colorado State","M-West",4,0,1,0,2,85.3,29.27,2013
"Washington State","Pac-12",11,0,0,2,3,80.44,29.07,2013
"St. John's","Big-East",7,0,1,0,1,98.71,28.71,2013
"Toledo","MAC",2,0,1,0,2,84.58,27.83,2013
"San Jose State","M-West",5,0,0,1,5,75.9,27.43,2013
"Minnesota","Big-Ten",11,0,0,2,2,84.98,27.38,2013
"East Carolina","AAC",7,0,0,2,4,80.98,26.98,2013
"UC Irvine","Big-west",1,0,1,0,1,96.89,26.89,2013
"Georgetown","Big-East",8,0,1,0,1,96.56,26.56,2013
"Mississippi State","SEC",14,0,0,2,2,84.01,25.8,2013
"Northern Colorado","Big-Sky",1,0,1,0,4,76.6,25.72,2013
"Oregon State","Pac-12",12,0,0,2,2,84.16,25.69,2013
"Harvard","Ivy",2,0,1,0,2,82.33,24.66,2013
"Texas Tech","Big-12",10,0,0,1,4,76.12,23.14,2013
"Rutgers","Big-Ten",12,0,1,0,1,92.24,22.24,2013
"Seton Hall","Big-East",9,0,0,1,1,91.95,21.95,2013
"Boston College","ACC",15,0,0,2,2,82.07,21.81,2013
"Missouri-Kansas City","WAC",1,0,0,1,4,75.41,21.63,2013
"Tennessee State","OVC",1,0,0,1,6,73.8,21.59,2013
"Indiana State","MVC",2,0,0,1,3,77.86,21.54,2013
"Wichita State","MVC",3,0,0,1,3,77.78,21.23,2013
"Saint Louis","A-10",6,0,0,1,3,78.7,20.59,2013
"Pepperdine","WCC",3,0,0,1,4,75.59,20.5,2013
"Bradley","MVC",4,0,0,1,4,75.47,19.78,2013
"Fordham","A-10",7,0,0,1,3,76.56,19.69,2013
"Samford","Southern",1,0,0,1,1,88.01,18.01,2013
"Northwestern","Big-Ten",13,0,0,1,1,87.89,17.89,2013
"UCF","AAC",8,0,0,1,4,74.4,17.61,2013
"Northern Iowa","MVC",5,0,0,1,1,87.02,17.02,2013
"East Tennessee State","Southern",2,0,0,1,1,86.8,16.8,2013
"Winthrop","B-South",1,0,0,1,3,75.56,16,2013
"Saint Joseph's","A-10",8,0,0,1,1,85.73,15.73,2013
"Eastern Illinois","OVC",2,0,0,1,6,72.59,15.56,2013
"Charleston Southern","B-South",2,0,0,0,3,75.56,15.47,2013
"UNC Greensboro","Southern",3,0,0,0,3,75.56,15.34,2013
"Oral Roberts","SLC",1,0,0,1,4,73.72,14.88,2013
"Valparaiso","Horizon",1,0,0,1,2,77.06,14.13,2013
"Howard","MEAC",1,0,0,1,1,84,14,2013
"Houston","AAC",9,0,0,1,1,83.33,13.33,2013
"Hawaii","Big-west",2,0,0,1,3,74.44,13.33,2013
"Norfolk State","MEAC",2,0,0,1,1,83.33,13.33,2013
"Belmont","OVC",3,0,0,1,4,73.33,13.33,2013
"Loyola (MD)","Patriot",1,0,0,1,1,83.33,13.33,2013
"South Alabama","SBC",1,0,0,1,1,83.33,13.33,2013
"San Diego","WCC",4,0,0,1,2,76.61,13.23,2013
"New Mexico","M-West",6,0,0,0,2,76.87,13.07,2013
"Montana","Big-Sky",2,0,0,1,3,74.31,12.94,2013
"Iowa","Big-Ten",14,0,0,1,1,82.85,12.85,2013
"Cleveland State","Horizon",2,0,0,1,1,82.53,12.53,2013
"Akron","MAC",3,0,0,0,3,74.44,12,2013
"James Madison","CAA",1,0,0,1,1,82,12,2013
"Mercer","A-Sun",1,0,0,1,1,81.81,11.81,2013
"Chattanooga","Southern",4,0,0,1,2,75.9,11.79,2013
"George Washington","A-10",9,0,0,1,3,73.9,11.71,2013
"Missouri State","MVC",6,0,0,1,3,73.74,11.23,2013
"New Mexico State","WAC",2,0,0,1,2,75.56,11.12,2013
"Evansville","MVC",7,0,0,1,3,73.69,11.06,2013
"Gonzaga","WCC",6,0,0,0,1,80.94,10.94,2013
"Rider","MAAC",2,0,0,0,3,73.62,10.86,2013
"Illinois Chicago","Horizon",3,0,0,0,3,74.44,10.71,2013
"Drake","MVC",8,0,0,0,4,72.54,10.17,2013
"Fairleigh Dickinson","NEC",1,0,0,0,3,73.35,10.04,2013
"Ohio","MAC",4,0,0,0,1,80,10,2013
"Western Carolina","Southern",5,0,0,0,1,80,10,2013
"Murray State","OVC",4,0,0,0,3,73.11,9.33,2013
"UNC Wilmington","CAA",2,0,0,0,1,79,9,2013
"Boston University","Patriot",2,0,0,0,1,78.33,8.33,2013
"Presbyterian","B-South",3,0,0,0,4,72,8,2013
"Southeastern Louisiana","SLC",2,0,0,0,3,72.67,8,2013
"Portland","WCC",7,0,0,0,2,74,8,2013
"Central Michigan","MAC",5,0,0,0,1,77,7,2013
"Nevada","M-West",7,0,0,0,3,72.22,6.67,2013
"Creighton","Big-East",10,0,0,0,5,71.33,6.67,2013
"UC Riverside","Big-west",3,0,0,0,1,76.67,6.67,2013
"Northern Arizona","Big-Sky",3,0,0,0,4,71.67,6.67,2013
"Southern Illinois","MVC",9,0,0,0,5,71.33,6.67,2013
"Loyola Chicago","MVC",10,0,0,0,2,73.33,6.67,2013
"Long Island","NEC",2,0,0,0,1,76.67,6.67,2013
"Virginia Military Institute","B-South",4,0,0,0,3,72,6,2013
"Bowling Green","MAC",6,0,0,0,3,71.11,3.33,2013
"Western Michigan","MAC",7,0,0,0,2,71.67,3.33,2013
"Richmond","A-10",10,0,0,0,2,71.67,3.33,2013
"Southern Utah","Big-Sky",4,0,0,0,5,70.67,3.33,2013
"Eastern Washington","Big-Sky",5,0,0,0,3,71.11,3.33,2013
"Campbell","B-South",5,0,0,0,1,73.33,3.33,2013
"William & Mary","CAA",3,0,0,0,3,71.11,3.33,2013
"Lafayette","Patriot",3,0,0,0,3,71.11,3.33,2013
"Western Illinois","Summit",1,0,0,0,4,70.83,3.33,2013
"Tulsa","AAC",10,0,0,0,4,70,0,2013
"Tulane","AAC",NA,NA,NA,NA,3,0,0,2013
"Kent State","MAC",8,0,0,0,1,70,0,2013
"Northern Illinois","MAC",NA,0,0,0,1,70,0,2013
"Miami (OH)","MAC",NA,0,0,0,1,70,0,2013
"Buffalo","MAC",NA,NA,NA,NA,3,0,0,2013
"Eastern Michigan","MAC",NA,NA,NA,NA,2,0,0,2013
"Utah State","M-West",8,0,0,0,3,70,0,2013
"Boise State","M-West",9,0,0,0,2,70,0,2013
"Wyoming","M-West",10,0,0,0,2,70,0,2013
"St. Bonaventure","A-10",11,0,0,0,5,70,0,2013
"La Salle","A-10",12,0,0,0,2,70,0,2013
"New Hampshire","A-East",1,0,0,0,5,70,0,2013
"Maine","A-East",2,0,0,0,4,70,0,2013
"Binghamton","A-East",3,0,0,0,3,70,0,2013
"Albany","A-East",4,0,0,0,3,70,0,2013
"UMBC","A-East",5,0,0,0,2,70,0,2013
"Stony Brook","A-East",6,0,0,0,1,70,0,2013
"Stetson","A-Sun",NA,NA,NA,NA,1,0,0,2013
"Kennesaw State","A-Sun",NA,NA,NA,NA,2,0,0,2013
"Florida Gulf Coast","A-Sun",NA,0,0,0,1,70,0,2013
"Cal State Fullerton","Big-west",4,0,0,0,3,70,0,2013
"Cal Poly","Big-west",5,0,0,0,3,70,0,2013
"Long Beach State","Big-west",6,0,0,0,2,70,0,2013
"UC Santa Barbara","Big-west",7,0,0,0,2,70,0,2013
"UC Davis","Big-west",8,0,0,0,1,70,0,2013
"Idaho State","Big-Sky",6,0,0,0,4,70,0,2013
"Weber State","Big-Sky",7,0,0,0,2,70,0,2013
"Sacramento State","Big-Sky",8,0,0,0,2,70,0,2013
"Idaho","Big-Sky",9,0,0,0,2,70,0,2013
"Montana State","Big-Sky",10,0,0,0,2,70,0,2013
"North Dakota","Big-Sky",NA,NA,NA,NA,1,0,0,2013
"Coastal Carolina","B-South",6,0,0,0,3,70,0,2013
"Gardner-Webb","B-South",7,0,0,0,2,70,0,2013
"Radford","B-South",8,0,0,0,2,70,0,2013
"Liberty","B-South",9,0,0,0,1,70,0,2013
"Towson","CAA",4,0,0,0,2,70,0,2013
"Northeastern","CAA",NA,NA,NA,NA,1,0,0,2013
"Oakland","Horizon",4,0,0,0,3,70,0,2013
"Wisconsin-Milwaukee","Horizon",5,0,0,0,3,70,0,2013
"Wisconsin-Green Bay","Horizon",6,0,0,0,1,70,0,2013
"Youngstown State","Horizon",7,0,0,0,1,70,0,2013
"Dartmouth","Ivy",3,0,0,0,7,70,0,2013
"Canisius","MAAC",3,0,0,0,3,70,0,2013
"Niagara","MAAC",4,0,0,0,3,70,0,2013
"Marist","MAAC",5,0,0,0,1,70,0,2013
"Iona","MAAC",6,0,0,0,1,70,0,2013
"Maryland Eastern Shore","MEAC",3,0,0,0,3,70,0,2013
"North Carolina A&T","MEAC",4,0,0,0,3,70,0,2013
"Morgan State","MEAC",5,0,0,0,2,70,0,2013
"Coppin State","MEAC",NA,NA,NA,NA,1,0,0,2013
"Bethune-Cookman","MEAC",NA,NA,NA,NA,2,0,0,2013
"Bryant University","NEC",3,0,0,0,3,70,0,2013
"Saint Francis (PA)","NEC",4,0,0,0,2,70,0,2013
"Wagner","NEC",5,0,0,0,2,70,0,2013
"Southeast Missouri State","OVC",5,0,0,0,3,70,0,2013
"Morehead State","OVC",6,0,0,0,2,70,0,2013
"Austin Peay","OVC",7,0,0,0,2,70,0,2013
"Tennessee Tech","OVC",NA,NA,NA,NA,1,0,0,2013
"Jacksonville State","OVC",NA,NA,NA,NA,1,0,0,2013
"Eastern Kentucky","OVC",NA,0,0,0,1,70,0,2013
"Bucknell","Patriot",4,0,0,0,3,70,0,2013
"Lehigh","Patriot",5,0,0,0,2,70,0,2013
"Texas State","SBC",2,0,0,0,6,70,0,2013
"Louisiana-Monroe","SBC",3,0,0,0,6,70,0,2013
"Louisiana","SBC",4,0,0,0,4,70,0,2013
"Georgia Southern","SBC",5,0,0,0,4,70,0,2013
"Appalachian State","SBC",6,0,0,0,3,70,0,2013
"Troy","SBC",7,0,0,0,2,70,0,2013
"UT-Arlington","SBC",8,0,0,0,2,70,0,2013
"Arkansas State","SBC",9,0,0,0,2,70,0,2013
"Georgia State","SBC",10,0,0,0,2,70,0,2013
"Arkansas-Little Rock","SBC",NA,NA,NA,NA,1,0,0,2013
"Lamar","SLC",3,0,0,0,7,70,0,2013
"Houston Baptist","SLC",4,0,0,0,5,70,0,2013
"New Orleans","SLC",5,0,0,0,4,70,0,2013
"Stephen F. Austin","SLC",6,0,0,0,3,70,0,2013
"McNeese State","SLC",7,0,0,0,3,70,0,2013
"Sam Houston State","SLC",8,0,0,0,3,70,0,2013
"Sam Houston State","SLC",8,0,0,0,3,70,0,2013
"Texas A&M Corpus Christi","SLC",9,0,0,0,2,70,0,2013
"Nicholls State","SLC",10,0,0,0,2,70,0,2013
