"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score","year"
"Northern Iowa","MVC",2,0,0,2,4,71.21,25.96,2009
"Kent State","MAC",5,0,0,1,6,74.94,25.92,2009
"North Dakota State","Summit",2,0,0,2,3,81.15,25.51,2009
"New Mexico State","WAC",1,0,0,1,3,80.25,25.51,2009
"Army","Patriot",2,0,0,2,4,79.26,25.13,2009
"Seattle","WAC",2,0,0,1,5,78.44,24.73,2009
"Pacific","WCC",3,0,0,1,5,78.6,24.66,2009
"Sacramento State","Big-Sky",2,0,0,1,5,78.58,24.65,2009
"Weber State","Big-Sky",3,0,0,1,5,78.58,24.59,2009
"Wisconsin-Green Bay","Horizon",4,0,0,2,6,68.52,24.55,2009
"Sam Houston State","SLC",1,0,0,1,4,78.89,24.54,2009
"Sam Houston State","SLC",1,0,0,1,4,78.89,24.54,2009
"Tennessee Tech","OVC",1,0,0,2,3,80,23.86,2009
"Long Beach State","Big-west",2,0,0,1,4,74.42,23.66,2009
"American","Patriot",3,0,0,2,4,78.89,23.65,2009
"Oral Roberts","SLC",2,0,0,2,4,78.89,23.65,2009
"Western Illinois","Summit",3,0,0,1,3,79.53,23.32,2009
"Marist","MAAC",1,0,0,2,2,82.69,23.17,2009
"UC Irvine","Big-west",3,0,0,1,3,79.2,22.35,2009
"Dartmouth","Ivy",1,0,0,2,2,82.4,22.32,2009
"Xavier","Big-East",4,0,1,0,1,92.19,22.19,2009
"Brown","Ivy",2,0,0,1,3,79.11,22.07,2009
"Cornell","Ivy",3,0,0,2,4,70.76,22.04,2009
"George Mason","A-10",2,0,0,1,6,69.46,21.92,2009
"Georgia","SEC",11,0,0,2,4,72.25,21.86,2009
"Denver","Summit",4,0,0,1,2,81.93,21.76,2009
"Alabama A&M","SW-AC",2,0,0,0,5,77.96,21.72,2009
"Binghamton","A-East",1,0,0,1,3,78.89,21.41,2009
"Buffalo","MAC",6,0,0,2,2,81.61,21.01,2009
"IPFW","Summit",5,0,0,1,2,81.11,20.89,2009
"Air Force","M-West",2,0,0,1,7,63.67,20.86,2009
"Northern Arizona","Big-Sky",4,0,0,1,3,78.68,20.79,2009
"Illinois Chicago","Horizon",5,0,0,1,3,78.68,20.79,2009
"Prairie View A&M","SW-AC",3,0,0,1,3,78.68,20.79,2009
"Rider","MAAC",2,0,0,2,2,81.46,20.7,2009
"Hofstra","CAA",1,0,0,0,5,73.65,20.63,2009
"South Carolina","SEC",12,0,1,0,2,79.58,20.59,2009
"Detroit","Horizon",6,0,0,1,4,74.56,20.35,2009
"Mississippi Valley State","SW-AC",4,0,0,1,6,77.41,20.31,2009
"Tennessee State","OVC",2,0,0,1,5,77.56,20.28,2009
"Idaho State","Big-Sky",5,0,0,1,2,80.8,20.27,2009
"TCU","Big-12",9,0,0,1,6,74.52,20.24,2009
"Florida Gulf Coast","A-Sun",2,0,0,1,2,80.99,20.07,2009
"North Texas","C-USA",8,0,0,1,2,80.64,19.96,2009
"Siena","MAAC",3,0,0,2,3,74.22,19.3,2009
"Alcorn State","SW-AC",5,0,0,1,2,80.52,19.13,2009
"Rice","C-USA",9,0,0,2,4,70.15,19.09,2009
"James Madison","CAA",2,0,0,1,2,80.16,18.98,2009
"Howard","MEAC",2,0,0,2,3,74.14,18.97,2009
"Baylor","Big-12",10,0,1,0,3,73.89,18.79,2009
"Portland State","Big-Sky",6,0,0,1,4,72.49,18.64,2009
"St. Francis (NY)","NEC",2,0,0,0,3,77.95,18.6,2009
"Murray State","OVC",3,0,0,2,4,69.31,18.46,2009
"North Dakota","Big-Sky",7,0,0,0,3,77.85,18.29,2009
"Virginia","ACC",12,0,1,0,2,78.07,18.21,2009
"Colorado","Pac-12",6,0,0,2,5,68.27,18.18,2009
"Maryland","Big-Ten",7,0,1,0,2,77.98,18.05,2009
"Missouri State","MVC",3,0,0,1,5,69.83,17.96,2009
"Utah","Pac-12",7,0,0,2,5,68.21,17.33,2009
"Iowa","Big-Ten",8,0,0,1,5,68.64,16.84,2009
"Arizona State","Pac-12",8,0,1,0,5,68.59,16.79,2009
"UNLV","M-West",3,0,1,0,3,72.8,16.73,2009
"Mount St. Mary's","NEC",3,0,0,2,3,73.26,16.16,2009
"Lamar","SLC",3,0,0,0,6,76.67,15.86,2009
"Northwestern State","SLC",4,0,0,0,6,76.67,15.86,2009
"FIU","C-USA",10,0,0,0,5,76.67,15.84,2009
"Central Arkansas","SLC",5,0,0,0,5,76.67,15.84,2009
"Eastern Washington","Big-Sky",8,0,0,0,6,72.73,15.77,2009
"Navy","Patriot",4,0,0,2,3,73.02,15.72,2009
"Stephen F. Austin","SLC",6,0,0,0,6,70.28,15.72,2009
"Mercer","A-Sun",3,0,0,0,4,76.67,15.65,2009
"Radford","B-South",2,0,0,0,4,76.67,15.65,2009
"Bryant University","NEC",4,0,0,0,4,76.67,15.65,2009
"Morehead State","OVC",4,0,0,0,4,76.67,15.65,2009
"Dayton","A-10",3,0,0,1,1,85.56,15.56,2009
"Gonzaga","WCC",4,0,1,0,3,72.72,15.52,2009
"Bradley","MVC",4,0,0,1,4,69.65,15.36,2009
"Brigham Young","WCC",5,0,0,2,4,70.48,15.24,2009
"Loyola (MD)","Patriot",5,0,0,1,1,85.21,15.21,2009
"Niagara","MAAC",4,0,0,1,1,85.12,15.12,2009
"Fordham","A-10",4,0,0,1,3,73.72,15.05,2009
"Quinnipiac","MAAC",5,0,0,0,5,68.59,14.98,2009
"Montana State","Big-Sky",9,0,0,0,2,78.13,14.92,2009
"SMU","AAC",5,0,0,0,3,76.67,14.75,2009
"Cal State Northridge","Big-west",4,0,0,0,3,76.67,14.75,2009
"Coastal Carolina","B-South",3,0,0,0,3,76.67,14.75,2009
"Florida A&M","MEAC",3,0,0,0,3,76.67,14.75,2009
"Maryland Eastern Shore","MEAC",4,0,0,0,3,76.67,14.75,2009
"North Carolina Central","MEAC",5,0,0,0,3,76.67,14.75,2009
"Texas State","SBC",4,0,0,0,3,76.67,14.75,2009
