"player","old_team","new_team","yr","trank_ppg","mins_pct","year"
"Javan White","Oral Roberts","Clemson","So",1.99473,67.9,2018
"Zach Pirog","Nebraska Omaha","Cal Baptist","So",0.363647,23.8,2017
"Michael Jacobson","Nebraska","Iowa St.","So",1.17674,59.7,2017
"Ruben Guerrero","South Florida","Samford","Jr",0.0747399,57,2017
"Christen Cunningham","Samford","Louisville","Sr",0.432952,21.7,2018
"Dante Buford","Oklahoma","UTSA","So",0.677976,22.5,2017
"Jazz Johnson","Portland","Nevada","So",2.89921,88.9,2017
"James Miller","Howard","Missouri St.","Jr",1.11356,59.1,2017
"Brady Ellingson","Iowa","Drake","Jr",0.395269,21.4,2018
"David Bell","Ohio St.","Jacksonville","So",0.276316,7.1,2017
"Deng Riak","East Carolina","Akron","Fr",-1.49114,53.3,2017
"Ronnie Harrell Jr.","Creighton","Denver","Jr",2.16241,57.4,2018
"Brock Stull","Milwaukee","Minnesota","Jr",1.49597,84.5,2018
"Matt Ryan","Notre Dame","Vanderbilt","So",0.980846,19.8,2017
"Malik Hines","Massachusetts","McNeese St.","Jr",2.30325,66.1,2018
"Matt Mooney","South Dakota","Texas Tech","Jr",3.39601,78.9,2018
"Jeriah Horne","Nebraska","Tulsa","Fr",0.490962,26.1,2017
"Miles Wilson","Mount St. Mary's","Miami FL","Fr",1.0914,69.8,2017
"Delante Jones","American","Seattle","So",0.43253,78.8,2017
"Matt Chastain","Loyola Chicago","Illinois St.","Fr",-0.461761,0.8,2017
"Traci Carter","Marquette","La Salle","So",1.68413,10.1,2017
"TJ Lang","Auburn","South Florida","Jr",1.25833,36.9,2017
"Ty Hudson","Clemson","Jacksonville St.","So",-0.699114,7,2017
"Chevez Goodwin","College of Charleston","Wofford","Fr",0.170611,24,2017
"Brandon Austin","Alabama","Samford","So",-1.40992,3.2,2017
"Jaylen Shead","Cal Poly","Texas St.","So",1.33872,18.6,2017
"Kassoum Yakwe","St. John's","Connecticut","Jr",-0.0488515,20.5,2018
"Rayshawn Miller","Massachusetts","Albany","Jr",-0.0507088,60.7,2018
"Antonio Green","UT Rio Grande Valley","Middle Tennessee","So",1.59877,74.9,2017
"Geno Crandall","North Dakota","Gonzaga","Jr",2.94485,82.5,2018
"Josh Nebo","St. Francis PA","Texas A&M","So",1.22138,74.5,2017
"Nakye Sanders","Duquesne","Towson","So",0.713734,47.4,2017
"Xzavier Malone","Rider","Fairleigh Dickinson","Fr",-0.310745,8.3,2017
"Eric Vila","Texas A&M","Fresno St.","Fr",-0.410511,19.1,2017
"Myles Carter","Seton Hall","Seattle","So",-0.950478,2.5,2017
"Brachen Hazen","Arkansas","Ball St.","Fr",-0.499684,2.9,2017
"Robert Cartwright","Stanford","UC Irvine","Jr",0.768454,34.2,2018
"Trevor Anderson","Green Bay","Wisconsin","Fr",1.03958,43.8,2017
"Nick Blair","Idaho","UNLV","So",0.237482,8.5,2017
"Steven Beo","BYU","Eastern Washington","Fr",-0.134997,26.2,2017
"Aaron Calixte","Maine","Oklahoma","Jr",2.22305,84.4,2018
"Ryan Fazekas","Providence","Valparaiso","So",0.547238,26.6,2017
